2018-04-27 12:58:01	ef0930deefc8b808175f402898478b09:u8UuqSXqwFMyTnlaXWgk2tWhvHuw5dD5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 12:58:19	4f2e7b924d9d2378c1cba14e1a30a0fd:S7Qoblbplq6aZSCrAEwm65n4J8uAOjBU	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.233.249
2018-04-27 13:03:34	901772c8594f5f0a1668b7ca059bb17d:EbtIlgTwhy9zeyNdKMJPliNh5JBtXl6c	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-27 13:03:58	e7aa1e80b990c8858e0a48a19180f1a2:d8CN6K3T9HZfxfsqwPgFkPmmyglCxhOF	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	210.71.60.191
2018-04-27 13:05:51	2c5571aa6c4b529177af2e0aba94186a:VCeTTVmRD1e1Fv2JcbGrdS4xQfRyKP7s	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.60
2018-04-27 13:10:32	4011bb910af230369dcc0852667279f5:cOnomGA3vrp0iQ5iTnqurIKTvW7bJQP2	Q1:人化交通，樂活中正	,住好住滿	,;	223.140.1.61
2018-04-27 13:12:51	9b44a281502eebd222fa6c39201a686f:s02axA3TtUdqrw2LJfJ8twDhr1ss28Qm	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.233.249
2018-04-27 13:30:51	db3774d535f6375ad27e9a4371097a82:O4JZDz0XYzQmpTdpTWmAKdhma8uq2qTX	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	210.71.60.191
2018-04-27 13:33:05	205a7e57b735f5c7fde85155f66ea6d2:rPQHD1OGN0SOOS2ci0UPKOFEp7nQ3qOF	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	101.9.161.104
2018-04-27 13:35:33	7af47efb9dd3ac8173fcc1e40641a348:HqX4hmS6GIMV8Z3mqaSCn0cGQjDxC2po	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	210.71.60.191
2018-04-27 13:38:30	52cc75909ae8cb05f0cb3524ac53eaec:hP7Omh6fNO62mvkCMp3FsMYl9tvElowK	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.136.233.249
2018-04-27 13:52:13	95a871a3eb666bf50883b3e6422eba5b:AOBumw1ybrN43eWO1R38O7ZacIbvCsTh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 13:53:18	ce268f411986539f8984fa4e83d0d595:ikKvAJWjpT5fg3Q1N2QM45oywrrCgb4M	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-27 13:55:29	aaac12d2b3d9a068dfff59ee98797d28:ODtWAreyoJ3KFqxTf5cQGpJrF2KbN167	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.60
2018-04-27 13:59:51	5a019bcb03669022fe641b251aa9c38a:g1DSvCz1aLCuovFmODNt3wq8yLPtHG5M	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.1.61
2018-04-27 14:23:56	56fe653ad4e3585a0b159b949bc8aa3c:ytKD1quwYH5vtAw8Qiovd4NkXhpdolBf	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
2018-04-27 14:25:35	32abda8cecd1ca790a05d2dc32523911:RAxItvfqq7CSZF9fBaJKBjvAeikSTFMv	Q1:百年觀光新店溪河道再造	,住好住滿	,;	101.9.213.13
