2018-04-23 10:20:54	a95dba4daac7212cc217fa93c36dbab6:gevoBwZHHWyNRYKX0UbGP75W536k7LcQ	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	115.82.48.210
2018-04-23 10:20:58	fe9c5533b186cc5573e88adc38826cb6:BKWpN3wZ8pRogjxje8UwdS8DGFIx10Kn	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	36.228.141.208
2018-04-23 10:21:02	e694d7799b465c639049c411e13fd490:833fu850fPZjpCfeFnvLsyoJJDtTimez	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.72.162
2018-04-23 10:21:22	7dd9b7dee9ec8e74ed97a6d5312f6e07:kcFQkqwXG7rxe3V4o1K2GD0gRC8ZPR8Y	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	1.200.209.164
2018-04-23 10:21:31	954e0bd95d31698942c87c92171976a2:j4pV7pQc8nrceyWHTDRVmCgkLuoLRbxE	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.58.130
2018-04-23 10:21:58	55e98ba9bc1e377c1c5cfb43b4f98b0b:yVmJS6WJ6XG9M4SQQSYBxfgDdIzlLijy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:24:09	ca9882cb96a16ef865a322c51bd34f72:4Z3okDzEMm1vN9quEVRjJNCQXFztvnwE	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.179.250
2018-04-23 10:25:05	deea5bde9ec835ae9a098dbdb094568d:TSpuxjT598xMkCNDfFqw82OOUDSVlSKX	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.58.130
2018-04-23 10:27:02	92180832be7ecbb11d75a120bb8f819c:HJkK5AKADBQw5kjWdX422cryCo8iLMor	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	101.13.99.234
2018-04-23 10:27:24	bccfa1ee72a52d6622a0360452a67f4f:518jW4tWTcEiSYC9GW1pu77obSEezX1g	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.138.250.173
