2017-07-10 11:09:40	14f0a403b2fde7fc3dc32f62bd03eaed:oEs5O2vouuCrrRfXWAqhHwiBkVlEfwso	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	10.254.248.179
2017-07-10 11:09:54	046313ed68dc2daf0885119dc188eef4:scqCI7Njrbmo7ihvxqINqeYxDIRr9fmh	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	211.79.136.2
2017-07-10 11:10:08	b107c58445b7b0110143ad34a9f13dc6:55KZt8DzthtkOaTpjDGop24vYPvUyrZP	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	1.160.33.217
2017-07-10 11:10:58	7eea9b3472b45c7dbf0d5e0a4e1abba3:q2SnSJLezy102ETx0THagcGvnweQw2V8	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.137
2017-07-10 11:12:19	5a608797532f01c9add9125c78cc856f:ybNIqH2YebiAzNuee2GWBJjiV08fp1wu	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	223.140.149.238
2017-07-10 11:13:21	45b78d9edda0739944189e4d3f4e9e43:VqZ3yLh4QfNP86ckfFDOkdiNcFJGJJHP	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.179
2017-07-10 11:13:52	8a86a0bb4ded96afd051249360805fca:aryaytRPijqUURy8JSMCKv9KeEuygqoz	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	223.140.149.238
2017-07-10 11:14:19	2957fdbe8fbdabf03425671be3590ac7:BQynncwcdeecHeND0yEuAIgjoeV0WuaB	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.137
2017-07-10 11:15:10	0a28f95991e5247dd8393fd347248046:dfxuStxsAPiZUEL2U7wSmtI5LUEk0Pza	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.179
2017-07-10 11:15:29	e91f0d10466907f4447881c57107347d:XYxA9C4AkhqoPKBjHRWoMEhF9selZoRt	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	223.140.149.238
2017-07-10 11:17:01	08fb874a92c54b70fea6f84aee398996:xO473kcUIh4q2O8a2RhbYEdWdcRQI0nI	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	223.140.149.238
2017-07-10 11:17:07	147d9ec099d74405a954d755e611590c:VDAZypMSoNAZ4jCp24WUeK25EDHBnUKn	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.179
2017-07-10 11:18:27	e6d1a464a065d18aa1f1b688af59ca2f:Rn8KcTQyA9RadFJFfNvqColhi6buIbcy	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	223.140.149.238
2017-07-10 11:19:04	fbc4cd6132c1fabb81a02682f4e63d37:pzqpAm7i89barrhYZaJuURkqJcKUddps	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	10.254.248.179
2017-07-10 11:19:26	5ce1bd2a8e09f8adb98b0a9069a0e4d3:RUFpqotjxhTHoUVIb07t9U6C2cKqyNS2	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	223.140.109.69
2017-07-10 11:20:05	9e5e12d97c0fac8620ce718364486b19:vqW4sfcfLgmEp1thmR3au3Dhaip6zGeM	Q1:老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	223.140.149.238
2017-07-10 11:20:26	75d6eeb8f664d9ff347abb23c6bdc8e0:SX0QcGjajRJwOT7SOxwPbzLxkYE8CZ91	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	122.146.69.8
