2018-04-19 08:29:45	bfc198483dc599c77f7d6568867de486:TNnhRfAQAQzxS7vbLoTzaykquTrBGq92	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	1.200.211.54
2018-04-19 08:33:50	0be224846e3853164201b4b5e3e75d7c:ddTPbYD3y9kSbQU2IdTrg0emfhiWjnws	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-19 08:41:26	e7adf2f3a3bb98e1f8ce77f7ef928443:PLtW5YcoWabdJhO4nO9H08lIkb89X9qi	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-19 08:43:02	7d2d648262b901c1ae7312dbd7f3c933:3ZBIs7ohjzYDfgEf5DAkXzebeiVhOnI0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.140.241.249
2018-04-19 08:44:58	e3cbfe5556270ccea637847f24bbf7fd:z0U2jqSqac0XPnGohFcNRlcGMuvOB5eZ	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.148.14
2018-04-19 08:45:05	4331743c90425c5bc9aaec17ce232d2a:JWCVX8CRt9qTpTPROzzIiBkoKyEGjQpv	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.14.3.6
2018-04-19 08:48:29	ab68e7dc7b04e425a798fabe90d7dd04:Zojpt8OdRzMc6wfwc81EuW4tAU75tnnB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-19 08:51:52	0c4ec016ca032cfa4e5692204ad4d9df:DwAF37OW5blbfVJkchwLnA4rg10I55Xa	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.13.80.120
2018-04-19 08:54:26	59d16d0e75878efd3d784bf6db74f871:DDJNNDi7aRcrgxrnTMEKFhB93sbmulb8	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-19 08:56:22	428a485c756eddc903a2a2cc708c5e90:QkyC4zXK1m04KL3pQCinHLbaj1qJOzK5	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
