2018-04-26 09:40:00	c325ed745e6426c3f44442c85432d8c2:6q6votPneNdpLSCDPTo0cAE1mP1sFygH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.208
2018-04-26 09:41:52	09909496a0114877190a64db73eaedcb:AqRu0guTCLwZtjaMsrY38QAKpj3jXlx1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-26 09:43:47	ab6fcbeaf328b19f2ec245c18a8f383d:ss9xervUUI9OM0k5v7ljPh4Frdz97i5b	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:45:11	3f1f1a822b5c2cdf30a484431dd0da72:2YFGA11pQJOt5gJYEsgPMFxejYH7XvQ3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:45:24	9d1725cc04ecde47f363277312700f06:LhBAQyw9sBUgHIXbtCBEcl6lGDwOiZEb	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-26 09:46:59	a4273db7061c9c3b5d1f46b11692ecad:qUCIEPG8LRweqZvBOVTLVyCTVrY4PqQj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:48:08	f13700e55003ac61d92731a1b248ec8f:94AKxFfBIyqy2DlsXEEtaLru1Mab4U0F	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:48:32	3c23b48829739d1dd44525b153322327:nz11w5ajIsdWv1Z1ibW4QEoj3LIa2Z7W	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-26 09:49:49	83bbaed080245d45237bbd1ee5795b68:RstvC02keYIKvacRqneVxsA9wPfguebU	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 09:51:01	5a5f8adc5cc3a1cf5ad7c30d2dbdcda1:PHVPbUtgip5Pkhyce7H4n08QoQnn0Cg0	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
