2018-04-17 10:18:17	a4bdb0aee42612dc2008eea98350f258:SnWWQWk3qGr7DcIs6JIX5S4RzLVK90Rv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	114.136.250.12
2018-04-17 10:18:44	b35153fe19b3a80462bed4efd521a273:zW0qxIFdeRsksxpnS2uuZkEkuGJ7BDyD	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	49.217.53.108
2018-04-17 10:19:50	1159155264fefd31393b768b23cb04e4:SNOLlPFOk3tikz0E9PAiTdZ1lQ78gW3v	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-17 10:20:38	5257cf2915b7aa486bd13edd4f29c462:jf815sjspJ1mzTryGJq4tOP0yisEn73E	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	27.246.30.45
2018-04-17 10:21:10	75a3e3b50805e87388133cacc0bdfa76:dEH6LWdcGu5Zry2QLWXghq37c0su6DN0	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.143
2018-04-17 10:22:50	1837a1a295617079f7453a9b2e08bb82:qOwkaDOepojRbtNsn4NYLjr2P6bWxP4O	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.144.217
2018-04-17 10:23:08	6df8c0babd613cb26f0269b8fcc8c279:roz8IszseWC1rEJ7RVtyyVfompM37Ojx	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	10.254.248.135
2018-04-17 10:23:57	e460846f1f683517a65efaba11302129:8Hp7G2PXoL8DDRlBjwdOkcHwTvNMo5d1	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.143
2018-04-17 10:23:59	878716acfe73058b014fb4922225c529:K44QCT1fUInnEAklNh16bDXa5cWL0Fl8	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	114.137.11.193
2018-04-17 10:25:35	39adb1748a412ec34c0bc8d300294f45:1QA2wQ1us7jKCA4Q88elm7SLgk8wJaT8	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.207
