2018-04-22 14:00:53	0ed22bb7870ccb474ebc6a312b3b031d:EuMP8G7ng6B9OTxighwUBzlh13IxUAWM	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 14:00:59	f5e38111790c7f29a6da764a26592569:CYJE8RvLxn5W00IJQUmsBW3OUZZaTM9v	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:03:16	ee293ee27b371afed1b5a376500838b1:mlNF8UASDfNvVdIXnCyrZtgqBELqajxo	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-22 14:06:05	b31efafcc35a5f281c6fdb600691e4c9:5YgdvPOO7c1G6UMYayBFvHpeG5G9QlEC	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-22 14:06:24	9ec342bec33ad4bde2713e81ecfd28f6:jPmJArNM8GJXZjLSAytR7x5HvXf79iHQ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	101.138.159.70
2018-04-22 14:10:09	57c8542a382e16afda993e04768fe0ec:2il44pxadDsT7rcHpttM71r2dEv01JyS	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:11:05	d7905513ee62b9d854295b16d092abda:3vooEeibJ6UDogVuToBcPEbVIm6iE1iu	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:11:13	c2e50abcf30efa312ab9390796dc471a:mXh0B9GMbC4rMlGvBzuspySJzziEJoS9	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-22 14:11:57	c821c1b813c1a622849c6ef8f6b5c373:A8i4y5zwTWMaYdxRExNUVIAotiysk7KU	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:12:58	c818712f6030ca708ab751264a79a75d:uyCZBoECBL1asABg3PhuR2jhe1HyqSqd	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:13:52	0b128b520b95de4b94fdb5ae6dd9872a:aMiQOqoiEI75CTu2a9boo9Ety5ffLjEz	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-22 14:14:09	51ec48128af9d7f203454d0ad5fc3931:hKY7QatMMiyUWQZu7ozHOAfbI87LdXzq	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:15:12	c6d922daf1689a2abf9d1f6801c3c1cd:zL4MS4KhemcFaF4pP71IChMjbuJYzMgz	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:16:14	97143bb7e319e3d9079359aae22f53fb:6qe5lYO7hb3I5gGrc3Jl5mVEjJW9xblR	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:16:54	2c013894f2a71e9a447abeb702bb5bda:TJU1LhMVSl618YsSuihCQU17jyDgtuB5	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	110.28.169.156
2018-04-22 14:17:17	1e363ab3ec2e3477793884ccfc47549a:13hfEL3SBEUH1k7psjdrLlsfRWhFrLEg	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:18:39	873fe54a3cd0ca7e64bf66d606137950:lwV95ZMqr1EF7plqz7QXsnB1P1teucKM	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	118.161.35.38
2018-04-22 14:27:03	b4133b1894286882f56e29f0a7e347b5:LCBjJC8Ciy1bJaJnzQkqcspdsBiQeCI0	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
