2018-04-25 09:46:15	21cbf684b602c450af976bfd0fbb5769:fbFWh4xzeJJqQ2rCthFHvGWFbnkUsGi3	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:46:48	058bc458f814835884db23bb05f78893:bhvxjMHNUX6WccoTZzkDCLeyLtdPVVYf	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:47:46	483f12d92616ce6101887fce4fb7e298:LA4fnfi217idZuBDz6NSuuBNdYliGSWP	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:48:21	2b11083f78bed47f27298cb87528ca25:j4O16Dyl6IUO8uID3FdFtgO8ucuIA4Pu	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:48:57	fc2d1046b244695c61c6d885b46b1463:8RgHUPWOC2W8TTqWU8BgKzDId7PpkB8d	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:49:29	00874b0e91bdc0f7a4e45c2b17fa490f:0fpZ6E7N4oX1sk3M5yLVbN5BbHnXDyiT	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:49:31	722b02ddf53f88bfaf1941f21466cdd0:3UAli3PfFJRm8jRwD5FYxNJh2MQWCkoM	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.141.122.215
2018-04-25 09:50:00	8623356fab5b137116ad3b3bd42f68e2:a8LdcQDPH2eNuHZZwyRg19Y25kYeJmoy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:50:54	60824dd7abf0ff0b89f17b87b613b4d2:6UU1hw9S1n8rOErvHmd351E8X18MCjZm	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:51:30	2e276c731f06c83274f1fd16901416ed:YZydWx7SmM6zsX8ONLUCIJflrEOJPmMT	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:52:27	589446c9527cdc1c20ad76606e6ca0e9:uM0k3GnrCFAFxDObPsthlZ3JCBZfGpyd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-25 09:53:19	e34ec00a4e7108f8a1aa50802ef1e5ed:5jRqO7htJEUsD9mMZMJ6s2Iep7C489jN	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
