2018-04-20 09:42:22	870eea14d09c063d19ffc6144ebd72a0:Ezo7AEVLngyV9NOGnyjIbK9okFQRyUH7	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
2018-04-20 09:45:19	ef4b1967cf1ef5ebcf308f00388fd82d:1QxBxHo78SwjQfxxz3F78bG1rLOFB3gF	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.204
2018-04-20 09:45:41	579fde3b97139314e5769f08c1e996c8:qUxVejLFmy8AujCEfdVGJfvhMUbiTP2t	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 09:46:09	4001078d1d916fbdd0f2ef66b785a6ba:1JPZ18haXbEzMI3kRCNjJr6Vsual8uRf	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.229
2018-04-20 09:47:08	fbe41909ba2733c0500ff6cec07a10e5:2meINjSvHsxZDSMXRLtUHXOyITUrIwwq	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.223
2018-04-20 09:48:15	5ec4f09e68427ef46f116782733a5a22:088X0sAGwgCk1FFvL47aJDXCDpwuC5aJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.229
2018-04-20 09:48:22	530987dce17ea3ab57e6189f658be57d:2ozNQUfQjmD9bmdhCaO6O81qeK52Ly0V	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	172.29.8.223
2018-04-20 09:48:44	8ec7bf3243438f78ec7fcd1294ae2c2d:fUPFSKP2Go5x2QlelV82iV891V0rwLT7	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.227
2018-04-20 09:49:11	81bc3629fc77b1e5ce6eb3b0aa395e51:OEtEwpMrX0srcwfFobdvRm02vG38qiTh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 09:49:13	73bb1d9db2bdb480b7dc00a6451d256d:jjP3OrDIr0ZK1YfIpPsBGRyGGAJiz8WM	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.204
2018-04-20 09:49:28	78d692e3d4fa7f1db38f2e311e20f873:4py0HdeYW59PgfAcvqrY9kMsAVHYCEVT	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-20 09:49:48	1c356379bfe5de61e985dc23e6e5f010:0otyDiTJvHqID11PQ4WrgV17TgyA8pm6	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-20 09:50:21	bcbfe4e9ba423c45963a0b60b66dac5b:usNxWLzmpXJBNUM8l9muvGAwpSX1dy07	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.227
2018-04-20 09:50:39	ec6805d6baaba931da25ad7c74bb2b4b:oWyni05WDJRWYB7rds1cAxJf1oKoCk7h	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 09:50:54	08c5b975a2b88126a059fdbc20a678c5:BarqnOsgxmeEULLccowqYN3J0mAQJYNT	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.229
2018-04-20 09:51:18	25af83f764ae016f3db15f65ec9645ef:3cxXn44SXwlDH8AbMHVOlmWOvCgn3iot	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.50.91
2018-04-20 09:51:26	bbd59239226cc2d25738f418dfcb44e1:JYMufUez2rXPLZl2yjWXSs0zHxCWSU3b	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-20 09:51:59	4de13780fa46dcb9843468b81d7b2423:aC8iIPA9aLecR8gNht7i7zAIBIM8VDX2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.204
2018-04-20 09:52:07	da9e85140dc5fca8ed40b6283733499b:P7a9NIVTTsCmq3wEC6cgMmHAYXkqIYMy	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.227
2018-04-20 09:52:52	20e6877c2cc07945f3b35e906e0e0484:OROvOMajuNrkWBx2l2PY8JLZvSPV7BYA	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-20 09:53:04	50227ebcdb5a9c382956bd39602b7058:6BetjpMR73x7xWpW7CfYXJshZleTnDRm	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.50.91
2018-04-20 09:53:50	4219e97649d99911ebf3028ad27e063f:GxfgxWaw2jI1tVK8L5Dzsa7TNQ02G16X	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 09:54:53	bbb029c7e26972a620fe3982e5ea53b8:SRYCORAxE32IHm8iUEuWtJQfPDf2mQ0z	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-20 09:54:54	d20ae28776f72001e747e4e9c79fc157:rEErAwy2Dc64X2UiYFnHKpHgDn2xlojh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	223.136.117.230
2018-04-20 09:55:10	0175ae6e4253c29e1df6f017c113847e:z0KwjSXL0Ul7q8HfqYQ5AjcHYZApSj6J	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	111.71.30.42
2018-04-20 09:55:23	e8f4f703f7e9490c2726f10cfb84cc34:Vs0aHofloofFC1xpTyv3xE0GWKPgtNO4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.9.98
2018-04-20 09:55:28	4458710a1f0cb2a2e1827c2ee61fa808:ADrXH5jB0FD4LzaHLjztE3RaHCABq5F5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 09:56:41	63e8e7a42fb71bdd0a849ecaf5957436:m64LeaKrE9yvghJQvS12hJShGPR0INdk	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-20 09:56:44	06dcbeed30f2400efdbed341bce0128b:T0MfPp9CV8xeAAeOD547jdh8lm0W94ne	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-20 09:56:47	8023db02ad22e8ca36ac9f6d2b31a088:hJi9WxR4D7KnuZu9i1fvwyKKMQqVRp5G	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.227
2018-04-20 09:57:02	123a9b4f382967115018a99987d90dd6:m74h9BdnuOyadgVPYx7c55pq8EQe2seu	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-20 09:57:40	a4807cda0425d88cec75f83ce29ad466:UpSSgAOSWMX3LfQjtJvNGX754MbazeF5	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-20 09:58:14	66578dc159356de47d04abf23f313c8e:O65SMySIJa8V73mmoqI5muQjnokwZLKe	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	111.71.30.42
2018-04-20 09:58:17	b574a955c1c55dddaa901c23b6acfa7f:i6uPJJLgFFbgspEApySCs0TZehlsve8m	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
2018-04-20 09:58:18	ba3cddeaee0013d49d0094c00763d684:UnbhtPrjin5MyFh9uwtAs5wSLQdJxPcg	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	223.136.117.230
2018-04-20 09:58:25	187bc33e239176f2a63e6b64cd8a9961:MCS33RN0QtJ57x12R4MWJqpxMZou7vZT	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-20 09:59:54	50ba0a4f56b9a683be57c77ccec37ebd:DPaqU7o2idViJ5zMPDRDDqkolo1GusVg	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-20 10:00:12	ceda5fa354a0e4cdcb345505033afa43:cHQaSY5sb5QqQ8nMhj05RNPHIWC6vxZW	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-20 10:00:26	c55510bdba5ddd679c8d44610ff4cd33:kyVZ0QSJaYa7Tigbb0qxNNyMJfmsLbHw	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-20 10:00:52	5f021e4f3b155f3257894db6a2ce6259:K9T011nX6SLKPUnc1KOMcGMfQmJaUNzA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.232
2018-04-20 10:01:37	14b560f3fa08750f5a223411d2389c17:dAz7ure934vWu0kMvSlPEbfiCcM3TOQO	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-20 10:01:59	d34181f3cab930755e8f615d9269a179:Jbg4ZD1PTO0lljbxKw65wMrGMcoGX3Ut	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	39.12.62.44
2018-04-20 10:02:16	9ad9b431844fac34b7b4b2abe9421863:wteoNEnGSq3tOZa0jYQ1TuRuIZ35eO3m	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.30.42
