2018-04-24 13:33:40	4629c5bd1d6ff041d716296f17e42bbf:ANGzB4KO8BB7VhQIj5wuUe1yGglOMOJA	Q1:唭哩岸打石文化,;	101.14.224.27
2018-04-24 13:38:24	3a2895d2f980f75cd919072bbeea88fb:cee1MPVuWHIYKMEKohV8O3PjyM4bgDsC	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 13:39:32	6ba62d908a70aa1324d7ebfba58948e7:lBHAqVBQgMLFnpEMYxYQGlm04mkcNXu2	Q1:唭哩岸打石文化,;	39.10.4.170
2018-04-24 13:39:36	f0d13e7ec2c84a67f75da0f8a0a48196:qbrxBnKgpv5AuxleLo5OHJe6uhdDptpU	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 13:42:08	d23f687b1c6fd5ac434d28b048156203:P7lnKitAFMaqqx4vhyVbElZWoPUIWPCd	Q1:唭哩岸打石文化,;	110.50.150.253
2018-04-24 13:44:14	ca7e563cbf7f21a1b3e7bfc94faf5f97:Vdg4GFNl7BXJdCjp80aBSziymhhU2dMJ	Q1:唭哩岸打石文化,;	27.52.39.219
2018-04-24 13:48:39	fad8716699bc12926e896839ea7be4bb:HsXCWFCws96FUi3b92VHWW52wHbmQFKF	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 13:51:40	5ba660b71ca702e8e233b3bf7ded8c54:Pq1wXQuQy161cEJvL27EyjWoqBZIhI8a	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 13:53:02	67ce9c0d2a74cc655a500adfc0866253:JddAFg4PGDHGWjsoauKY0HtyinnmK9IT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 13:53:22	fc7b6ee9f72042339e68397321b5d3ad:iqqdyEMRLqPfUkeFvKFYkapDBFX6qNqu	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.211.138
2018-04-24 14:05:28	f6500911aa211c2cd76e6705f65f37e4:ywCDXAdN92oswrllErrAbSOsuScT733y	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 14:06:48	01b8205bdea831521eac4647c47f724c:Q579NHVIjS0IAokkMRQTUbFe5blBmigh	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 14:08:17	143f68ee13e1bb4d77d9bff02108838a:L6RCITrY8MHCHAHLNljziZAw1IIaZ6Pq	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:09:29	5f9f37400b6c3171edd373034391f245:4cK9avRpWcSPbQoGM6OqVsU26Jd7aMy7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:11:30	b757a6c4cbc2520ca75bd4607e5a17e4:Jjq9zpGaVc4tDkGQc8sMs2cLqB3u5Mll	Q1:唭哩岸打石文化,;	118.163.98.33
2018-04-24 14:12:24	b90f0d1c4114702b8d71dcd4f67e980e:IHc6GB6QmFxMKfSAKMrldPDvCtc5dpRp	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:15:18	c88186f6e8c4892e1469548dda8c2430:VpHopEVMXqYnnmzr9UWSykQa0hxYsen8	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:18:34	db8716558fbc97f6fae94557b860f70b:fIeha3u6F35VValeuHClYCx6xqHhUYBD	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:20:38	e6fb2b8e7e27140ca290314eb7e00d51:AaM2D624hYbSkNRIDWKJGxceQEazksK1	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:22:39	9ca6320a07b0f567513db0e872013dc8:lQzbBpByBrNemANQYAaX3tImNTGt1e69	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:24:30	91f877b3c560aea0b4c38d448e17207d:SUzuyxwY1almYUqcf78m1hvnqIvijfDS	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:24:58	8b93d160d7fd58ce09cb3087a5f8d6ec:rnvGkPRr4gLooo9UDZ1HPydsgHAMO805	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:26:22	4e151d80c01e3eea1c196bc6b24fd1fc:LLeblIsM3HVywarpuBAHj1LiVyTGvUUP	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:28:08	3d20de497b74ada82e616c57cf6f8993:FTs9HvZY6rkqFjbOP6rBh7HAKEirHoEt	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 14:32:00	90febcc220b6ee6820764b7519bc70f9:7TB8ufPUPKYstxgachYbKOQkRXNGFvxr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:35:15	685778fc1dab5d3b292bd8172eb43d74:q0yojJpbOBZzsI7FDjSirhEVHNC64YMA	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:36:53	340d43d07ad6e1b62d8fb10de847a3f6:ZmAQvpe6pk76gLmtKJcvZs0Z6bcYPO95	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:38:15	3a3938a116878c7ca22c12d06606da48:fht3agmT18j23jzH0R3mrK3JzCWnUCAi	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:39:16	29d62d4921e6bb1449cdec55cc78c7b6:iHKUCorUrNl8eXvyH79iLKMqn2IPPGKj	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 14:41:31	a2acde16f206128aa1ff79717122c758:fEdBpOjK684xVUXcrxQ0y6264gE7xE40	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:42:25	d05a790643d64d37ebe38d40c344f951:1Vf6HoUFLmTTISuVikFNmhfOJL5JwNE1	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:45:02	e6c0d3e7bc29ace6c26aeedbcdf3904a:TeXYQDW04FFz5nYxEYQZCXHuD9Kn07fj	Q1:唭哩岸打石文化,;	42.77.76.1
2018-04-24 14:46:01	78fb1c6589d0489df98681ea76dbe69f:UYtwxWduv7uUYJrhgsbJPmBIrsghjcA8	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 14:47:23	421771feffc85706202f42b9fd2bfe1f:WGfKDL4BlEQs3EPzsi9s8Dj2keIauOt2	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
2018-04-24 14:48:21	8c92e0f4f0723381b8cf111a15ce1fca:ia7jY4Dc5BXxQV19QJfAWjQbcDFR3Jmg	Q1:唭哩岸打石文化,;	223.140.117.78
2018-04-24 14:48:51	ebcb771506545e3e997ed7c0e9c40760:ah36fUppIZpcqM7swiQ3b80GB5d0nDkn	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:49:28	a4057cee6d9f7f4c0ed68999d561c03d:JijP8rAtw0T7StmTz5dolZZzOU05EAMP	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	27.246.165.70
2018-04-24 14:50:20	6982857b2314b45980c1ecb6ca99aa9a:vLbMxn7Dwpwm5WECTYhQWrOyKJQVRmOt	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	150.116.232.66
2018-04-24 14:50:52	9ee1c078245dbfa34450a408595d08e0:xutYDRUmoleJx4oX6EOEigD381fq3V91	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.78
