2018-04-19 01:10:22	69238f0fcd7e80410bde208722eb4ec7:wdOaoUlVYawnCMVj6nUdiY0R3ryFerq9	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.68.31
2018-04-19 01:13:29	cb7de68ac4749334ba45ce58d7e23251:wXmEJvEg6o44x1FGQ5rB9UwU7zNpap8n	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-19 01:59:50	c1c056ae37601e3400a1806c6e5c38db:OrUBOjLSW4P0ukAPPqZuIqvnorGHsDER	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	49.216.230.139
2018-04-19 02:49:13	686f66b6d3634fc24760de8393634930:Q8FD6HT9Yw666J11CQu1xG8wOzUhidfV	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	42.72.155.244
2018-04-19 04:13:22	6d77f6642bdbf942882761e3ec5a33c6:6Tq771FFttWfOoyGr4qWm9aKKAdP9ptV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	119.14.26.78
2018-04-19 07:09:53	6e4ce9ed3960e91847eb70b5d94a6e66:f0DLGAbOYsoDnSo3m0wFye7Z1XCVNET5	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	115.82.232.172
2018-04-19 07:21:14	d059fe8ac2122bda942a80ab0a3f4e73:x6GnViauXh7Qb6umOwPPUbEUXwXDCSS6	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	123.192.170.233
2018-04-19 07:47:28	d383547082df753400ccb2766c145f11:LzqyaFQuSXzDSDfNQlnMcuULj1oqyb9L	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.3.150
2018-04-19 08:06:00	faf938da6a60038d3ab8652cf2998d67:ahT9NITWeNYGZ7viCnXKfp1HOcU5GipM	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	49.217.34.195
2018-04-19 08:14:19	7db201301ce56db71825cee52899d22e:9gvTDfFeunBHP44bnfk23NsLa25PUp9S	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	106.105.101.18
2018-04-19 08:31:40	cb7f424f72558ef2d8d9f4c221caffde:MGGu7ZCRp9EriZfl4KmPZaTG3DrxK9qX	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.47
2018-04-19 08:34:58	24b3f686b0502aaa243e558b7e2096dd:hmVgDzwTRQEq9cBk08GNe7nHLmmXBxeH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	103.226.214.250
2018-04-19 08:36:55	7fe10642b0085880f49670bc36c62487:wQXh31gsZrwreeUTncWPLGhnmudLL39W	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-19 08:37:11	8f6cb1a114780231162bf2dc62a392e2:YAU4VwiTdLWafMFDBvJtOnVEFHVjElBP	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	103.226.214.250
2018-04-19 08:39:10	6447c97d6a88925cfa2a2deebae6098b:J4EzmELSU1a1W8Hdb1pSgXo7jPe7Fl2d	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-19 08:39:35	afc0bb8b2192fdb52b5bfe62b96c642c:HmGnXPaCN1fBWbiBXzAGINsrrJpKkx2F	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	103.226.214.250
2018-04-19 08:41:11	bb149b3095f3d04b25dcbf578b4775e9:dliWLc8PReF6dgUWiaWDGii1l7KhkG4O	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	103.226.214.250
2018-04-19 08:41:46	fbca6d965486e2f8130fc392fc817f0a:eaYm2Tbhe81IwIUK7QCePtnWLV8pvlzN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.68
2018-04-19 08:42:31	6b9d0ee9297db431ead71f8c4de5f81a:3nOTkK0zG401cxlmW2836fOmr5teVti2	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-19 08:45:52	b5d9585d9937da88292cc9ef5999c89f:F68stWtdccXYZlXXPGefG7jSIpEpq5K9	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-19 08:47:20	476a545090a5af97e50a9f4d78e25d94:rJPyEfyft4usnriR8bCo1a5cpVlYJKoF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.68
2018-04-19 08:47:32	880482c387e9e747e26ce2a9a4c44f41:FOutQOCV3dGJKYSnd2hyHWXUUFH5SDJI	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-19 08:49:42	668063bd052210948d2747bde4a5ab72:qapKyuCoqAdCShYbpA6OIdF1uFxvZQB1	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.9.187
2018-04-19 08:50:24	d96e18fabbdca37acc95f1048bafe5d6:37hUs1yPTD0Bf79GPQOvrO7wyZ542uTl	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-19 08:50:40	a6be87a0c896644781c8e134fd9098a9:sVzEmxmHW5zpcVZ1VNuTgi97kpoe2pDt	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.180.115
2018-04-19 08:53:52	eb20ab4f35db811290edcc8d6f174cfd:ug8G4bq9mKwK6fxNN45XrQXGzG3465rK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	103.226.214.250
2018-04-19 08:55:38	d252e41dce2112ede176b83f41767224:b239uFJWnRU2qBEvMrdXdz8lRH3r1AY9	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.68
2018-04-19 08:56:14	64defd1d93b6fe1e5580964510b6285f:prZCdNu5riVFlL7ge5n0sNPpjfAL73Ee	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	59.115.138.16
2018-04-19 08:57:52	d6353558f0b055823a7d7610f3ac38cc:UcyGW9jiU3SZipDqXJHTLpnbKAQmNPmN	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.68
2018-04-19 08:58:16	369ce6f0c7ea56ed5c921b61a10adfb4:mQPoGt7VT8yEGMGVMDEOGxVqBnZ38fw7	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.28.48.170
2018-04-19 08:59:03	faeeda825d0691889bdcd8678ade77b2:u4Osyzj5cMvolQC5MhWgG17JNcjFDScr	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-19 08:59:10	3b104b6c979b9ce9acd7c0f8326dc7c0:lnEg9dXhtUH495BBoJNs6ECFjbhYUcBx	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	103.226.214.250
2018-04-19 09:01:40	8e8d7b5e921f59c1400ea28bd7a54f0a:J5bsX1i0hHM8LA5xOpRuJsnH5s0UIaC7	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.65
2018-04-19 09:03:19	573f69ea8af49ae674d7e60e7b4a33c6:jTiHrtKtgBtirKUN4lRDvwPJxt39ETS7	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	103.226.214.250
2018-04-19 09:03:27	8dc2a5a1f2bddfe11891f225d2a5084d:QNA2f59QFcDHpgPV9FfC28HDcU5nMC0n	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.65
2018-04-19 09:05:04	e092657649afdb7042ac057af9ca1783:fxWXSOWBosq7cJpfdT82vwDWLK811bXW	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
