2018-04-25 08:22:10	d40642d4f331a6c1157547dc4f5efcb0:1U9qOPWRrdBWIM7zi4GaNZLj4TrNMI5u	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:24:34	d0d0856412d929beee2c6e324bbde65e:xtauBPQ6e24n25Hc8ns0LTeOUBYElOW5	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:25:11	42b8a2195c6147de23fa207d71146070:HgvYEhrtGBeOgjZbMvY9kuR1UFCgzJII	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:32:57	a6a5c7ac5952ccbbe643a84992adbdb2:oo7chiY3lGewr4LdvIVv7iSNAJHwSBaN	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:33:02	9b82d6976db14846bb65995f954ca5fd:bObyAuDIWXx5Sv3BPB5wY3KzvfUoq28I	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-25 08:33:32	fdd5177cb6c65c2a57452ea2a8c2acc0:ZgkYUxnnfhAApoEXHz52uVntkykYG9R9	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:34:07	899a5af3a3f55ecde233eba94913f3b7:mrGOibztLd443sofKaAosGhcfVyZS1dh	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:34:29	c835bdda85d5c7b1183c690a7dafad50:rgXS4iY3EufKw3o1yIIcRTvR8eIwEhEM	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.126
2018-04-25 08:34:50	2fc2ea8d0a4eaefb1dcc5e09c7bf90c0:eH8d9nNzhSx8QeCYgjjjJc8aF9C6esAe	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:35:34	a042623779a10ab8b38e75d24e33a7f5:EXsZLkN1238Xdi6RHPC34tQG68Vjpsn0	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:36:16	78bce153b2a2848e0f00dce89c70e503:KR3q1Pqd9a1le0QnexPhtwfZ3FstftVW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.202
2018-04-25 08:37:28	f6ec1fb0783ec847b7407ecae0278111:fGdEY4XOxqeVWvGD8vlpLDMXYA9EYTjs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.16.213
2018-04-25 08:38:25	eb4345679690eb6a6850b31cbe168256:6kqX8GAoOtH9nrbcBvcKSuWzxCAApLxg	Q1:綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	220.135.174.221
2018-04-25 08:47:41	5371bc6da81eab6c741d2ae6a5e98e40:S6bpn9qKOVVo55W3r85OBskqbdknMQxl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.126
2018-04-25 08:51:58	3bb37657bdf89dc1b45d7fba6a68c777:magMcKmloRvch3teJ8JfqS0F84MnDSS8	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	117.56.49.126
2018-04-25 08:56:23	83575825d68292839b005b31b78d0f51:o8810KiBmX4pLXYfKrkC2sjXpElXyIjs	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	10.254.248.198
2018-04-25 09:05:00	4fad814d36ed74046cb12b235d168321:6ixpsea3HQSanTKUyBTGTRoeZBKV394F	Q1:安養平民化	,綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	117.56.49.126
2018-04-25 09:16:00	9e79b37749141c7dd1f704d6c48ccf01:pUa7dXaRcIBQx1WbCmpCeE9vcWTbWKRZ	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	140.112.121.115
2018-04-25 09:16:52	4d40f76d6302831afb8c4f69eb8b0417:oFQarBdfsLUXl85FyVyr0gLHSM8JSIdr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	172.28.19.72
2018-04-25 09:17:24	d10da3126fe8902cf2670cc228bc3f63:cZ6P78cihUnEYDDMcTT48e2bAddBQm1h	Q1:與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	10.254.248.198
