2018-04-19 07:05:03	fc6186dcae29502dc7acdd7c4033d172:yqNCP6l8VCQeTqZSnMmQ9Erm9YCtmQrq	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	49.214.177.152
2018-04-19 07:14:18	bdfc626c410636fe126e7955721ef53d:VM8f2aC3Tif9qHezGMkUnqhGsusGXUQU	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.217.95.62
2018-04-19 07:16:06	0d564cf8cd68435961324687ee67f5d3:uW8JtGo0n5FTpZxf3nMxXg1qOm0JEvrZ	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.217.95.62
2018-04-19 07:18:49	6707dcb92164e4eb2d6df3e197ee6303:HCQYJdDqVniNjbSg5h8uH5RWQJMm3a3V	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	180.177.115.172
2018-04-19 07:28:40	82e7fe1b2f7239582ed8ae5f83c57f06:nmOcLQNEkz0MiHocqNPUJDSlc1jogBbH	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	210.243.36.15
2018-04-19 07:30:37	429e3a4d3bade096a9433df757943d45:UPEOdDJ1c8DFa2bhSD1A4pRUzNi5gi14	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	180.177.118.216
2018-04-19 07:33:08	907022ca6c1c9375fad26d37a502ecc8:Z0pp00fRrZ6d0GkLoTbNQ9V7cyYM1BRM	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.41.132
2018-04-19 07:34:00	544a29e4802c66b9b0bd8932c615871c:nwwdVOquwv1iaRCKlNwcEioutzmR4Zd8	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	180.177.118.216
2018-04-19 07:37:01	05186f9e0fc460c8b231430eee7d9c30:wenbe2auuGYzpyzU9iWGGFzbCKyf9XJy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	39.12.70.147
2018-04-19 07:40:59	f0af0e1ed0ea8c3baef0552a65af38ac:jS6SUDi8FrKGBcccxsDPnJkPPnynOL5L	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	111.240.174.44
2018-04-19 07:48:56	bd69ee87fcb58f71b140038838808768:H3u236nBvcZAmJvd0G4JNuIqMPbcdtgm	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.4
2018-04-19 07:58:06	4330aedc6b89ef8b40bbd43c7d9c5a52:l2Ywb3WVlaGWGNNUTtZTOHf8qSEqMnjj	Q1:綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.74.178
2018-04-19 07:58:22	d4e744afc4b504a9342bcf7b19230d56:EEzefmQvHwWx8k1CEfCAKHQs4cLF9mBD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,;	223.136.86.223
2018-04-19 08:09:11	d07bc61419c6e15d2ed6e016ef3ecadd:HFrQkn7YKVrsOPHKTBvfZyjcpGY5fmJQ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.113
2018-04-19 08:11:32	ffc0b26f8916dbeb5a278a1363328f61:mSTbMdXAFjHlmDMe0evnOJQgKCTK6yP5	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.113
2018-04-19 08:11:36	4a0ae7d20e6e4f64905727ed2dc68cf9:dMhF3uwrJ1jeUFIrsKk6YwBrcehAJdYG	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	42.73.61.188
2018-04-19 08:12:53	717594e5561ee26a3299fc79d3de1fce:mSUGKXl31vRjS5pVW3sKt3yJWk7B2MjJ	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.63
2018-04-19 08:21:05	8824b68b2f0e1a6314d164904e502dcd:Ci9KSOozLBItuUDiELLYyaONRpHZ9a52	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.145.107
2018-04-19 08:29:17	c5bac0e27dea4b22255cc538f49be4ed:tcDkxpa9QxR9dPKLp291BXcyAqxOqWf3	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	110.50.133.84
2018-04-19 08:30:32	44c8d2c8432af49b0e7eefb190b1e39a:rVx2J9XKj0MMKPldK8bynR2HPgrqvKYJ	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	202.39.60.235
2018-04-19 08:32:33	60edaac94a097a11985c2a5b9d1b4c6d:sfNqv8wuEyFIBPfRSGwPAh7V7BGYii8E	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	110.50.133.84
2018-04-19 08:33:08	4710ddb2cf3fbdc2258073d4564b2afe:d26nmG78Gl0vvvys0ZbsFk2gUcHvMMGl	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-19 08:33:21	1a95cd85661bba8f7f81a236576654fa:ciCMSWCH90KBA1gjKi89aMyPhMxatoSQ	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	1.163.101.45
2018-04-19 08:36:25	2ef8f9530b0e9990eadca4081d21b57a:ppp2LZyMJkAXXothRCIk2fGN2GKwzPUG	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-19 08:37:08	e5d112bd286db0fce366d8870c8aa6ad:GodEVJBlVANryjGN0bDhUSvcErJQoYEP	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.200.224.171
2018-04-19 08:37:14	8bf79ed89228b067d515229f1b0f0364:znfnglWCPoQk4UnPCFmV2gSfc0gc8IMN	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	123.193.103.15
2018-04-19 08:38:34	4df54ff6f0bbaf91654dbdd02b297e2c:CKT8jl4xFJNJBqPTbwejV2cKK8LmZ3C2	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
