2018-04-19 09:52:31	23375a955ab829b70161bdd151eeb798:qXgMMtObkzaQWT32FJ39kZKYm3g7YWSE	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.121
2018-04-19 09:53:33	d5314d2c473a409535fbe6ffe0b663d9:BCoCZNNhJvA4uQJCpd6XnyjMchEiw5S9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 09:54:03	6f0f833947d464b7d55ca4dba4526035:yzuHhDa01LMqYygl28UHtZ0FOBGkSKfD	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.151
2018-04-19 09:54:28	12b7d2e48adc026bf56e83b82d1ae2b4:8Nkr1LG2MGNAXTKVFL69jJrCyM0XLogy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.3
2018-04-19 09:59:30	1add8442cf499861f9d2578f4f5144fc:1gwQ7WDJpO7zF0Q2xh72bOkABW71N9EY	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:01:10	fb67db8b0b9ba3cbfa6e7a390f2db3a6:j72w8wfTOyoflLYOwGVx8yD3Z6yJR78h	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:01:45	6c617781e9a7dd4f5bd61c623fd0ba8d:JjBOeniZEEZj8S1wDIoNoejLw3HUikZu	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.3
2018-04-19 10:03:03	46752310764b0cac7d2f5e69acb8c477:h5zHTqbqsAnZDWBK0wB0GfHRB7cMMewv	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.3
2018-04-19 10:03:03	23286e2f1c4dae7e90df92534356c4cb:SDw3IKEJKMQv8Dd7t9wln8xfJLhM69dj	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:03:39	ab95e43aceac36ea597b5a60a3bd3d0c:74vm0DxwJWxD7ifRkqwyLgUL3RNI30FE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:03:55	b0779f9186c3ed1f428b5f16a430df81:2mxHI3TD9RSRWT0FaSSjqA8yqafQsKa3	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.3
2018-04-19 10:04:40	2da73e9fb96433391ee97e3551b7e011:wwEQTce8R5NkE9cfX6zJg9PnhJQWGnhX	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:04:50	22852500e6c5f959c6adcb7af48625b2:EuVfcU1IIiouyS1mMxEy0aaUUXyii5kS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:04:53	b6c0c10639b7db2fb9a7d3fd1ee6e183:8Hlm2W17p3nHvbam6uNj5d0x2oecbVTP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.3
2018-04-19 10:05:54	a42dbb982b208f18fdad21622d4cd588:UUCmZPxDiLlFfRIAIKtd49euPEZjVxqa	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:06:01	69a2c7e3e0ef43eaeb8096de099aa562:ZJLqAFl59McGS88vmly8lmLKzerHgkz4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:06:49	55cbad16ad86368b31df50bd372f6fc7:cDPTy9fZoSSAA83Garkg6w4TLYqLTMUi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-19 10:06:51	305a489f9404c1dd5999f7375a33c157:pry2z8mtYSrV57kcCezMxMTgOFxslFWE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	118.167.123.31
2018-04-19 10:07:08	a61db091c219a9440e3faf32701e63e1:TPajaJF5rwzFdFc4Ccor0eQvpT2ggUqu	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:08:17	0c4b9b5d2b19f192c1090022b40e1972:cKBuNcRzSIPLBAwb7kTsO0NCrBh19kIO	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:08:23	22c55db337ac65b17cd9be871815677e:GUbVLBl8fByduVqe8WMAuCHcc0nBIWp4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:10:00	5dbc12b50422af05ab1fc3b22bcd7887:wYCecciC47AWRZimpQgtHwKzw3q1cCws	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-19 10:10:08	f3290e229564d2f142ed114b974a1ca8:T3xO6zn6TxdOJTa1gnraVssABpxD6hd4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:10:47	c4a1e3bd84f6141b36653966ae9fb6b3:maSMuckJCLshOdkBFJ38LhoUckqBcBtg	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.17.65
2018-04-19 10:10:47	f8d47bc155a24d0451037659fac069d0:rVVPPTor13olpCevECiU7g2MqKuIpA61	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:11:23	0d1ad7b9629ae5d95d7d6a8544d1ea46:91m9TOhGbV0BZnO68VEPJLrRXdWSa48K	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:11:48	a8507ececcf7c7bbda75eb43c1d0694c:W44iHfJPK0hGhLhCdfsbtqeaT1fiQZaj	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	114.136.86.51
2018-04-19 10:12:16	0442ee77392e3be4c47236cb5a18fb96:fQxa1tj7qswGVrHHQQTaFVjd4nJR14xh	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	163.29.252.130
2018-04-19 10:12:19	9a62942ae6a3df40e2f718125e18048f:B94l5mvWlTwwayxmclNv22kdO7Di7pCI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	36.234.91.59
2018-04-19 10:12:27	e79a45fbc92a521d972390d429a1b73f:dLo69YPovGpHbq58Z9Mk4DM8dFmrOAuX	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:12:57	f248b06908f5a50d21b5dd9b0e4c5c75:UuIot1oxW2FqWtLAVnZ58l7XguZE6PoP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:13:06	e7854e120ee0a17dbcfac2706720224f:e7jzjN7fV3MFjnPXVf0pbkGfQoJRwkpF	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.86.51
2018-04-19 10:14:05	e042ddeac16114fc0a43e42aa053b5bd:DrZdKhogIJJecAoFEVgNbplNeTPLXDRV	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:14:22	edae624404935b530a186ed755f029bf:z0kAjxZ2vFR56EU3PCOMGOUNbUoqUexY	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.17.65
2018-04-19 10:14:39	0d63f0d6ac793792bcc073cf8016e5fb:rs4mcUWAFgs3w0akpocW7gefj8TxY9qi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:15:59	65289ff08e07372eb1d80a3d9d996198:UhgW5pPdiDPZ8GRgxBoBYiBZmDuuV6H0	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.17.65
2018-04-19 10:16:41	8a38129de78a436d3c9b61210f256bd8:G1HNnTCldZL2J1lwsEmvoHC8eYY8O4bd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-19 10:17:23	007e7f18ba7e8975584223621c77c946:0m2XcXxp1RRHpnqVz2NVcWAf5bIGG6RF	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	163.29.252.130
2018-04-19 10:17:25	126b9c43dd1db0b6f14b7bed4418e527:4OJAn3FfP1yF9sBtjkt4QgyRg3q0wmvG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
2018-04-19 10:17:47	6d7ea213530ffb3c4a0172c7bd947c0d:zD8RbynLxcq2AJ8rPzv5dd5QAAHCulrk	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.17.65
2018-04-19 10:18:59	ebbcaf57cc2ce5c615811a297e657b33:RvjqRHUxiocbdUYmSyLlgx2JaEMth8ce	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.187
