2018-04-26 10:16:41	4a223cc69ee96373558c69894667f933:OvhNOojbhZmUg0jwCFEHh6sx4poIsgmE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:17:28	66fa2a0383953fa0863d8fef36c60501:aayTF7XRfkX07AMm5i25G2My96xjz0te	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:18:15	ce5b9f90bbc41a2760cd56b42545dd8e:84fDbG1E1wYECou82aeCB7v8KN4ilpR9	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:18:32	2e33319bc788aed5e7f7f31b965cc2b3:LrsYBuFZMpAwNUiqA2SCjvOdUjZRXLLn	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	182.234.38.148
2018-04-26 10:18:53	dd943f95c48ced375b1e1c2b3c492072:QglS1NFNVzWtoXdUEk9erH10LUZZoviE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:19:40	d6c420b26dc6276a121fa2304bd1edeb:Z4DXGhBD14R0eyBzKCW07NO8ooq1Sqwn	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:20:26	6ec9e77df0efe685a08bcbe1cdad4ea6:yHkq29PZ2aNijBzEuov3UqxiDLHS2Ozh	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:21:34	a8c78119f9e7e0e651aeffc64e17977c:8wceD23YmqxxF32CdMv82p81SKh3sql4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:22:33	e6217c093fb80223d35c42d70ce6e703:iO2SrbwUv9to2j88RkjpDszuAuNDEtV4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:23:06	d5ac26c47f66ad199b8ea77cea186201:63sl4MPmPaGvZqZ67ok9RUuJo9BDkEpH	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-26 10:23:11	a189a96563c41655488d2cbefadca816:wGdWPWgaKrLr6MWxULfo29RobJcvA3kN	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:23:44	2c1f4f73b4309cfde3717fe75b33ed45:S2iPrHCFgsUSkuglWOlY8RUBqmUWxDWq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:24:22	15a09b418a5995959dd7b3dea39bc125:5EzkcwPS4yjesmADlqr7S3MBb7Z5ytPF	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:24:32	91a9b8139d94005bf8a8481179b6891b:Vtze7hpbgTQO7D3RvtMXSnphWWA9raTe	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-26 10:25:07	91abc01df974fd58dae4c214cdb82d72:KMEAPVZjTG6cstFk6bitAnHdybvm8raT	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:25:49	a771387d219a35425287584ef0aaeb06:v50PbnG3pyYscJbEbypyG549YmSULrUd	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:26:49	464477897a30b6c7a825866976513a5c:B8UoGID5v9cBRjCMZIkivtKBc0Qu7Vbh	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:27:34	88d758d942c95dfa9cdeb3b5755c0152:3X8UuTTyY9FP8mmr5AIPJkaR0hXQpoxs	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:27:43	974637031023fd13caf2d9ff0d261182:XfigdcQhe8b13tfokjSe76Wp4ZWFb1RA	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-26 10:28:28	f42b337461c46c337e592b2be7800fe0:50kZ4Gs9y9ce3DnOlZAarbVyKGOAVlij	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:28:40	24febcb9c61d453e2916b2661b20eb3b:KwQnFbEvm2o1FNdoJRRxD4hbexgE2N2U	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-26 10:29:08	6fac9764bf5fe7fdd1a1dc4f9af7ed1b:j8IDoxTp5PUYjtTXHvkovaUzZaRQ06YU	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:30:05	b5b35c69de9171718db8f71ecd818688:YAe9dYkidTGCZD46qE8SEP9bsG7HJ0qK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:30:24	ebb3856e631f9aa652a19595260d5473:rgRtAgwi0xqqgJPvqKK4cs41XKuMOE4M	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.42
2018-04-26 10:31:03	0626ea2765a9207afee91ecfe2c58c4a:sFDXeSsnyOjHZ9lFAz48RhOMnr7O5CJR	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:31:50	f2d3b6069d5ac0972f63b642d80d22b8:g1J866Dnr3aAvZ6HdEvGIhfRwinKk3Bf	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:32:18	20a331f6056267e3ebe981b5e2183e95:CGKY7faibIgY5jXG77jAgaIEU6pBLJsc	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	172.18.90.64
2018-04-26 10:32:35	0ca8ba8fb38f7e2adfd496702e2db366:lH8TAO8clRMQis451pkkmoysXqncXKCR	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:33:24	f8b474db6101f9e78b637e9bb6e4c0c6:wZTPpOL0FSZRoUEbskt7dxEKLxfbL24T	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.23
2018-04-26 10:34:17	194477ed0439cb3f9b013dbd23d9c84c:Fus85kPYc1b6IA8RjcJFnn3rAjqrtWwW	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
