2018-04-24 09:35:55	56ea0bc3d8fa95d7da15cbba27c3db50:1tZZaPKRUe3eZQX5CEX9fx5Vpl82cZ5T	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.214
2018-04-24 09:37:19	11b8a72d4b37de60fed8e53a970aaa4f:2nMjwsBbUcujyKdqSY03XcOXBHytNwr8	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.227
2018-04-24 09:37:21	318a6ffbd41aae155101cc0b9be7dcd8:fSzZvL1bc2VDGM0FcHwrz1wNjB26U6yM	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-24 09:38:30	19a6fee51758e8c7baf3b36af402c92a:ECIKkAIWxxbvyXfAp6Ef1lxIGkldNQpO	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.227
2018-04-24 09:38:39	8f78397c5f46e69abfae13cf5adc9f1b:vQkeGs06qitbUIHFFvCxLicVgIiZDwwW	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.219
2018-04-24 09:38:50	b75e7c0f183ff6fcacb8f203cf6a9ad0:Wg8f0HAoSlYbZYHmPmIqcDwFlD7yjh2v	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:38:52	d01922d9e30ded120f57560c25bf9ca9:q0W9gjaBSC0qX3DbWLZ3B6q04QlD8TAG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:39:53	c1ebb4acb74e19a141231f2d27eb7729:MO6xAYyDDi6N9fxFjAQVHRSxMvihuGHF	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:40:00	53a323c5f3ea028f82323733c65a5e1a:T7ntOZm7uw2oWVfuFBWA2vlyZcLwMRYi	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.227
2018-04-24 09:40:00	78913248c1e094bfdf1da335a4524efc:pJuxoal0LM7OscxZXWWrvfiXNjc9wtGs	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-24 09:40:36	c551500db057959dc490c37996a8a1fd:GwUfDy0MODeKL35XtmuvZO3hKd69m9GU	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.214
2018-04-24 09:40:37	200e457dacebc2304b0db66a211acb91:6fnGLAHcQfDGlwEjWX2HUM66HDoBFoCK	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-24 09:40:51	530e088fa1c0c811f43c333e2f599934:rb87sn19d0b0iaOOXLk3v9JORrW0gWpt	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:40:52	2099b471ae208771efddc45a92098f86:nKpgnVg6IbXVfLjqIdCPISd2nFeZ86u5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-24 09:41:23	63f82329fa0a6c971d10bea4043fb0b7:qi4KjkjHgI3CvEnrYDwyS6FGesgesFHk	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:41:50	416e7fe274b5d96a6dc59782b1c76d40:JxBOyB8xZGmfCIwGz409cVqF4wOHCuzV	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.203
2018-04-24 09:42:13	57b8128da3bf39c7c23fc296cb4986f3:Iln7EVRJP0pt5CeOM6LUCHeeJCGOq7kb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:42:14	1a4465c7e4c7175bbb5b54d5d39c67d2:ugyYPAWlp6ITy3UkiKUc8lA3D28KYY4W	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.219
2018-04-24 09:42:55	6a40a57d83ca40a5a0575799d8bcc9f6:OMdOGXZSlaay6FQd6oYOrSXM5FrqJkji	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:42:59	126ca17085cff5db495d0fe9053a5ee2:Fe1Z37ahkFWh5JVMUP0TuTdadCVAsBck	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.227
2018-04-24 09:43:18	59656db1d11187409af32f72bbd1bb2f:DLaWzMlG2tD5zbhIyN77ymu3Xh4LBm3L	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:43:25	47860d5b077ecfe2d61f809a41876877:tL5taxcY9KzOWNZsiSwklTgbez7jIGKP	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.214
2018-04-24 09:44:01	82ef366985804751aa6741173923c744:k3ZSAoVvCyG0tGW3OxyVFyFVtsY0NLPC	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:44:11	b26028b1e4e11479ef73000ca94dedd4:OufNmCDilTeswB6ZwW5S37szLLnkoELd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	210.71.60.191
2018-04-24 09:45:11	393c90fed255608239b641e22c4798eb:1kqLAod3ATGQH5nGH3zq1EhWcWYLHArM	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:45:45	6600232008db5038c59dc8d2a4bc6b4e:MwpwaY6AElnk68W4jkypnZk3DItB79JJ	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.219
2018-04-24 09:47:23	395155cd5dce90966f499ada872f3bc4:xDfpZi3uu5zHV7JbOpT2jJTiHrRCWKvC	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-24 09:47:46	396a05f36f9c3da697e29d14120b4861:YyqBAfa5LgpEk021X200o5MkxBTeD5Vm	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:48:33	900b3614501ad2ad3ad244322c9a90df:HQR8KxtIbBKHTRgdI8lq5GQpiMFtKNsJ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:49:12	e861b1a67f91cf087bd95687a7887496:XDtxepdvDtUuOqZYJkVotU4F6acM22mv	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:49:12	243b188f7a2801553b2f427f9f55c223:wPobuBH8zWRquDhon2X3IaiWWku9Gbaq	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:49:50	d9bbdcc099c3f99fa1c93be6745d03f4:1EwP1betov33Pc5YmnfOy8nGs1YkGAc6	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:50:32	7d02f2485d58457a3e5bf688ed4d4598:DuUZJonW4j8uz6gC778DXn7Wf3KqLnOs	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:51:25	dd2f512a1ca585e1737aeb408ed8987c:6RI7PsV07cyGKmH64tWsz20Lsqfil7Bx	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:52:01	c6226255e3fc792afa10b6349d036a2b:hp5qKgmsVVaSxlERMLRte4uGOoo3WHpS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:53:03	4e8e9f75bcb25361ac03574892586a64:IIStBB4M9Me8v9NdRSNpfO6BVGYR6Cyi	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:53:19	94b025fe6ed8636807e87dcd4d2a7ed9:TqXP50yZ7U66O0CD7SagwjzpX5rvDF2I	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.19.117
2018-04-24 09:53:41	40c0338360dc92dba59b3b8422ddf890:PULJZhLXZVAFVSamylwd47Yyoy2PfD8m	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:54:19	62cacb79fa1ab46e932524e20f4a511f:OVuoxEn93fI1WgcRTGIMMkeJ667SrGpy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:54:41	b126d46b5db45e97fa3c818213835a4d:gwvC9njAiUTpzSHKsibJ6irIrfmAhy1q	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-24 09:55:34	65190ac8b373f1012cbc6a89a8db2149:J9GPLzOIj80LdkKPBoDK72x9EnUeaaN9	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:57:42	022ec4769eada0a81c1c8a486e17a4ea:8LKn8y9zSK1Gz8j0dY2xKo1fu32AGsQS	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 09:57:48	fcde56ff23c9fb4b927744b30ff3dd76:PKjBV437Fsv27MZvHTMWwNamcnQfcdTQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:58:23	7872d416243d5bcd922b8e50956db04e:efrKjBKI5l8T8BsMNYSe4Y6D4h4F5D5u	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:59:14	0109d75cf61cf12cdf13cf0e6730554b:6pYzojzJjKfzF37ZDUywrJSJiux3k9Ed	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
2018-04-24 09:59:31	4a4b9f9ae653581d51026840592dd6b6:Uo9kFcSMEqBf5LXlyBUDlAFT3AfenGLl	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.19.117
2018-04-24 10:02:01	83250165d60174604d6c168c16baf5f1:STfbysAMqb4A8ZQLm17qBdTbJLBMIp62	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.19.117
2018-04-24 10:02:17	a7b5916d6327224b9f8afc431ec4f87c:sViKfyoKmxTllijJ1VewT3bK5jd1rpgE	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-24 10:07:44	ad010a39290f56de493ee5b71b7dc459:TR4KOpnww4Q5b8KhjOAm3LRD9r65xefB	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.233
