2018-04-23 10:15:11	875f5d7cab89fa9836d037ae4721ecdf:BxoxqtptrHjjH7yS62zZ28VSCS6Oxc9J	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	27.247.129.50
2018-04-23 10:15:34	33f77fda66896f152bac765048421b0d:wCTRY76415oP6QzyvNYTZ8YJR5kcjPgP	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:15:46	944d861bb5a979e12b9f62b8c8bc4791:eyD5HRlnaUdfAll0IDOHhKOhzv3GxiSZ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	103.31.196.193
2018-04-23 10:17:25	8c752e73854f4f422761109c5451f0f0:ttGS64OqrjUtTNd3O5MEWdr48H4AqpPZ	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.8.99.239
2018-04-23 10:17:45	d1d59bdccb45609b01b579ac921e7583:oUhqG1tZ1fkIHNqrkZmDGVp15uvk34QX	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	103.31.196.193
2018-04-23 10:18:02	b6403495e4de46b9f5279a91e6218453:Z4NNEIiHrpXL1a1q2o71sFgSXohCBq9x	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	27.247.129.50
2018-04-23 10:20:14	2f0d119849d637ab5cde8d40774750b5:iuRoKOZECZdEiYPSrpShUTSTwzBWeArR	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.1.167
2018-04-23 10:20:18	c84b8adb0c2703f9d9ecf257da014ec0:pFTqTvnjAZUSmoXjigjDAPSHtabfhlVo	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-23 10:20:58	27299edb2ba13fb54725ab6ef8776dc6:nfxszxTlroKNZvBuG9VQgwooo0atVokB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.169
2018-04-23 10:21:07	94f1b967d5dc940726e7b035872d65a2:KheMJdChhTIf6J2Xd6E46Xc56n83cVhc	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	27.247.129.50
