2017-07-08 10:29:36	8c77d0cecdc90e35dcab513719338c65:kEpUCb3dxxM3Kdp7XpwT9v8UszH6s5yF	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:30:20	b1806aeae5ee997953347a3566ea9663:QgFtXg8lKqu5LOshKIeCGtatnJz16aco	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:32:40	049d52b0b0ffe6978b77964837f6c21f:DQeGGytn8PCxpqt9CnqLkDcZAMUfhNKz	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:33:41	87ef3c7caa6cff14a920c946eed15a7c:9L04hFaG8He08a2kOwHPxZehKnrE7e6k	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:34:26	275aeb876cd201fde3e89f6ba4769f59:l2CeJISWViOiX1uxTNFeiJdwOeeliKQI	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:35:18	faf951531a106076376681d0a947c741:yrl043is9j3oI04lnK1BfdUx2V1fJVlD	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:36:13	b6148b3b8fcdb47b5da51f672826cf3d:YSE1F9Z9hDyPLfxHxG1QVUVhsWH6fxTd	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:37:00	ea96da7965981f71333df25915eacaa7:QCz4JoYGnjT8LFRtzZww3qLyHGxlmvy8	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:40:26	b1e406716a2fc2b5a056ae1138e715b9:GTpRHU6IwrlnipTKV9F17x1dE3GXfLJk	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:41:57	a0de14ff89c18b6b2256737fb7910adf:enBRyAeFw0CS7nDDMypATtqLl92OZINE	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:42:49	1b98e6b3b1c9c39089353ffbb1506cd0:isQ9WSZknHTxBWGvL9brrmkXOjRZ87Sl	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:43:32	a7786b3514428e2bc7972c7ee080fc4c:jZchskObc7Uxw4svFy22Cudaxbw0554P	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:44:19	4082177f7387280f3243f15008242147:rSUnTkaL6m0SzDyk8sTo995l9nMIxyYm	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:45:39	c07192e4c876870e241b4a94a411fc54:9DYptjTl8MPPmMjgQURSTcV0Lvi7168j	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:47:30	cbdf24918214f656e644e5f6155e3c44:LivCfgdyVvn60xxi4wmngPwSihlY0EIU	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:48:39	d5edb89fdd9870a9732b4e8e5298fe2d:sqF7SRSQ4GcBlWLj2dpeEtotLBa4GNb0	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:49:32	04ad7c0d76d3f268258408920e0b2c70:gnxOaexbRaSc7PWeCesDV3gYBExE2UuK	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:50:20	1df21ea6952a544340d3adafdaf71050:IHkXhVYiq8ebInQBLA2rJRCRUdQjQKzu	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:51:33	92e601ee98b5168a37b219f0545b184d:VvCHhlDdQMDdLG7cMLZJ5kWu6SYA2kWY	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:52:37	13315d63e831bea98f882e4a70234654:rO0zCgNOEfxhBhGqrL5L6NmSx4797m1a	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:53:30	dfe650d9caebbdb346c8a9a28024cd07:ya7BIdFF29QFkkrg0BFtMFwt6L8GNkCZ	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:54:19	8a98cd062549ee9ebea286724c933966:hYdoX9j9B6vHmiMIcfGQ18yCHZlau11v	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 10:56:26	6c0c410887a38aaf2ae9a00c71fb3a89:ejxl3yLcTv6kLl2INoAeGozCbOwUaaSZ	Q1:友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	223.136.133.119
2017-07-08 10:58:28	b09a9c54a49d90c2f9918b0690b2894c:l4p4iQttQ9GeiocW40bgONfHKeZ6JHkZ	Q1:友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	223.136.133.119
2017-07-08 11:07:24	176dff7354a0dec083f5188ad86d5c68:tKb2XTyFQsLpsvh7yoscgGWTotwTotwX	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:11:42	730da5a08372d634b570a5211294147c:CWk96MPfahHjJTYMUXtwhJtsnoEUD3u6	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:12:31	72d03b0cabfb156ee90dedfc63bb8c98:8O4kaXhNEPcP57HGtNn7DmsIey9s8EJ8	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
