2018-04-23 09:12:50	b1c7ac3ae7fdc1d9758dc67fa9a83da1:giKfn7ix1dsXxrFR5pRElqZh6vIzsLy1	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-23 09:13:18	265822421b7f2ba68c380d8d7690f895:86tGQwtYLVuo5VTPjNwBq9ot900Zdals	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.114.102
2018-04-23 09:13:25	753d90729d5fabec65b6eed90283b59d:o5DIxZVlpEjop9IwvvRD9fZTDw73l2Gc	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:13:35	7fbeaf330c055b9fb9823508dd83cb95:l3XnTEm7P1cZVPzlDWLEKqLbZETa1O7R	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	42.72.117.35
2018-04-23 09:14:43	8d60617237f2bbb77188015aa08505fd:zkhs1mFN46kTrSwYeFJF80TIMEPajNlz	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.114.102
2018-04-23 09:15:09	26ed0f95b41b37ea84128a73e0dfce59:0mYchrLDjI782szsZ4mrUNJfDNPbGJEa	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	123.194.159.162
2018-04-23 09:16:45	97f6f1e7990c2b4c3fc11651a724ea11:1g2zawAJleSvSudcxAtfjm0g7cJxfcY6	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.114.102
2018-04-23 09:16:48	531406707a3535174d284009487979c2:4fgZtEuekitQrU8rFSfyQDJCyEZMUKQs	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.101.216
2018-04-23 09:17:50	d997f03536f9950fc5334190cac4ad3e:A0NonaVv47lBEqLZyE49NoWna7R6iqOI	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	203.72.61.162
2018-04-23 09:18:50	2da4c9033c5eaaea9796c285b52f7ff3:0uJY53Toi5yVgEO9muHI8frJvjCClovB	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	172.29.114.102
2018-04-23 09:21:59	71a2a4e728574dd44c02fc058f182d80:Vv1fDzrUjlHla6zmhvFp1ldcF06ScyDT	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,;	172.29.120.140
2018-04-23 09:22:20	9c5e4dcee789e7096520de72678111fc:qYzfWDJyGGBxqtKq2P7QeMCYUs8gXUEA	Q1:信義後花園-松隆映像	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.114.102
2018-04-23 09:24:03	bcdd7cdd9234f92014213e7b0c2f72a9:ViLpTKhmCg59Nz9B7TaNmYSt95QInY4J	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	39.8.227.43
2018-04-23 09:25:14	5b46de8c8a7f7b9b2f2789ac2543e221:6Nj9vwuuUvLtAHK8MiN592YUpXD7bzS9	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:26:08	97a92651546522330a111eba173a70ad:9vmGeHIoFk4LLipQQAgUf3rSiWyPHZd9	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	124.155.186.164
2018-04-23 09:26:14	5e500c9f7c33bfe1d72e4c312095055a:cStkfijbFI269yKFh6wC3W3I7QFkBV2x	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:26:18	434f18849168aeac39ee7441e63228e6:nqI92mheLgwXomZS2woq2UcHWWxgoEJv	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	203.72.61.162
2018-04-23 09:27:11	ef8bbbec619e3f6f64b5b81091e5d4ba:SXURkXpJEKj6AGDdlZZj0egz7qg8tEWO	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:27:59	a02ea1b8d660907c92e6d02a93165b0a:imkUdgIfQvOARTNhd6YAw1Dq0pzkZ2pi	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:28:59	1c3b7d6974d4d45ff71ca894d52d7bed:9IxlUk4JWUd3wX8xEVvR5quCqRqlGM1e	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:29:53	f2915655ea96f23266c2692c712c3c28:hibZrCNmmhQWvRMQJ0WNtawdk0RWVTDv	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:30:55	3e4ce7c98237530ff2df8c603b9807b6:LuoXpfF2xIL7TQeiYMAWlaC5TdgVgaEs	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-23 09:31:24	2d567e2546fd2f39d468f7a33862d43d:AJuJH1sgzdYWmPmGGoUaZ8bpvpa6PJkp	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:32:11	34689038c1a3903f31d26f1fb9dadc07:7RQDMrufZWD4LPpybPlloeEGWi8wk69Z	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:32:57	21a44a6705749f7539dcfee7f2a365a3:WpSsq3HkcWCxHyiQJzxg3YGXuEBse9kf	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:33:01	93f32b887156fd41fdd2e187b6c2b5a6:Bmpk3f2JX521pwswSxPzFehN35X3Io7v	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	203.72.61.162
2018-04-23 09:33:44	4fa1b0d83686b16ad2725aeaaadbc435:ve6fT7jGGH8UIj69onV51jlcj2OE41TR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:34:44	d720d3c77f929089d4bb9d0b3692b163:ejM4wgydrQvTShJGoSMhXAgf6GPWDbN1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	211.79.136.2
2018-04-23 09:35:48	0b24e4a895750f918db6c1b8c6f8bb64:RJzVIEOxMfSfvFTEiuFGpIOQ05LvFJWW	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	210.203.57.192
