2018-04-24 10:21:07	e074ae476166a804404be932c56cfffc:xADcShHMeQPLte0ncOFdifqNhTmb074a	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-24 10:22:51	2d337a87f472fb441acd6a914c0dc7a0:J5bZhst0qG8qEMi8HeDrg2vq0COqhK90	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:23:08	7fdb8c5bde08080fec646098d0d12516:5SvV5OuCUwkPHhfcKgRmvcMGJwyyKs4I	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-24 10:23:55	4849fb16ded241455bbebb824d818748:S24bmPJ9t0cBvlWYWVILpAeXTwAzuaBn	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:25:03	24cecd6232eb57335813dbe650955db9:IDYTMM0ByxwjG1nu7NPGYrHGU3RG2EoM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:25:21	a9ca0fce986e58c2f61ee08b77c0363d:kURbIQLqOZa8YX8xqsJszGc6ukoZ15OP	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-24 10:25:56	244c3f3a2d4d8d142f0c57db46486dd6:Osp9kwG7jq4nXRIf8SPXTn4LfSfZAe6M	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-24 10:25:57	c7251f86398676253f06461e8e851430:DWz3QjEJVthdZOP6c3XHB46LO1CWveaD	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:33:27	cae8beb22fbbf2c885e4525f09681faf:uj57es7OGwvetqc0m1UZ7uO9gYrz7iHl	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:38:22	8dad029a8600e6cd9442280e4066ba67:F7unJ1SfXKfUqb8hPGOjsLBk94Tg9il0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.228.141.208
2018-04-24 10:38:42	8935c225e50e3f858bd84ba21c573375:6FrnpErk7KeuuDMxqcO1LR22HvBCE1tQ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:39:08	012f196f480562416bdc53ffc7abe00d:z8byh8zOOYYV8CBPg21kgPcgHidoZHTC	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-24 10:39:43	2445dee49433169a1cc3989d6100549f:L7OC8BE4jJFVhk7MYAPqLz0UihxeP6cq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:40:11	a9cdfef430c3b8cc91ecfb15d0443bf1:bGrMn9PxFESXdsKupNxJYpjN4I0kfgOc	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	39.9.165.93
2018-04-24 10:40:44	c7d5cc035960fe537277882d64f7519e:N4Nd1vxcOJuotHrwwWimFiCtXShMST8T	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:41:10	69736b061c83c75cd4d1030e99a475cb:sKXst8F7dCelH0KRCa1jyM5rjqBIiVWn	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.93
2018-04-24 10:41:53	469ebdb756ecc36d868525da588986f4:pw8XeJf6qstkm0LTWUVGRkUk4laFbb8q	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:41:54	4e18512ce60937fe481d242f39180ecc:uyyrfdhUSbc6d7hUrN79MhA02LJdFxHu	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-24 10:42:41	cd2091fd1a194b377e65e23b2c7c0d6c:PVYuVKSDN4e9j1yfkJPK078UEAv2hXNN	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.85
2018-04-24 10:42:41	172b1f282bc44bc06c552eef78cd4a3e:VC0Hgi5qt3sBudosCMs1LtTfkNCg2X0z	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-24 10:43:14	3ff6d085486bfd9c3ab5525210ce6612:iVbFcAHAMFlgMq1G7GUCuOkYPKYGoLM5	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.82
