2018-04-20 10:52:17	1770ab1eeae617e89625afc0a9df83dc:nzQ8p2dg2cWJwqm8T4o6wsAvUjkS5LXk	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-20 10:52:35	c46fb7634ea429bd0a5027f628d7acf8:w0KH5h1uGnfT2NDmuBQQ32kIHRRFHVHy	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	114.136.54.138
2018-04-20 10:53:47	2f1e41eb923674563140647527d8e1dd:DCefNdAjs3YgisvI2nSTj4sJXOBsfPRF	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 10:53:59	0d1179a1a1d060065b6ac530d98b0cba:tahAQloJnOXSVzEEtbkC2wkA4c8QvaIZ	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-20 10:54:08	75b5073d53479ea4a7b82f719707afb1:AvPWdIAKBAy8NZ0LZ32WHq9KJS4YJAX3	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-20 10:58:13	7b85cc820baa55c3fed38a63d97e9a54:P9l8Iw8Vw247wBmyUwOUF27jL12KPVgO	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.12.9.125
2018-04-20 10:58:17	9626fb247020f0decf86148c018c26fd:hnYQ2fY01vwkhYzgjgMaFzKT68aeuDI3	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-20 11:09:40	22fb41b4bf43bcb538210573f7efa05c:QUmIK8dEEmCaY6TwPLRU2sPqRy77rB0X	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 11:12:35	067e71cfdc59f9f43cff49333e4ef047:78fnpw3bz6rv5wNjUY26ZmzLqig9bPay	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-20 11:13:12	8ffc7a49e3eca4b3ed9e0e056c4c098f:iNIObdR2gYUgU0JY0oWcTZNIWLWC0GIs	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.71.26.14
2018-04-20 11:13:29	d013f6ddc6e0b1d75547bda6e7c6ee7e:nkDXfi6W3eNztKt5kV7y3Dvg5XFoXLp7	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	39.9.225.211
2018-04-20 11:13:54	5b636c1242782484ac6fb5eae323a932:7is1xWCb38bPVbI25lIZbiVkpglnnNi1	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-20 11:15:22	58ff01f4608b0dba0a5448aff12a3777:EmTVegBucMQ2SkVyFAsORNI67BThdQ7p	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	172.28.32.5
2018-04-20 11:15:23	ea88e4563fa706961603106e87f9ec29:esTrY4tK1U76RIP9nyQvr5Kk0tT7lkor	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 11:17:26	8109868109b3174dbc09f1fe82760407:KbXiYo9s0NgAXWFePiVnKP9ac7GaY8wK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	61.222.210.113
2018-04-20 11:19:48	91688880062407d37578c1c270a6853f:bgQsTF2JDj0Zh11qBD93aGSIFTYCveoG	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-20 11:23:13	80ae5f0fa5b3342c164a7a2351b0832e:VSb8oDRBdwqlMaF3ckQ0f0h5XMXB9b2e	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-20 11:23:30	604e1c640ed920e6f61d9f38098864ce:HqxAbxCWPomqbZdaftbMsFI0vcsL1V3m	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 11:24:01	6ebe80f0097a6572aac44fd63eda9025:EvBOkthIJ0TTd2BpqVatNlRIVumVNbIE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-20 11:28:47	8594c9524b2cd09c97b108598b074035:4P8J0hk1szJVjk4XK2Y5fg9Bo0LRz2OL	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	106.105.178.40
2018-04-20 11:34:18	6389edea1c00a7fa54341b3b8a21d020:H6NXwdNrjeuasDMHYvwFvJ3GyB9q5H2w	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	61.222.210.113
2018-04-20 11:35:34	69fe93e627728e5cd85dffff7bd0d234:ChFVWbIFzwzO2UcgcaH7V5n21BAX6cjo	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	61.222.210.113
2018-04-20 11:37:22	a448ebc42028e63f2066e60da6985e0f:M77JtldG3ocE0QCif4qpXfjPZ8m0Tso1	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 11:39:03	71502d5e3512e7a0aa546e06c87efd70:6VyDejsf7RkkZzt3QRqbRpflWRSB1usz	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-20 11:39:10	7a969e26ebdcba0dd2809709ba5346b3:f3ISTrPOjiYDJ3NpnaRzxWhxIvgya5sv	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	42.77.166.182
2018-04-20 11:40:01	1bd24581c066b08af7ae2775b5afa33d:oPdwIvf0gmWb1RScD8dCXdnyRbUGbiNk	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	115.82.0.94
2018-04-20 11:43:49	6ad866f2c15337a226712d67950922df:ORbjkkbLmYcifMsqvf2aduPXkp0GBOwy	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	150.117.243.181
2018-04-20 11:52:20	57baa17e951fa3b5814d3541bd1b2448:my9KQLBD8aOKQVXCH7E5rPLHc1wKA8Xr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.215.247.156
2018-04-20 11:58:16	70052edc80863bcb6317196baf943d7d:HUaPlYdgsPxO3TNQGJxrnV2M7BVTIuLD	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 11:59:19	8be0c6eca2ee8b9912837189db8da380:LcUF69jeI3XFlG2Z7zN4s8p17ti3s9Gb	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	61.222.210.113
2018-04-20 12:02:02	f6b935940648fa98c66ca0dc56a3e02b:441cDhA8naAgzMifmqF0hGGlrg8iaXEg	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	61.222.210.113
2018-04-20 12:06:22	c69abb37ed6e742e290e587221658f07:h7X4Wz9bOjoA2D52Ybi7ffCydTnoSRMM	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.39
2018-04-20 12:17:52	7e37452891f0ed1fa8323c14678e5cc7:4kh2ztwvAu1o15a2Tf7fXdFP6CXehSo0	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	106.105.178.40
2018-04-20 12:23:41	f0f63963ac1b0804cde7a38b87dad8d0:kcKd57ohbkb7oJfkADLP9en2aS7apLQE	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 12:30:44	967cd5ec847d66d5b44ee0e05c551354:33RPtXPAzOSeANwy5DoEUMASoV3T8TXP	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-20 12:35:21	1ad3e887a225f47fa82b1f028099b9c7:NOXq46PHiB1PDsENiCStBu1xEYj7cjn6	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	61.222.210.113
2018-04-20 12:42:10	24409aaee30270855f6f916edd79047b:HopBfQ7T65KfbZLJbhYab3mVqEniizLS	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	36.225.0.250
2018-04-20 12:50:45	18c743d9769a0a1a119731321779915a:9lTBdwSuVxmPrLuZbf5KnQ75taq68NWu	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	114.136.75.67
2018-04-20 12:52:57	ad577748a1f6628d6c334b946fb57a9e:vq5aeHJZaO4gxfuQzk1gNs7Y4VLyuVJf	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.41
2018-04-20 13:03:32	83fa5255129ff1ca1bbf6412ab541e5f:hHRzi0bl8Zn8YuXs8fAEme0dcChaJsIb	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.249.178
2018-04-20 13:13:02	9b76d0ddda39755f37aa6f3c5cc15489:eB4DwgKBAPH3oxA4UVqlnqswcgIJbofq	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-20 13:26:21	da74cdd483aa203459919ec1725c4963:MFgjdaXVALrpu145EoXHM73riqX4sBnc	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.214.51.117
2018-04-20 13:28:19	39513841e1cecf5d5e69e4b76e506040:YAIuwG47Xw01VqGQJX663aKZTwoAiRZc	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.163.28
2018-04-20 13:30:12	8be522f749fb3e05b2c90102a7f2f444:GgBXLjbpoMAoyNNPCEQxTl0zcKAAJYPI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.41
