2018-04-21 13:11:42	492f3707e4d46d3a8bed8789b2e31ce4:3t5MqHopoF7UOjslwb6EhGgBk88pLIo2	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	118.167.16.39
2018-04-21 13:33:55	67201565693e337f0bdb72360471dff8:MOKIFhFdzT4eFY935ElrFGmcGVfS1331	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.12.246.59
2018-04-21 14:09:15	aec65b8ce6598ad6a56a15ef719e5b71:lyHxfpN1yUUh3z58dPz04FWLDLMzGoLA	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	101.14.133.65
2018-04-21 14:25:55	364b2ecd714e479bfb6d482712acc969:S4krVON6K02JWsMBHblpPyw4vkC1luFD	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.140.156.228
2018-04-21 14:47:53	f53cbe7ceed6b8f48dda2ba2fd990e91:0kJ083meEwJauV72Sl4TRdhQctVJn4bB	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.10.64.73
2018-04-21 14:58:43	07dd92391e3aa3090f66ee7ee236abd5:0sGNt8TIv0T9nELNzVEjbWVr45f0oHe8	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	115.82.101.137
2018-04-21 15:01:21	ade8cd3c46ce7580bc5078228deda7ef:Zq75lPdvA6QCfhSI3nru0jiABn1uhCDB	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	114.136.138.26
2018-04-21 15:03:32	a6e90846c3db63b60ea959ab98baaed0:EMJ9xiroWG795sz1W7ivgIetSDcGIezy	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	114.136.138.26
2018-04-21 15:20:42	87d692a2534027d57326a757304c159c:ZQMfwOszGe8Hr3SAOmreR53wjmLovZp2	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 15:23:21	9aed9639843e1cbd7b7f91d0da6a1da5:PnJeoqBITjrLfcrnuwFbfxZpe9bAHIr1	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 15:29:28	63034f184ab1c084a8986639d1be7cc2:zR2gYga2VdHa9QsWAa2ouXZA5123KRg4	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	110.26.198.149
2018-04-21 15:30:30	471ffef8cff5e3c5473ba9ef85d02283:3KJk6fTT9x4QZtaBT24hlZ6HQt0f5Sd9	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 15:34:49	3ba062848ee98ed41812e8bf93e22f99:pK5vSrLTfbL3yZFptKs14obelzDPP9DJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	49.216.210.34
2018-04-21 15:35:43	ef7573881023e961ec0706bf2db5ec21:nGUC17eEj1rR8hqxd1FW2bMLMxfbtELq	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 15:46:21	f66ee526159b7b8dc9389f459ac0f8bc:7dUlRC2d3XJtJaBQ5u9QiBt9fNBM3bbR	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-21 16:09:20	0508b87561800c308f2f00c6ff37e5d9:AzR2wMRCW6m1oDWATzzd4CEc3fFdUwDJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.167.48.68
2018-04-21 16:16:55	dc380a8fb27ca6d5210185291bb03692:R1ueutyxOnEuPUWQ8FcUfPlcAOWhH8wK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	110.28.197.121
2018-04-21 16:19:47	bc09c803d07f104c6e38b742e695f45f:T99mszRBKMDhUCsrp465a1qUCnDVUpWK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.140.189.177
2018-04-21 16:21:28	ddebfe088c6938efbb3f114621f6a166:YFoupskPsRzlruCON3ZjfnxuR6banXWR	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	123.192.233.52
2018-04-21 16:47:14	c6afcb0a552d5084b6e4de50db8b3be4:kgXRa9CIwgo4HAiqsMZesiqweofhBPd8	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.139.170.89
2018-04-21 16:48:56	73cacd7fdd2540376fee81cbdef346c4:uEEFBVzGVZRfC9BB6p9eXS1YSD4b8POM	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	117.19.231.246
2018-04-21 16:59:02	5e6d3cfaa83af8e79269267f3d06a456:CxdaCB6a9NXxMkPY4TvU7X4TcYYr01GY	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.139.202.94
2018-04-21 17:31:21	b8d9675fbebb9384b97a2fdcd7dae0f7:Lp85luKnoNDLWYDz9tkXtCRv03UFV0Kl	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	118.167.16.39
2018-04-21 17:37:25	75fc249ba051a6439c3b14dde2b64ba1:zlo4LAJR1gDdoYAUcMtfF77rrMhiNKWZ	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	117.19.8.211
2018-04-21 18:00:56	37d28728921efdb2b7e3b07f22055432:SudftwlqXOdsupftAF2OTEQGCo67zzrB	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	36.231.144.155
2018-04-21 18:08:34	c189efd47db6935fe57dc9324c665dcf:xIjkjySbWegiXXZ58QF6cBJDkV8tNDyy	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	219.70.243.60
2018-04-21 18:47:21	dbed4babbe7c99238328564d8b4762e0:csRN3LAs7bcfiAGDhYMDJK3UBVidHQXO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.206
2018-04-21 18:48:14	f177f4991ff2d0dcc770db0d2e670419:G4p5x9F05OTeTcrnyld156RkSGm5X8VT	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.206
2018-04-21 18:50:16	5d6dddea85a3a0ca2e3634920b66221a:jPEVN1GOG4GG47YgKd0TYyKNmP9FCKRM	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.206
2018-04-21 18:50:56	884e2c0c2cb535bc64cce47a5e225c49:YjCasSSJ5spakxHzHvdmV83PfnY8h7HE	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.206
2018-04-21 18:51:46	17bc1c5a15b4202bb5fbb043d8302e9e:8jrpkyMxes2d9HJr4HnO0QXssscdnHPC	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	172.29.177.206
2018-04-21 18:52:37	687952e0dfbe5e651325d961251a18e0:18JXMbgkzzvw2ZXMLoE1A5OlREdvb8X7	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.206
2018-04-21 18:54:57	e7a3b602051b1642866b12db78ab24bd:Cm2ih1b75VTDScibT5d1FzrNLP5jLvlB	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.206
2018-04-21 18:56:27	7557afa5a20522e6fd1dff3cfce8a178:T6CNSpsLzScmtQeBej5zzyniwgjextAI	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.10.8.205
2018-04-21 19:42:58	9cc813bdca9cabbafbb83ed761e090f7:Wh7jgxV1HihRbc6a2XCa9pDtxbfvkfSK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	219.117.238.57
2018-04-21 20:13:11	14db191b4361a5106a822793ab954806:ExxGZulmNZ3hmtrESZovEb0g7k6eElFF	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	114.136.138.26
2018-04-21 20:14:58	cc3ce64b90f18bb481601fe5e586268f:m02FzBiwv5LBDSgfP85pnpOCpO5g3oyD	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	114.136.138.26
2018-04-21 21:18:00	9d7df51a6f22bf732091326ce87621a3:kXaUGFza6Jl9Fskxnc8T895DDICxsAkp	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	58.114.68.169
2018-04-21 21:48:18	3dd6a5d3a90336110f2f1ead4968394a:ckfbEzUrlPrjvNXVORtcG01d37llSSFy	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.102.2
2018-04-21 22:37:24	d758bda7887127b9aa9947a11f6fbcbb:2r4oNhUZghYPhHZEd5R6XCWeqxr6ZOhJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.42.158.181
2018-04-21 23:01:55	f6585320ae69076ef39fbee81eb34ef9:LwvS2BZpL95xAfPiGq0aPCx6kDz9B3NP	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.25.224.227
2018-04-21 23:03:51	5a456b5ee00b9aef2cf0032f9ec9b3e1:9Iyow39b8fK9mm9crsioOz6qI6uHqmEq	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.25.224.227
2018-04-21 23:05:23	f26a9210ff41e4f8d41428f958d47b2a:ly3HjYeoTDW68ijzxDFv2a34yu84T1TZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.25.237.170
2018-04-21 23:05:23	a5e4d355860e724c02101739e392ec5e:c80ixXjD5PIzfhDudUWYa7NyhNpdv93z	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.25.224.227
2018-04-21 23:30:47	291d94b2d11b75e8b19771c400b737b8:vWQY1GSrNm9vxQhKoxMTP6PsycNMnxmZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.56.59
2018-04-21 23:31:59	28027accac62ca403faa427a6e7afade:Kdv0tUJpn5RHBa2eeHP2D2hz2vliPhlY	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	36.225.16.193
