2018-04-28 09:21:54	766f980e020cea4ab90049fbfba6af0f:RVjdfAo55I0mVF1stuXF3ciy72uCcbNk	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:22:06	af4f967cd0f989d6e72b5b712949bab8:r4Z5KeIJf7LkHJKbvMWOBdyY0AGiMGzh	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:22:19	ef22c47274658e74e78363c3156d23e7:qav04vBZTDmzJI82Xgh1yOPhW3ibEUGy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:22:29	58809fd227ef43a342172643737cbbaa:39phSt8N26qsM38tuek0DXreZ50q0Cnx	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:22:40	19f185a5726ba9d66f2a763f168d2dea:ggKoHM7CoqqucGvB81l0Y3CegOPADw6s	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:22:52	00d6d4e28a6e2d562600ea7c90bc5322:YGgJGwFCMnm85c2whMAtY4KlQvNkIrko	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:23:03	e8f87438a11c3c764a6e3035497026b4:VTbBb8iCMPBKJYgOHGSYtsXPHfZz6i6P	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:23:15	5f59a4bd83ba95812fe6e0497a182087:GU2cgVH2ZRwUQvoiuzxZSwByRS4MQNiZ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:23:25	d279e92fbbe17dfde85f6960f02b4a8a:iChZZE0U9fkuX4DbxzDiT2fc2uM1p2Yr	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-28 09:23:35	0c6d2ef7d6d6634f0cf1b8ff5a225b27:495CHaR8QXk2o0T9nCN6HFY75ikninHY	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
