2018-04-26 09:54:42	0b7e7a0e4c705407b75d0a111d03da5f:MImmeQudU0DcIm5M7ByD3PbkIfHrS38A	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.42.131
2018-04-26 09:55:52	3b34d89c62cf1f3c3891ab67036cbbea:YhsXJHtn4o5Ia9GA5WxE9mR7dRVbTPXd	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	101.10.50.249
2018-04-26 09:58:26	df1a7f954caca5b9af845ea3d4109386:b4JVFzFUBnOa60pRxUBY3jQJZcvvkdL1	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 10:00:19	8acc33832534d000477e6720fcda5b8e:ADAAD79CD4UdVWrMqz641w4J2yCffMt3	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.42.131
2018-04-26 10:00:38	0341c0ed27e46496c1ecd2efdc12fe3b:VkZWW9M3mrGpEbxJBK7xATtLOqYQ37n2	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	49.219.167.39
2018-04-26 10:00:58	43c991fadc0c022adae3b7e8ef998d5e:WU3R5Ok6JZgEPJlY3e23GSp9oo80dXHE	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.60
2018-04-26 10:02:27	4f2e439c55889e476968e3ffadc67d14:mLLq4OceMhCmrlnCEVwNkYs34EeW4SQ4	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	163.21.235.238
2018-04-26 10:02:29	aed294ff22a84a380e982df409056de2:N9iPeeCQNPfuXmY3WfY52iGbdkOxmACo	Q1:百年觀光新店溪河道再造	,住好住滿	,;	172.29.8.60
2018-04-26 10:06:05	3a0f6f32274cf77f0e2197d838e6a453:3ZJbBvVAnfHnXUxPz8T1jq1XgZG5PBWK	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.37.149
2018-04-26 10:07:12	84ea395619f1c215fc959d0e24dcc749:TtLUcmFMpn8rlVRVk2hfGwhu2Q5SUDJu	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	101.138.98.155
