2018-04-20 08:27:44	0bf29c2f976503245d41d0a53e626b82:5VHjIcMyqYXwZ2PmCpa7ywgW8quxP2UC	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	117.19.197.42
2018-04-20 08:28:47	052c0ccaa401672870010171cc36bedc:woEosimivm4wkq0uuKKf7FoD011Xjk1M	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:28:59	dfe95ba72d8ccf2fc89238c16e7612ea:LaXGog1LtmM138anBF1pDLW9ZHqhW5AG	Q1:綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	61.228.208.130
2018-04-20 08:29:47	27628d31bbc1bc31b47e8121d4e0b8f3:B6IFbxs1rafDKSXuatpiSBnLU5sJK9nD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:33:39	d581aba80bc519689c4f2e4b805266b5:letIyvbqqsEih8TFaUDOzCQduWPJsiSA	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	101.138.148.174
2018-04-20 08:35:28	2ab69ca88466b0d777074b888a3c1a66:pGIQTfWAynBtgDerDSlzSx2UuUNAWbe9	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	42.73.227.181
2018-04-20 08:35:43	a187ee4a81070bb732eaa41a8b528403:ee95mmoEPdgoD01XA6rWN6WyPsupV7V6	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	101.138.148.174
2018-04-20 08:35:57	0b237b47070d3aa6d455bd529488f1c9:wUC6OSsVKN2pP14AcfNQex3T3YxciTLy	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.147.132
2018-04-20 08:37:26	20e6de3727cf3d366e764cb5754353d6:nb85CkSFIEHIo5Hn9fF73Qxljw0rwW46	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	49.217.23.245
2018-04-20 08:38:00	f0830190a6b3c9be857a88ecdd0bd805:G9O65Fy8fm70ybYql18oJKZW88bIYEqE	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	101.138.148.174
2018-04-20 08:38:58	6570b50a0eb3f397aee76f3a413be529:Q7TUY8ad0bpgstgiVtpZE2MM8BQ7Q62i	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	49.217.23.245
2018-04-20 08:39:01	ca40e87daa49e041e6f3d5c3c1733d73:6XSv0NB4qOHL88SaJmdYTBuMef2DH06F	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	101.138.148.174
2018-04-20 08:39:09	95db990cb2462c2df8893271e0628906:6jUUGI1yQuPbmVCGt90vjqyRmr8YSNU3	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.206.170
2018-04-20 08:41:26	24639e320a2d47ac44993eece8d646e5:6RE6uBBjSlwOQdR7CzNKHeYEGlvcqsrs	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	101.138.148.174
2018-04-20 08:43:04	07b2d4073472e0b637f2b1552589e90a:xUsuBGoMwFvELlndqikiHMvPCNZ64Pil	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-20 08:44:01	65530821ad7ab62ecd62ccd791266035:s8gGBQ8UvLfiCUC0KCGbictp4xbDyGMt	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-20 08:44:11	74c0102b93cdff4ddc496a103503672a:Dh2QKkgEoI9t0IxY5KPyzgE4l2olivcC	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	163.20.180.116
2018-04-20 08:45:02	77957deb3ec7607c6580695ef2b36723:FFfUFI7fLSluhNWX0keSGKEM1U4WSkIj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
