2017-07-07 13:57:13	006ad5d114c049bdf4bd144c29942cae:xInphtLsPyCwS7HeX8ADzWouyrkxRZr3	Q1:展現寶藏巖風華-文化聖地，再現風華,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.18.89.187
2017-07-07 13:58:25	bd4c60b8f947775e346d3d9aff46623d:GgmqfGAad1O3TIPIc0t9DFni2QAVCncc	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	172.29.9.193
2017-07-07 14:01:25	b58d429fbfbb150e67c4a90b06b72e62:skvOwK5DSIaormLolG8aubXsnQHw9zkp	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.18.89.187
2017-07-07 14:04:43	f1ceaf2b50b4837966873c1b03cd6670:k1bp467mC4Kv5JMSabtDV5KBYfbXuco8	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.18.89.187
2017-07-07 14:08:45	ef1af81d982ec1fbe715949f9ee387e3:EKGusrfLtPefvaxklssYxgTLNl4mgPQP	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	10.254.248.169
2017-07-07 14:14:25	ab331ee4bac8904795b18f0a10c0ea15:zS7MYRRXGbwaoZECAeRQ3bt7xCMqARlc	Q1:展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,;	172.29.8.137
2017-07-07 14:22:07	6008e13e5e522fba5080a5b915a22e0e:rQ0vxE7UuOf7rVHhED5ugweydhBGlken	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.18.89.187
2017-07-07 14:22:17	c3f4f051d9b29b29c692837e875c8a42:ySMn73AcobLtcZvSPSFtuu5HTvuZ5C1j	Q1:公館藝文特區,老人幼兒照護,騎鐵馬遊中正,;	172.29.9.123
2017-07-07 14:51:01	9d458d75a2089301c70718a716393cc6:90LhlUiD4qpVpuDFoDYuly24bKXN8FDf	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	172.29.8.137
2017-07-07 14:56:37	1f6fc9f0af745ecf8246f02677f001b7:cnX2zbLhaMFBeWpvP1PkdTN4bN8F48F4	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	10.254.248.169
2017-07-07 15:07:39	c819a128449b8189051bfab6b3cfdd2f:RAWBPTJ5brfa9EzpigbgZgJQC8Jo8enS	Q1:展現寶藏巖風華-文化聖地，再現風華,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.9.123
2017-07-07 15:15:48	a2068fdf4dcaa0ef722cd9a485a1a11d:ML2MOXuOpWjCrBFlHfwXYgDkj1BHT4W2	Q1:公館藝文特區,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	117.19.138.196
2017-07-07 16:01:03	aa8497d1ae28d57561a81b2d464f4fd7:AmwVbCXEDDfqZ6b8lThBZUoOD9HprZ5R	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,;	117.56.41.76
2017-07-07 16:01:29	9e99081d7a55ada7c9a0aa9cb82a68d0:bBOxce64fRyX2I5IyTXNevveAIF2UZoc	Q1:公館藝文特區,老人幼兒照護,交通觀光不光光-軟硬兼施卡夕在,;	61.220.142.81
2017-07-07 16:10:58	7564340a4e1d318abcd4b81f8f678d95:B3xCeWm7YCSiu8yYs4NWWXX7EP0iJeG5	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.18.89.187
2017-07-07 16:13:42	12c3d862c5d74029b9a7830af1571180:sCznMvV9dSOJVrrNTvHsFJnrHcioUtac	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.18.89.187
2017-07-07 16:15:45	a63b2f2200cb5258b1176db5960ec8ea:RKrPbtcgwQtRAUHqKXhyVg97pWOkqbYV	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.18.89.187
2017-07-07 16:27:53	509262895cfb2bfa37230fae332144d1:gTzNIyeNP1P616v6P7NhPkW2WVUx6VDE	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	223.140.166.112
2017-07-07 16:34:34	94ceaa95643dd4efb157c5c0dc07730b:xoCpRzFO3YVdNhxWIAFgzEIY5JcBPwuB	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	111.241.179.17
2017-07-07 16:47:58	a8ffc33bfa47d2d91e5cd954d5c4e66e:EJfmmHb4LPJZt58fSOEViw37azXuqEsM	Q1:公館藝文特區,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	39.12.33.137
2017-07-07 17:05:28	acb03ac04281b99f004edc8a2f6d1c75:Iblz2S4bhulf1BqhvLBNItxYwag7Dc9W	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,騎鐵馬遊中正,;	111.107.158.97
2017-07-07 17:36:58	4f795c8c6e3e4465fc69c95d7d05525d:VZeig5lARI4Qrd4MiECDnB9NG4CJqo2d	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:37:39	ad2d6f39e394e9b96bdd26a5756f5bf6:rPQJytK7NIawFu04IAtBqKgqaoVNpjie	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:40:28	404748fe8ef3a5e5ed80e47a2ab2d402:z34niYPLxQlFn6JNINSiilglg2YMLlSP	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:43:19	cedcd2f0744ece8dbf02a0b673800d53:cjEmG3t6cfqu0pOmytvV5OoXJrUMqjmT	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:45:19	c08abf4962875b6c0bd5734a0bf11e9e:TzcxjrjAwaO9EEN4oxRznNKSlZvr4dr4	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:46:16	c22599788de2b86e60cd13e0806117fb:TiJBB5r1iYQdxj4VXLBZJgaXcNfI3xdy	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:46:57	36789b00d75de6d65568b98a98d2880e:vP6ym2K1uI0y1rmfHDvnN8jycF9U0JaT	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:52:24	e13b65d2cdc760d248081ea36bb9bfe9:39XjT7YIEEXFhEQHZddTsRrcRZG9QGP3	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:53:17	bd3a91f074e32ae5dc81a4eb99d15c7c:flKr3OvUiUWN3Ih6vWuZmDxPaX9QYYKr	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:54:02	8ba37164527f970143ac8832c7f010f8:eb0cEMLI0ZqzZP9sTJiZCU8lLwq5ij21	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:54:58	a93a8ed14370ae26d4be0b7ab23e3aff:NswNnneNLuLyZhHLg9qhbYZs4Pi2m6yA	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:56:25	f97e76952baefc2e6df87f2e1cd849c3:exgYOstMCdCvC33C7B9df0JwsqxVnkZZ	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:57:16	942b3bbec404a74af75bf5e997bdb058:JuLRRJsmacsoerRcGGFV8baaddvYs5qa	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:58:39	6763719ac8909c07eb08ab661a8e8d52:9rjDDPRX6Uy2gSscyim79kHYHMvBwsxD	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 17:59:31	7c97c4be465c2c680eaee50c3ac96d58:RTA87r7pxMNQTojO5g8pZGdx4tbpaceZ	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
2017-07-07 18:01:04	b3ec0fd448782c827d3a5db8f16ffb33:5ChgUKYAK1EMV2n67IA70JQ2QNgXOM4I	Q1:公館藝文特區,展現寶藏巖風華-文化聖地，再現風華,老人幼兒照護,騎鐵馬遊中正,交通觀光不光光-軟硬兼施卡夕在,;	172.29.8.186
