2018-04-21 16:10:30	d4c5bdfe821a408b8761d19bd7805563:BTOtNfaV6uLlcW9s7m7yHsHVgjv9gc7D	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.27.193.124
2018-04-21 16:42:38	f3676502758ed912a6ca240b2e7b3639:NqiNuj1UetF3KZ3CzGZMYtNyImQjJSK0	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.43.29.175
2018-04-21 16:59:38	009e13ba861dc2bb8543b5481a767086:E3wyVYRO0Wzi6cZ43fRWqdFTWey0Pq0F	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.114.229
2018-04-21 17:37:44	fbf3bfd408e1ebcb7da43b0e3b2eb6e7:TemKZjcC4xGJIkLfuBqtPvBdjqQjYvc7	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	115.82.19.113
2018-04-21 18:28:59	b21fe8bcf7493f07e584117d05608187:FXjm1FMuCz0YhJQ3evy7137zGL3CA1Ev	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	42.77.255.7
2018-04-21 19:07:57	eeb732070d5ee43beb3927879a1c1d2e:DZh5VdyfqrveQerPOWei0Gm7Vu2zLxht	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	118.168.153.105
2018-04-21 20:40:39	d5ab759633dabac5bac00e07c1fa5a44:FD6TjQCmaimxCTROehPhIMoDYijZQS3F	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	114.136.62.145
2018-04-21 21:11:08	21e090884762ee469af976cf87561beb:uxgspqtw0x47ONn6H1ae4v8Fb1gCECpA	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	180.217.89.58
2018-04-21 21:13:53	fd8327bf31e2ed308f05678b83a5d88c:Zej6OANM27SrhX9xziXvEiKLNszFUvaa	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.246.99
2018-04-21 21:16:07	f5e4fbf35161f864f51f7971ae6f514f:aKiYIa7RUY0GqTfh5qOQ6qJYBz6Oj7Y1	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.246.99
