2018-04-23 08:56:07	4839330e78dc55f5f4fac0ded94a12a0:KHNrkYZ6NMsKRpyA9Fatv7BFNr799kzB	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-23 08:58:07	69638a66920e8a1037f858b4b20f5981:klJgxC0REdzf1mgPe4N3pentbUgWupIz	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-23 09:00:42	74232a5d7613cfeea54a46a42d3e780f:2vlBlncxPgE9bGLn72u1C7UhAqg64QVE	Q1:安養平民化	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	117.56.49.122
2018-04-23 09:01:43	1d18cf14f63982cb9e0ad52ff8c0e0af:TJxGjpDQbIrXLlvd26OciG1oHpyp2WQM	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	111.71.38.204
2018-04-23 09:12:22	8ac1068299975835d59c6dd2461fc32f:gHGHVvQUw5sYmmgSVlvQJ26hS9HPPBmP	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	172.28.19.72
2018-04-23 09:17:03	12195397722365934376a37e80164459:588vRPWoJL6BPmJxbIJpJBY5Es9Daf1Z	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	111.71.38.204
2018-04-23 09:21:43	f39c8c4e101b1c6b7a3db26266174789:Xj7jEiLOzzw7CfurSAjDcOMUvWIAkvmH	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	111.71.38.204
2018-04-23 09:30:15	b17498aa549afa53d73f7c3974cd0ef2:9XQTsWTMF7eEbaaGrnuEUrONQORzFBrr	Q1:安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.19.72
2018-04-23 09:35:33	e8f8ca291b73ab45555c9a5a0a98d101:tBXJGuyKikxFqxwFNEoDGbFnAQxo3690	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.19.72
2018-04-23 09:41:54	97f6baf498ab6434ff386b12f9402bbe:ayhNcGIjfiIIbfSxS01YJqK9bnrKeY1F	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	172.28.19.72
2018-04-23 09:42:19	06444dc8cb87295ba0978b733e18e5c2:NNoXhlpdSAsgVpLaqPe2UAiAvdPgwtbL	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	111.71.38.204
2018-04-23 09:45:41	1dfbeb36d238a2ba9ae379f74321aba3:7dQl1b3hay4tFhxc81DjmV42wYOno8AO	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	117.56.49.122
2018-04-23 09:45:44	d671fe5a87a030ec6c6ae2ea9f811d12:DB59RLLM0WNb0jpClc4LStMEytaXwnpj	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,;	172.28.19.72
2018-04-23 09:49:15	5a5e1c1475901bbf2b92e0e57f5a5c7f:lF0SrUzElaOoF5P3hCpiK38YGU22fsZK	Q1:米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	175.96.192.111
2018-04-23 09:49:16	e4bf7d683111c1cd2afe7ea301ecc768:0nrigtNRWeyi4tT8Zh3e9NqrM8zejoY6	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	101.15.185.194
2018-04-23 09:49:17	1b0a70e735a5fec2e299f594e4b2833f:vkRrVIJ6SHKdeaV1Fq2jxvJTimGljB0N	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,;	103.226.215.165
2018-04-23 09:49:46	3ca4530c5ebe8914660f3e3b82965741:G9yGbJP6aQdoG2f0X6enBZCx3Mitf7PQ	Q1:綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	223.140.76.112
2018-04-23 09:54:48	772728c4c846b76062afe24a29099b5e:dWRDWN0UhXVn91e7zWlYOQfitTYr6Qwa	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,捷運科技大樓站の第2隻腳	,;	172.28.19.72
2018-04-23 09:56:06	e8b74926996d69e489b8ad8c14182eda:gxC4ZBfD32GjQWOHggkRIfwTqdiTJKt6	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.92.120
2018-04-23 09:57:42	ad361e28f126b42e19878ba817954ebf:8eMQo2dPHVnpDnchOQlF6UO9aYoGjqaZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.19.72
2018-04-23 09:59:19	ae6a8e204bde92a711d746322fe9811a:Yqqg6LoajOpUJDKl1bOJVnusykx0EyCo	Q1:與自然共生，社區長幼共好共樂,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.122
2018-04-23 10:00:59	4234bc60aa98b02123687f9f455a1682:siiWTNhxtLoa1FC4AcLWMprYMa3o0VPu	Q1:安養平民化	,綠能台北－由腳做起	,風華再現通化商圈	,福州山觀景秘徑	,;	117.56.49.126
2018-04-23 10:03:05	a87646c6f28e6be5f1f79bd43bb836b9:tw5WhmGWcls7byb8mKYTpFcY06mGG18O	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	117.56.49.122
2018-04-23 10:07:39	4b71486b0802f40d5f4d35dc9e6ad5d5:vnToOzeLFLRg90XBXsI0y76tosuCNwn4	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
