2018-04-29 13:24:04	4aed60d981afad4f2cc54d748b6c77e7:bbIAHcW0AHdA5XoFRkLLrUBI2aP0dA2y	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:25:19	ad3026fb4cc41d51820469a07ff33290:edR50tw0B0Dc4Rj36VjnzTrm7QxAptpe	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:26:39	e838d613fcf42442f7337d8a25dde0e9:fggRUUVr9FNYRKE605Pna3DhDrQCaOCy	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:27:55	c65a3dfc3873b84e3e4deb4a931021ff:CFnfCjoodAsWWvgFmlcMAwy6dXvFS2lb	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:29:04	d14a828f0a102fa8971f02d57186e7b7:G81VGNAsUgqBZw6O1kjqRcxIkx1vGIoe	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:30:22	c839dd4625eb1a0549f825b45603abb3:4F6yhiOYqPknYus2ugyWrrR7TeRVL06G	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:31:34	078733337cb34542dc0aa4e928c68ebe:UaGDJmQlkU9FWOUSyNn6l6vmbD82y0n7	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:32:47	e9d6e74876ce6aad67a9c47d42e39f68:suqaQ0J3nxU915Dd404ja6SBHhaLzpRU	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:34:09	764d60614bdb62808ea7ba56bf848683:Qy6Z0i1Y1F1QlqpWw2rX7htaRgPingVT	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:35:25	b8b7be4ab9be3f27521f6962a1ba8b24:EoQI7IXJO7efxyD4vuc9cANNS0wjIobf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:36:39	feeea5afd5b3af490ab9c592bdf483b1:IqGub1gb9jYb9ejpSGJ51GQkhlE5leDP	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:38:13	887b9dca2f7c59f8288075537d10f0aa:r6abcYrw8pg3mcqxQpCWbFAid0z1fkwE	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:39:26	8c0b9c67f407bd45e6e6185968c69dae:wp1knxBznFKEkkqaTixHuEuFsjBNbNYu	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:40:36	49a5b89a4592b77e07c59ccadaec7d9e:rOxrdbo27txKfKUYPFXopgSA46PoIwK9	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:42:05	0f5b78ea6e13654601d14f8347e33c8e:KfyB98yfqaMh2styNjfGocJUbW6JSR7S	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:43:20	9c8542d5bc43251b02c24cede0cc6f49:1VrvOTGzNM9iz0s39g536yvXxrtl9Jb9	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:44:43	0fa414d8d053d1d2535ee5507c10687e:oNa8U4FMCDy9lIJVXruiM88RxjHkWb41	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:46:01	844994cd3c5ee4c15ae685cc7bca4b30:nr5TXd9IahT7MXC9pmSPXb0QfmGRXrLG	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:47:15	6a0f405cca3e2ea3485b810d62426777:vJU1ydNb4HvRxCEYjycdLGpMThqy8SeA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:48:33	7864470076be4749d69dbafe6e880590:iPLr0u5RdaR8KHljLB1susZArvRpLty0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:49:47	d66dc05b7d524096414699ffd0931070:1YAd5pJes9F6Yg0u3MavswlLRYOaPJY6	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:51:12	9f59ab59fed8f4489a312f9b9dc7e218:s598HxFhpEii83F8cHXbEx5X2awIbpgX	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:52:20	9876a3df09eba14bc172e20a052ec5d8:Wsi2FXjO9JyZ5NFiITqX1MQAPBwfjU8Q	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:53:33	f26ba151c72c6597d38518595ab08b15:YjrAWLlsghI9lPrifd9b2VRzu4lX54B4	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:54:53	c50da416809491bf3719e5c2b2c18cb3:8q23zdwIEsdbxhp0DPoBBXxCWXvcJixu	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 13:56:08	570a99a393744eaf0d30a85908e0190b:rLStKnsEdPEMip6JNMSlHLezYzfZWnfr	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:00:04	7f3fe82c321d628ba2d404446c85eeca:86WLELV2M6qvTsfRG5Lg8KCLwjTgd4gL	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
2018-04-29 14:01:30	7510fed0d45bf5a3ad92927d28e89ec6:HpSMT5u0JXDdZ3ddeo2oYeHQOzAGz20Q	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.232.224
