2018-04-17 10:43:08	a79b1929d4d67f3eb553c9caf4113aa4:9tpXwaZi1UMRXSwrYrU45e8GdUJOWHpY	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.9.38.51
2018-04-17 10:43:20	296a95d6b9c12e1621aa864dbb892636:wkc37YNArzUO3IUbgMfQ7VT3YPSVHEXB	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:43:30	f9d4a22b3b3b8597847f012b2277d8f8:2WScdQO2K5BjOKBCC5QgFLe1qw4fLkiK	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:46:11	6911825b8734262a96113b52d9b98de4:v8jikmBHR8yxH8V1P2u3yLDo8GPRsRXj	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	39.9.38.51
2018-04-17 10:46:19	a63f824b9f2c2d94b2ec21312263fce2:Z571EI0sjBd8w8UWfxKmShSw9HuxjAFn	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:46:53	49a67b37baa8968182cc163ceb8893e8:w63cYgNrPuH4RKxMmGOUG6rHwxti8bl2	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.198
2018-04-17 10:47:51	cd7d67eef098e7f6c2bef2cccab92c66:ewPzrP8Lyam0bWhDmKkzYJXimFes3wak	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.127
2018-04-17 10:47:53	34711226c16dcfea3e50aa4009c66a38:T9Wd87PzGuSRiCljbrKVwnExcFq7OJWi	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.140.136.95
2018-04-17 10:49:54	d3c40f5e3ac1aff7ce91bfd0e90dd8d0:ty7ozL3TskXFwjo3FkZe0o51RILpL7bQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-17 10:50:04	a966879ba1a5bc3be79440525423bf0f:999V6bLSL6yqb6dQfDkkxhymSjhOIuD3	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.31.33
