2018-04-26 09:38:49	835fbc220b734568f2b7a6449a5e0655:JkX3HLTc8N5zT86tZzG2ya1UrTY7DuIY	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.25.216.142
2018-04-26 09:38:52	31d7edf6be6e56e613c24ec16b5e3bbe:DjFodbmAhqOWUjdrEgWs61SHf1ViqKkw	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.13.89.104
2018-04-26 09:38:52	72e1eda1539690ffdf30e3221d248df7:THaifT9dsnwdI9smdf2IJP0kHb61Fwis	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.25.216.142
2018-04-26 09:38:57	63bbd52c074e7845a737c59b096aba64:pO1Sox0vTgysBKqUI9Vk8qpSUIDOADS5	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.15.5.109
2018-04-26 09:39:15	2c1d37243cf615e7f481ae83845e3f28:Q9hgOFe7CRZ6kwLYJe0eNmljbj5Wkiw0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:39:34	e8ce38fdc92436b2aeff32b4e6b89ea8:8MxBDLwspFyu1rN8KZJvQRytyXuU2FDf	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	39.8.4.247
2018-04-26 09:39:49	61facdc13691f34b5163047a8b604939:gpP547Vsj0C9LbRvrNcftdg5vsfRIAaE	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.157.210
2018-04-26 09:40:15	cf60658c068eb77adfe91b6d16565624:1bogNgXAydV5KuEI7CIX2iPsp18tnNmq	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:40:37	9ff09b9ac54f671af64f8012a7dca5cc:rQ09SqPDpn8isP56wIGAkILEXjYAUNWA	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.25.216.142
2018-04-26 09:42:20	b25d30ffab3929562ab82cf3de0cbc9b:ViY678p5yORfSRIVnLKoi9FVkAtFonHU	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.253.198
2018-04-26 09:42:27	d409fb10237aa5c4c6484f11d0c9c266:ThOMj3sWBxC7xdrG8ZahPPMz1KaZ2ML2	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:43:56	85ae13b1a02f1dbd2f7e767348489d96:XNulYYE2MdCHcmo7ailN662v0rLr8cOI	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	122.146.127.46
2018-04-26 09:43:58	9f55f851db4e2aeb270e72952eb29d79:cQFhnbTkPvU5bYSrgkfBdeUeuPJUa0mR	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	111.251.59.40
