2018-04-17 13:55:06	3593a55c0144e8baa248decf6659f5c6:gKMrnoYqrNL5KCZvKJohAIxa0xf9Dt9s	Q1:北投區環境資訊2.0	,;	172.28.67.102
2018-04-17 13:56:52	2fa9c0b839bcefbc4b739f532cc8a195:tuBjwNrNLd1SvT9LPZYCw99RLYc1hl0B	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.67.23
2018-04-17 13:57:22	8e48c923d6fbbe8817a8b74e425f4cc4:oFpHcPAmAchsMvCnKSMgnqnZ4MC4E0K6	Q1:唭哩岸打石文化,;	101.14.196.136
2018-04-17 13:58:00	d5cc736d95e79e3e2b0a8bea61a41480:DTndIwnAsGlc4W92QzC7eA5pTYkJxn8G	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 13:58:28	c84c4f926778216fe63dae3d66297a6f:OKQV3mE3SVQwXFUNSD8bSgvppZSuRPi7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 13:59:08	d1bf467c67eea366c14301640bb9421f:DOCCOsEnsWCUr36srRhPwmCaWknjbi1l	Q1:唭哩岸打石文化,;	101.14.196.136
2018-04-17 14:00:32	afc2d95c573ad6220b12bc1b75f52646:NSFbAjOvDyJcxY3mg2kSiitN6ZOE7bNa	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:00:36	f0fdf5e1c6503d809dcab9705c49302c:Dj5zuCFfGZXIKOQT4ID8RbLxAIIsqZSl	Q1:北投區環境資訊2.0	,;	172.28.67.158
2018-04-17 14:01:22	51a9b14aa3e53db935fbbfeb1a30fbb3:PSQOjEtVFhKNZNKGhIPPWZ9J8s0Rp3CT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.104.9
2018-04-17 14:01:23	23288802f229afecf87ce78ba6687933:u3DII3acxNlW091jw74EmnZkrcMEIpMn	Q1:唭哩岸打石文化,;	101.14.196.136
