2018-04-24 11:18:06	a0da03ea27dda39a5f8e1ad019e2d29a:NqTRTVmzggoyhkkHyZ3y3sTrrubt0Qam	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.96
2018-04-24 11:18:49	2ea5fd6c4191fc8785723bfd7df36d16:wTSZWNAZKH1bBENE0gLTLtx8mmGy2KMo	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.96
2018-04-24 11:21:30	8d3d6106ac3dc647a5a873890db62321:7rhtrtUhQUiAlm9iIQhm7pNDEJleUSD1	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.96
2018-04-24 11:24:23	6ff49e72848d4421353524ba289ddeed:YQ3VlWjnXDNTeiawwimaoDEmD98LslDI	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.96
2018-04-24 11:29:11	5438c7c97bfc2ce6590bb2bb8e397a60:zEOTO8byNR3hPCTeYL1ahH5piMTmr17L	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 11:30:44	a96cf1063354f9eb898b96470e92df5d:212FkCmOZL0aahb1mKQ3uLJJL6Q5Xmh6	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 11:46:23	7a22a5e6455edd9c75e9119d3b17ab59:kvh2Kq9Dpx3jlwLR0mpHYQFa3caTKytz	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 11:46:24	6a808bc073c3f5a560184700150e96cd:feHgvnithcukkUIU3KFk26eWGCgSL0eT	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 11:47:30	6db1c140f01a9f0371fe4c0eea71939c:xlp71k1loPuNjlqGKcoc7l6JLIhg08y5	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 11:48:29	edc00c1ad204223a6fad8b696727f81f:iSC6NPT5czqY416omBFuR2NKPZHoqrwi	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 11:50:29	0c075b70775ccd54bd73454d6906261d:BKGNNC0EziNF3859JIlgNYdULnvyjBfg	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 11:52:00	05885b39e152c6f1b6f458d79c0c3ed4:MnoSFjQYCE1iEmJLO7R50P7jJsEar3A4	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 11:53:49	972c3cd14e4d523da95b5f6a73dfbd3e:s9IO5eimTGmTX4hOlqSMAuhdK6XNKHmu	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 11:54:02	fb4145c235e83d8caf3f9215664390c8:uPEcvc51UwaUdggYN1zC11IEFPvurge4	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.181
2018-04-24 11:55:14	240f96f1cf4b4c81165de3a440e91c73:tGMPeu5knSynorn8k4UwdOM71aPJEVVn	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 11:56:31	92c872b3e5d887777eff66c2fee10938:Yu0sTG4llt1P9bleLyDo3LvYMgur54GC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 12:02:03	1c94ccb30792452dae1bf65d3a0597d2:O6dmfC78KaNkUwdyznVUINnAmZ07hk5P	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 12:04:53	8a6cb0b69257b7b19eb9cd06b3312240:IVWbfDgIG9mXr0DrWiEXCMwRZMJ66PYv	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-24 12:11:47	072d6b37ece02400e970ebc3d0251b46:p5fqnhOFSeOENbwoleSoyBEy8nqZacjg	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.50.156.221
2018-04-24 12:56:06	aad9e2b5c97b5c15b2c2d3d50381e665:JC88fQ7MxQFUh39cdLl5lio2BX4pJqVj	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.181
2018-04-24 12:57:00	c1d2b201da86231c75590a03c6f7b5f1:BKWeWIQAHMsuPTtVAJIeAMUuErVHHdHi	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.181
2018-04-24 12:59:10	1dc6b17e52d9273a796203945351f165:iDRskbx6ThyPrgaMP5L0p6UYZL3kLx1K	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.181
2018-04-24 13:17:29	d989aeeb75a5ea6d47391c0620c54c54:C4NidrOxPekkA4VovRUl3M4GJkyyO66T	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 13:22:02	be5dbdeba20fe7b89ddeba675595cb71:ATkqZH4djaFTJFdMbqDnwjmoAymSSdXN	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 13:29:32	132e66fbce5ff8d005609c910676d046:QFJT37vLrYdwzS7K4gbat0mOSDYLS9Z5	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	1.160.82.45
2018-04-24 13:34:19	c6e86b2dd80074d3be6cee5e67a81e92:FFYS5bCPNTxANs0sD0pc4olgUPCBLern	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 13:36:14	56cf4818ca688fa84d4f6304adfe1db8:PXLLPLE0mWqIY2Pt7UoUAGCYpysIjrJi	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 13:37:16	daf78cb1a79a7409703b39f04f7afe14:kotUyt8Gp402dQqTsVKSCGBEO9EO7MwM	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-24 13:37:17	c04046033c753866a856d379604b347a:aaHF8oQtbb9hXfs70j5wCCtLshPJNjQc	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.221.198
2018-04-24 13:40:15	e1ca4eab9a3ef26ca54de73afd2dee5b:it4t8UJLFvFuzGV0sXY08FEl1qCEmxVr	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	110.50.153.55
2018-04-24 13:46:26	5c33268c5c39b7420895796cc89d5af1:DI9ggdfEZTEY78c4mg0cVedjHd8TpuOn	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 13:46:50	493abbea657575d857854cd4fdd4ce2b:TPNtaBn4gPVfpblREyzxUiVzcGx8OSsR	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 13:46:59	8adc685581ef20596ad2c39692c1d4c3:vcP4sBMocQuhFKj95JsEKUtYnXrNY03h	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	111.71.47.9
2018-04-24 13:53:03	9656e148651e27b0d25f0ff517d96e58:ISdbJIrVxbs5aaFoU06JJacKBodge9WF	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 13:59:16	aab7f2fdd2762120211ffe84aa8ac5b4:RPtZeQPofMPYqrJWJKhvqUW7ChZKP8Lt	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 14:05:38	386868347bb2cb61c519cca318bc0652:6Q6pGOTw1PPP3z60GcVoCC2cKPsyebLu	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 14:06:46	32e087df0fcd5a31fcc627f281cbc5c2:nzokC6IclbviVyGpunYSocsGdLcDPPny	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 14:08:49	ba08872551bd5a6a910be34a14668bcf:duwbrIIh1CaorfV0B4btv2c29gTKQvyE	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 14:10:39	3bcf3ddf50d74bb6ba0ffd938a789165:3CvNRpkZNPy3oqRTjoms8adu2FktJBMV	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 14:11:49	226d37d93f97bfa61988b152871c8a0d:q4KUWR0BSXI7fTJdgvfvXl8naD0fOaoq	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 14:19:16	2c511d4baab3b8fda03a673b67e4e4ef:r4V2iCnRwHMPXUlqW4Lcf6EJXYL6s8IZ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 14:37:24	0b951039057e849a198a72a6c893095a:Cvye4xgUDYMZ42lyhclwbdqk56fqPdqz	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 14:41:48	67dca5d85d2e2f0944a23bf9579269bc:Ndwn5LdfXdMTKv5xXjm2CouKCfzPpWhm	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.108
2018-04-24 14:42:58	476b6dc09ca868eeb86d9b452d68d5bc:TaKM2OtmKj5gHO4vgczrzHyCVTFLaWQm	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.108
2018-04-24 14:50:02	cbe2ee886b062c80982064897f72f8b1:vyjkwBxw9WjZZIfoaOpRmI787SlzR3O4	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.52.141
2018-04-24 14:53:43	5d2b3e62284940128007982d74dcc3f0:6IjHZ4GMm71BH26atkm2EyqUiEjvzQjN	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	10.72.21.130
2018-04-24 14:55:31	3c13a67ccf5f32b9ab755c6047f45812:Bko6hm587xOAGKYp81X8t9sHqXleIEkn	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 15:00:38	12a5fb61a1f04a40393a535d5f4df367:z3xuzpPSbSHEeI4MMNzCvoVYVvHgulJf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-24 15:06:04	cdb1dd4115a0fe340d7d213a113f68e2:r4kWjquBLZIo4V3CGiUnGtxWcgAdva4Z	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.137.103.194
2018-04-24 15:09:20	d8fb53989d8f86cdaaa81869a78975a8:LEeRgWLbQjbTQgCReIOITbkWvw29LPus	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-24 15:10:16	a9e75cc7bb6ae216ea68bf7dc0625d90:NCf6kuJRkLa3zQQde6KMnAgpvAPkk8Z2	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.229.128
2018-04-24 15:13:50	fd948264b00bd5ba719b23a2cfb1402a:fYsYMnTBlNIuymTlLzWY992czWYyo0YS	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.229.128
2018-04-24 15:17:13	19121de2be0c001a1815fdb5e56371eb:WROyxZKaLcaPcC5Gftu7iOngyRoTMElY	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.177
2018-04-24 15:18:27	58e4a2c94cb280de6a0b78854bf6761b:o5QYGHYWpObQWNjeKh8fqLMUKyh7RR8m	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.177
