2018-04-26 08:52:11	e16399ed9a3a72a294398ee6ad566cb2:cctezXMu6FlcCIrnbNlYrQuBQjHxfmfT	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.31
2018-04-26 08:53:30	c18f0e1194846dd77908bf502452de01:EK5ildEx6cQZCsreqFwtAj338z3rnp5a	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.31
2018-04-26 08:54:08	f76401992b882a6f452f5304faa99d3e:iVezWbIcEW2C1OIqrr1NxC1SKs2l9UlO	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.31
2018-04-26 08:54:45	ab37d8fe4981bd67e4b82295c9e5dada:siGWjJ78to30Pbiry47ePVqyZKnkV39a	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.31
2018-04-26 08:55:27	9399ce9825899fd8fc28184453019b62:Ur759GUuHKfAnvntA9beueyQZvN4yDXA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.31
2018-04-26 08:55:57	195d8efddb04f2304ceb1e1c9e6b8b96:u4bXdoWutCdaBR96suyizHnWBFigUzem	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-26 08:56:05	c75ef7da8ceca095dde2e88ee2e44575:U9z1ByvNmayGsJXNSRe7fh7dmPOxd2yj	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.31
2018-04-26 08:57:27	a0333ebd3a5e5dca4543b341bf79d4a8:DSkFb2VYDgjlFHbj66wkTgxfXxdBiWaU	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.31
2018-04-26 08:57:59	d27b81b225c004d3a4a9ab47635b6f0f:zWyuuEiNaLqexa4HPI1gEcYAZaT129cH	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-26 08:58:48	1138c2f1e0cccfdd105dbc9a064d9daa:05P2yrhAOBCMWWok65UVpMU72tZCTtbv	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.31
2018-04-26 08:59:26	4b599d455827671d274b5928a80920f4:LYKzOR0HIJTRiCiyiBggcCqQP3u1DPc9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	172.29.144.31
2018-04-26 09:06:48	8aef711d4dad688660d735fc02c943b9:TjX3VAfRObtasmkqwNAM5OGC0Hp4Rvwb	Q1:閃亮文山．越夜越美麗	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
