2018-04-30 09:37:28	be5410a18de383e1c74dc2a67ac251cf:84YKQWHuZ1cMisGGTdYofi11qqsYT0Cn	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.204.21.111
2018-04-30 09:38:06	4faf24bffc730b483a07ccaba4bf9588:NgoJMiRhEF8FxVZ14YC8cfnE3N8k3ouu	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:39:50	f98ab9bfe1472d699daf984bab230e3f:AtX99YvPzNo7yjJuAhWXLqEIQWmYuV2c	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:40:46	8157c53479238f501911de7de5439490:ZpHIcCrvm1HY5Can0EiZ54z09j3bSqTn	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:41:50	08b5eeda135c70c3d2d498015d880c54:g3RRQBiSNulwIPiS76b6J2P1t9V5gD8j	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:41:55	a5807f21d38dc497c6b1f1d8b7ce2a69:ZnLqT3kvCQVHsEKOj8sAPIOCYTU5Cyxw	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:43:01	454362b5b0dccc9e0b9ef3cec7162dec:V8FjJPC16JbtvJd2LdARCjlRy1q27GN8	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:43:55	7c2afd4792e5372a4bfe381552c9e6af:LokHjbcUDEAt30f77Obig4Z4XY07GZx9	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:44:06	b118312aa2832ec27da8a2b606660ca0:04rMrwBrHhcRWzYv9gy8av4rc7LtiU7d	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:44:07	65c7ae2db030bfb87f8d476ed8a86053:Hz5hkjgxEA0CZ8Z226IpxofDr1k1uxZZ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.20
2018-04-30 09:45:39	a8c3e6a575f6690ffeaf69edfbee066a:uAG58qd1HRg9zt4zLZV4k9MIVokKI6AQ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:47:46	0f973697cb7d647a8f2e729def18510e:mNEcqFomBlPso2YvGOjWbOVZER4j0RdP	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
