2018-04-26 11:20:27	e6c489294412cb4e666ad201dbb052a7:WiTrgvPIik4zoIucKPGxgj16gqwuvDvq	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:21:14	b76be468b1bacfa64b02192146f58fd5:nR4YDYfKT8d20MHHMOcNb4pvcUQcdoUX	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:21:58	c5ff046038b923b2a611052a26c6429e:N9d3RtRtH2u1f1MPiuFaRCGbm8hGiWxz	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:22:33	f6a7c2a8d0af1c288a6646a412e5e922:fAs7B1mvdX0okciiYZV63rdJyeftCOlr	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:22:52	1de043eb3abee9da70ec5524dd62a4c8:LiR24Kkl24tfzttTiJCajheE3w6omhRp	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:23:36	91de0c5b8b6e3750ed6ee5ebf0d61895:t68bldtl2TnWWzHmDWudvMQNPSNAL6Bn	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	172.29.120.140
2018-04-26 11:23:36	7a77e95323eaca165664dbc27116c463:rlIwNF58xGrQrjIwsw80tKAGxW6my18U	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:24:55	af358a4182d81bdab75f6544e90a4a78:NZtVmSDRocZgsH7Jvr5z6zRGopzRfGNQ	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:25:08	8771c1810beeb32dccacb6bacf4d037d:EXqdLgrXC5WoZw4sDY1xr33wbnLbWU2O	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:26:10	5de3e858e4050641c6c5301585e343d7:rRfgC7Elf0ZKO2KoHSUaKYi1KqoaMmyY	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:26:55	709de1cdb23f74f901f94a23f91bccec:h7q34rQWNkjqcLNNbdGPznelsSMlD409	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-26 11:28:08	e098c12185c173fe78615d0046c3b4ba:4PdfzdXw4VvxI3Gqbacxrhg6qWQ0nf3s	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:31:02	68b27b7ce913d8fc78e7209fdfb50066:iED8KyyiU0EK3uTtOuaOY4ZBuPINAHTe	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:33:31	92a99302fa3e29ad2a11aef51aa7bb15:5bcLisobhWUb8amWBEqMJX12vZ9HXfjK	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.216.198.44
2018-04-26 11:50:29	b2526fe16bf69d3f48d58e7cd33cc6a5:tFgsQZuAYSS1z6cPf6YEFHXZMKJiyyXZ	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	112.104.91.90
2018-04-26 11:51:11	872b76736007ce777ae7d8a67970880d:cpQy8oUEZOuxOQlqE9uviT4yPiLRuM9K	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-26 11:54:01	2655fc9ecc1b118bc2fe42b7da7dd41a:0frQEynWAv4nYkJYhEHA3mU57Bmg3IIJ	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	114.136.64.219
2018-04-26 11:59:21	c4a8d0a91c551c11027f95233031f8c2:vnj7vvvQMaxwoMrlf22vr8bIcbxlCCoU	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-26 11:59:37	3a90889a07a17ea395c40d317456d050:qlBVs2oy22RNHZ9oUvH5Vl6HLZxTTfxy	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	39.10.40.29
