2018-04-18 09:05:55	136c005734bb8a04b734015ff1b879e4:NXrj9DGJA8jIaoWPlTZ3NqqGGfcC6ndr	Q1:活化青年公園,艋舺服飾商圈	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.140.121.72
2018-04-18 09:06:38	ad10b168a3bc15e7a5d94aabf7112867:6jlpFzD9GxLCWcUKAjIMFrf1eNQV0rx0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	42.77.55.16
2018-04-18 09:07:21	3d00f4411187ad266d6de77f5d00be36:loKhOlEAudilZIFUI4WZgiMdkMKbZDD8	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,;	172.29.16.169
2018-04-18 09:07:27	fea87c1e6432a30962bbb02bd1fc5b47:iMDIisxppwO6eLUXNvAUKLD64EMj4ryA	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:08:13	cbf00a80c34d1d4a110d97585f3b5ccb:iJNUydY4hGFHCqGzkAeoGnLFWatZCmbq	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:08:19	61aeaea6b871034f771dc69215d3b715:9GUbKCJVOnc4KQE53q6MgnRKjMXilhdB	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	115.82.48.62
2018-04-18 09:10:20	308d92d9ce470d00143734999cb4aad3:oB8uPDIOiLWGeJQ9ybgKjnZdhzyuDUUL	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.138.253
2018-04-18 09:10:42	f74e5284f8e0e1776517e446c920ec12:niksy5xDVfSf0cLM9gnrmNqHDP9G1b5B	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
2018-04-18 09:10:56	d9e52562f383c522905a19f42c165e59:zBrQ42PfL20yPy7fQjyT9m7IzC6xXpqh	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-18 09:12:48	1b06b5248a564e66f2dfbe181350c559:uTzubxP7anYZzYNsuoKY8KRQw3ln4a5T	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.82.48.62
