2018-04-21 08:29:00	fcc7079e1251d49bdce7c37a656a2370:mYOcOPWFxVXXlE7AaBycmnHGoU0qwcnn	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	27.52.39.148
2018-04-21 08:29:24	88a82b93d925e066610c63d7ab0f20fd:l0pqf8E4wcFRdv8Jj0ep8iRYq5UXZY18	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,;	114.136.68.4
2018-04-21 08:30:14	d53a32965a61056c05091240a78b87de:qCqC5LUrp0MJMYOzZ1NbVUjS8JoBaBaO	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.243.234
2018-04-21 08:33:34	e9b3c911be2cab5c0e2ec2e667bc62d1:MLSye2LcwSaV61e74XAuHUkJxIKKUUi9	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	101.138.145.156
2018-04-21 08:34:36	4b8ff57cf747df3427ac14aaf2c32616:go0yADK2D26ck9HswP5iJCGIypeZFGFJ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.217.243
2018-04-21 08:36:07	3cd776e6f0a388cdaa2a8b99657191fa:Dj7HlQp1sjPKOJPzY7jDJL9BhCWcjMTI	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.145.103
2018-04-21 08:36:49	9b8f553e60d51f43d44b013e12828072:2Hg9vsUyZWERYjMMdqR7us6Xnlru9OSy	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	110.50.128.61
2018-04-21 08:39:00	8ac9311a8f59d513f1eab3c2f9e1d994:SjAJ5lDoOo59mDl8LWyMvjN903eSOkAz	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	39.12.35.36
2018-04-21 08:40:38	8877d31dc25af1acfd4f3d4abb1bf7eb:lzNe22vCj3zx1Ww4xfS8lh1hiBJiBMQL	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.138.96.197
2018-04-21 08:40:39	79f6b9abeac9017f489f6e58469a752b:bGQyR1VD8qIonaGor9Vuw0sQIzE0lw4n	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	110.24.161.142
2018-04-21 08:46:21	217055b795bfe2a2980963b9339be260:KTZ4TWtmjHeYtePhrAdhYgwVtN70dHaV	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 08:49:12	59a8053eefb222cebccc39de64d888d2:goicI0aGpfbOYztOV6bnjCAlwbKfwG69	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 08:53:20	cacfdbb07a9b6a57d1e4ffc6e02e07cd:GXVaxAk21oyP8X7ZhaajbrHX8nfGa1LY	Q1:樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.145.103
2018-04-21 08:58:07	dc4cc6d9e578f9e3d89fdc41872cc1f5:uVG5cWBJqL28YdC9wf9LE7PwnEkO4Ki0	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 08:58:22	e18b0c24eaa9123a5dd66f5becb20a71:GIjQ2q7Z5wc5HyWjosFr2z163RtmUHmX	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	101.138.99.70
2018-04-21 08:59:47	fd18d3bf9254e690175e10987c38d51e:X00Sav5uD0WhXFsMRY6npyEOPYnZU9e6	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
2018-04-21 09:01:51	303cba3e8817943edc931bf12d577f5d:TpEFXmGlIim7YtbbbFaBUTQTOKqUkdUd	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.219.150
