2018-04-22 16:57:17	eab4876a9997ba21d93f7177e33f3e3e:EN16HbhOnBYc7lArf67bAMjM8qBZZmAT	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:58:04	621755b3441e4e53decf4db14673153e:dR3rfkpMAIEdd9oLe16M9wNTekI3Fl96	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 16:59:15	17ac7ab5de5def3821c4efc1d6732764:mcjbcnjKolj0rYIRt13UAUnDBt5Q9Sde	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:00:02	bfaadd72822f7817d7fd04242d697dc2:qvU0cDzz9tLqhtTtGSL6mK8fV0HooVmg	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:00:51	ea4bfbe93e527465542c7b4a7dbeafbe:KkBUihL0NqXaPRqryS85q0yd6LuazpW3	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:01:20	2b363d1598959360c7640c49c74dfc21:7b7kI52az3y9J49q2YsXlSYtbNR9CVDc	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,;	101.139.148.132
2018-04-22 17:01:58	e22ed6a248bf9ccc95658c955bc22eb6:LX3D54onb0zBRx8CzhUuVYypB9kuy6rb	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:02:42	47226d6710e2c0747ca4723ad06c3670:5peNrpGQaYhRvsWMsWcX2u8jwK5pykLv	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:04:47	45d1648abce60a160893ab613cf00f60:ydDLVYVPlXpDNDD4VdgWnP5y0HTId37O	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:05:34	161ecbbc3d2560d531cbb58e824d3e0c:4YREKrkrafmYpQNnsEcqYcWVdlrXV1yv	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:06:19	43a4fe8b40d6092fd55c86068ff115a5:zCKah5N1cns1m1IVhoyzntAww5Uz7SSF	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:07:10	e914bc4e5cebcd7613c791220c6add2d:hgxxmFPrwfNyJu5YB6SOyBPVXyn5hh0y	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:08:11	d63f372b3a6f2d9effc0ab96f17629d5:YY3l42g1wAj1bTAdVBAqn7ypSbb1DhJf	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:09:03	3646cde8b5c7c549d0038e86acbfa5c9:A2XxZsytOZhtYW1c75NonGQsHPvGMP83	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:09:51	a9a46b6b1d439d5c7e9ca9cca59e8600:yvFg1HJxqQTONe3C4knlxFBxE1Wgt1M2	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:10:40	a5fc953ea09cae850c555ab9d253bddd:ag6UJxTNUed6ivAVNpYOX2Kp2TCICWe4	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:11:25	d4aafb6e7461976415182e17e2decca5:5bN52tsmkbQROyuiTS8aGKXvmYVFOuqk	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:12:10	e90fa68771397132cf80e0e81d60e85b:DDpP9kfSjBITiSpDvaArOh3fux8xnF5h	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:13:29	cb7a8704f24bf683cafa03abd686eade:3QTqshEIwgHkcvlPlJsA4PWzQ7Hb025w	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:14:21	89db09a080ea38536cb0c19035f88826:os1TSAelISnYj1jRUXiGIqnec5ZkLaoD	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:15:09	86c2158570345914a344d5ade11d4d1b:ccdiceKZ7NparoiPPR2eI7xj4pyPdQEp	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:15:51	0e0f76b225b02348e7a9c5628c6af07a:4tgtwiHk6t1x7fgy75gzBABIzBlIp9md	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-22 17:18:41	6be3706073b4fc909bf3730687fd4ecf:M9f562ms7NNl9kFR24xEHINxi7c3pT2B	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	61.231.185.33
2018-04-22 17:27:48	15748eceeccaeca95388beac74ac1e91:cDFfR1O4piNZuublbAlVbnSbus46VJ3M	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:28:18	b5e47d414d8ff5c236fd54bfb8143d03:XAqt17ekfOgd8sHwQ8zsxacoJCMZivfY	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:28:28	c73e14e590021d386286c15969806bb9:XCOAaf59nqO5aPyIHiBoKPsTwVM6RNaa	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:28:39	1a8fb04b2d313d83f541014e4c5a230f:1nvswbpMWY6Knxa7pp9KIHM8YlMXLIj4	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:28:49	a0e04a8796e6be5896f385b7a92ad418:LLeOWiahn7XwejdaqFAc8WvWRjFyobdX	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:29:01	9680b857f8ce93184bdf700ba9923853:cYxtzFgZVPfhkoSIcPL6zLH7gANSrzbR	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:29:10	3e64720a8a3f3bbb9b235e648ad48f64:V037MOua2woaLYuCl8l5UZ26zsR9RDfs	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:29:19	afd7259aa83b15c0c296e7917708da3e:9vX6neSIEHf1AqlvqkbcHT6FtgFSAiCa	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:29:29	7da1a6e64becac79a20736f4d872728a:N1JJ8IrZFeyFkrlL9q8wX5EyYlqKfPNp	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:29:41	d15b878c01b2d54fae5aa134f3cb6c29:3bhQ6SCPo8bP2sP7kq8jk00Zz1kNAQgh	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:29:51	3210633f5228273087ba152cdc4a1e7d:pCMkPYgEd5bnnA5NxCvRdNEigwKvimf8	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:29:59	13038f00d16aab2fafca70504535b90a:qDzigqchJr4T4XtxV96CuHX0klH45uj6	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:30:10	e6a01553da326d326b086ea90ad2645c:LEvCfkbFR19nacNUgBuHMbVzNVpnUyox	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:30:20	8678778b74d292f65f6756f79821205a:MHftPCE7AUC6ODTCBrJW9Lz0H1UatDty	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-22 17:30:30	abb9f01a9d8bdfbb0f4cbee630181e19:cNJfrQU2Izb3KspyCekzntnBYmxD9mRS	Q1:活化青年公園,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
