2018-04-27 02:21:56	8ddee4360d92accd488da78dc2682709:H9ketqkQwTYP9YTfAoepZyW71ByqWXfK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.192.140
2018-04-27 10:36:50	5d6f5f1c2d4f7858ac620542ae92da48:sBqcIq6VYHFhQxzG3LgJjAOS0cV1H51C	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	110.28.103.150
2018-04-27 10:36:57	24ff81b601d705594140606f781d8353:yois0d7fvHwTzEIoTmt7qicvxByRRGyt	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	39.12.4.193
2018-04-27 10:37:12	d11518457bbf1de88ae5fa6116baca68:icq6HRzw8BGLQihc7zHhMwdcHZ9o5yPC	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	223.140.12.132
2018-04-27 10:37:28	23fc1e38af80bffd4dd4be58eaf6d206:RWlVBJofZjsfXgIRLs9E4STGHCwch9rR	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.251.90
2018-04-27 10:37:28	b0c4ae099d679a483b2ed2818399c765:olKtuHQhJL0I5DqIUlFSEGwBJW8afBJU	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	114.136.147.12
2018-04-27 10:37:31	5d13bcaed45ba8a15e66ea8ba93d5095:9n3vou1LDc32TC8cM4hwu9WN8R5Z0nrG	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.138.160.118
2018-04-27 10:37:31	9625b188e90f262bac7638f5dd7e512b:fk5fGG6ZCLsPeE466mqhpVwI1SAQEN3y	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.14.213.53
2018-04-27 10:37:33	481fa6e211b0e2b93759441e520e2702:oYABSdL9Y877IwJnQLtdYiKnNvsS7XI7	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	101.15.8.233
2018-04-27 10:37:38	b7a8635dcd9c2910b36b5870c3a75ad6:cLDcHgLURl3Kq7nUItypu81BaxhyzzKO	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.137.156.25
2018-04-27 10:37:43	8b2049cde3bd1e2497df1cecd15b3de1:dCGHhZ2G7PmiuaYe4OTqe9tCamGu52c5	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	101.14.179.194
2018-04-27 10:38:01	47f1d90b6c389d3e5d5e2daadd1936cf:L4HDP9xttnn55Y0w0pXeikiTc2EdeZc3	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.137.11.190
