2018-04-29 07:59:00	c8b0ecbe4a4ee4401b3c4317f6068824:Xvt5e0nXzXFSsI7SJR1aiv8EOJa8En9Q	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:59:08	2cb35bfaa260551f5d0309bb0433a408:kdcVn34ar7e4qQMGdcN3rbPhOP29lSNZ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:59:17	8b5608761eca160dc2f3b5c96ae41bba:gAp7r0nbwAJLTjLXRTjtufO39CcBgocE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:59:25	84492b0f6167ed090ca1926f2252b776:bie6rvEIXLbgm6inbBUv3hWag6huilzE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:59:33	3a805855ed300ff836d00556d1ff387f:kqsdZUUDPS13BUHNweR8mgG2NGgxQbHY	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:59:41	1f58c2fa2b7f3c94c93c67544d5bde3d:N6DRNkyn48KmrNM535lvhrULnBWEJZ9G	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:59:49	06a1a2adcca2baffb03f7dcf4248d2cc:QORW3hCwCh3GrBu4O6SMGOixQdIIYRnd	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 07:59:56	a4208746def00ababe5d087d16562bde:gjQvxC8wS2CHCov1uKwPpAVYLVV7TWM2	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:00:03	f251ac7450d0b78dc498a4ad61135310:pSploA7kHbt36tZaQL6Oc2rq82oDHmXT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:00:11	78f288fe2cb11dc0d99ec03d005733ca:DnpJJtPRJSetiVnWNU6Z283pO1sK96mC	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:00:25	90ab13f53c3c5bce0da4119031ddb297:H2EF7GxA0HzOB4lyEPiZaLQrWXfuVPVm	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:00:57	94556927924f8e3e9a40a5ff4033c0bc:D5AfBb2qUqKbTYJ93D9hHmrnSLygbm4V	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:01:05	e44e9dbb91952a6dfd636868ce1a23ff:j5Op36bZ8M8rlCc8NBusDK4aakJ61k12	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:01:15	fe9a734bcb88b75ee6295228a71121bc:dcQwxxF9dDgtH4cB2lxNVY55UsRNx72h	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:01:20	bcefe37d98ec2413bad119d2e3b72e1c:ffqI0ZiEX3BFMtmCEKMMnaVn5gVX0eYh	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.141.225.127
2018-04-29 08:01:22	4250003869746e4422d157b7891df7b2:NHJtVKIcjujUZNBGjRomXp43Rjp3i5Ik	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:01:30	e8f4fd71882c6abaf217cad540e134f3:nqtmrvLQJVuUatRqKE5HLBS7z0DGcbHM	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:01:40	2b8e9c6df52d3a5b76e89aaf83f58df0:F48FdY6znu3X5G3eRsSTJBK87qonGW7Q	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:01:51	5fec8f625a3ed8b1113a33240f499e42:LOZgqZywkZH42PGOM4L41tonTPovhTeu	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:02:04	3306926e8c3124a2612da2267bfc14c2:F6aFjjuufK8AiUNZgEZ6htTr5HgrSNi3	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:02:12	3bf3d9688f4c7347ff60c141c46d7be3:s6wN06h9cRIXoqQCaI4QD07QZQ7V40XJ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:02:20	e1098e5be107160066c7be5b5b9f526c:yOMDkwJyReHJwvvVukOafPkyEJlRJwkt	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:02:28	9b6930225dc7a1ad30340263cda7c29e:Qbifq9PzDdKpojC1YAIe8mEiSR5FPR37	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:02:35	c270a54921e8c2535ce297601218899c:5dUhmsKhRzTUgnXWwgSUDE1xJneZCBXr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:02:42	773298094a291168d7710f488e1a090a:GeINWdOGDmvPybF4gKtzhdLZOA3DjAZ0	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:02:51	3ce937c418fdba780a6e44a7b3b06935:GwRnV99RxHw2zDo9vPvYtmrg3Kwu8Gyy	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:02:59	5e4d08a0f98bdfa16a4a630777b66e7c:cWWh7HUEjIvgpdvmNUla99vsFKq48aJL	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:03:06	2a92fc9a70e6fc0aa1512dd2d02350e4:xn6xSjSpPl1MQvrEePUmOT0gxdCQkLbF	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:03:14	b9b152c20fa8e5e83ca7e2e80cf5d1ab:XmhwDjgPuMVZAiZMCkPtnYWVGJ7j10tP	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:03:21	6c1b55c6b2e84d51f743c0554a3a3a02:uxrm4tY02FrbkZeMd6UREH6if7CQsbKa	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:03:29	2ea20aeae81ab0939bf6af45359c05a8:8PQv59ecDExWLA3w1PDATnKWP9AEkZ8w	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:03:37	28154c7cb2356d26bb08e3f04b5dc3ac:EH118QWEEh8lgc4LIpcaLBEaRbqLSSMz	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:03:45	e9a257692e80406eb346f99c30bfee0c:a8Tfr5yMKViffVD9lAzj54n3wEBtiEcv	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:03:59	975348600841a8c1360a6019aff6396a:c6fwnrO3P3awLn1Fpqlj8sF35zOwyALx	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:04:06	58509555d607a0b3a129506a26753fe5:YlLrZpZ807KrC7yAKPscC3EQAVyykC4s	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:04:13	5b62d232a2054447529589ef6f8d7577:o8GC3fn8B7HtXX7OU1SqrhtbmCemqXQf	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:04:20	70fc457c1fb30f06ea3f494b5a8232a0:GQ1El8Yh9POwXisrUZ82rJeIxBGuO4xo	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:04:28	d3432f09d75d8e25708959cf626147ec:YDWQXd4lLJPlOy3Rl56xsBkQpG37xK3l	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-29 08:04:35	5537356e6e32171dc334cac2d2a2438a:oPo9uPu11KoRVGMBPBwaYlqWPw1gglYD	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
