2018-04-30 08:47:14	af4de5cf0df5b52cb3766a71346fc27b:q9Y0VwpcQqrRXDJbQC3U1dh64qvzFfSk	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:47:26	0afb08f09ff0a1b0d8555cf7f3cb7fb6:GsalqtlpE6YfvXm7TM3cntTwEATaNWgh	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:47:39	d5e34f93ffb76483bcbb0bda86aeca46:IBSKNc72283KkBOsPaJZw5Pr7HTA3SyX	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:47:48	16e6c3ca1915ccb20d5d41ab833bd7c9:Ho0SKBnx8t3rpglBmHIah6bXwC28sZAf	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:47:59	25b8db8d87320d55160240133a830a0f:YjbBlPmXYWXYE1m2Ffy0wBBUMaZh1v1y	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:48:11	cbfdebdbd079a43953135e7ac4059637:NerTyzpS1KbAlZfhE81X86llrLGGeGLX	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:48:22	9930bc49d0412b1d81c3c492b0b6d433:NXMzMLDn0W2kGo6lndiHMQcOOybiHwDs	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:48:33	a1dbe05550d3c2f87b83e1fd0f796ee0:KtgGvQ8A6npELUcVpTNIgWWduIBdFbNx	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:48:38	c9fe06e89ab1e132df0bdd84c6a6c5a0:ArqTVG8TejeHZkATttFPxU869dPNgBu7	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:48:43	963a68c219081c457d58381566072702:tieQimmsEllzAZTeWieBpOSTXIhyi0wm	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-30 08:48:44	23aa97dba45be5148450c001088a9313:2H42V82wvzXXLwz7rCqugchyYU9xWf4O	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:48:54	6818a44e837deed1b3a6e61e61e1506d:hvZNTzLsYv4zuHnCG8iBOV5rLLgYNOmL	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:49:03	6ae3ab7a4c73f45cb556a26fba01a0e6:wPxb4YyjU76RDudn4iiL2mmbcCZhWC7l	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:49:19	ff61e8eb717882822cd6d94208c87d50:Jq1TZq0rTnnGNjHUYKNmMHtAb9uAg6Qr	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:49:28	dceb4a1662dedd80cf4389c4726f30e9:6fulNc6Jj0TtamBal5YfwAmswiRW1Wuy	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:49:29	3f11826f5db477d7a889f90af9e7017b:i87VYge9eymPDQbTbhGvcULN4Hyouizu	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:49:39	d7a4bbad04795009a44ff0c7d0ff33af:NvLL7nzv6MPsL67jfxYmQIrFWlCz4N9o	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:49:47	a7cd44d335ca9bea3e385684ceddeae8:3V8Z4kZuDAfEWMkYsOKEKFpgNJKi57tX	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
2018-04-30 08:49:49	8920d30b39f5d05b3b23053084a397a7:hVxBfSltSIiuJQTwKO0gURTZwpvAsnyX	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.22
2018-04-30 08:49:56	bf7f5bc17c1337ec7bb3d992d7f931c3:OQtWRtsHLy7H9M4347ygbcroE75B3KXv	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	172.28.32.53
