2018-04-25 10:11:11	6be21daab7ec1b65387c47ebd8652300:GC7haWieEp1eh0nRnt3o1uitaqxFeHEK	Q1:北投區環境資訊2.0	,;	101.15.145.177
2018-04-25 10:11:19	6811101cb913f33e2b597ff7f2e47205:QfI33GASBKztFSsdiz2YoxGVs4VlRz0Z	Q1:唭哩岸打石文化,;	115.82.226.103
2018-04-25 10:11:28	fa0ccb43285ade763e4db4d0d04f620a:gGszVdlLQu6rDbdIF1Zyr8oMOb6nChwZ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.226.215.123
2018-04-25 10:11:38	507edd81a0bf150a692278ee208d42bc:j4g2UF63FSpup9iVmM0CraUp0uRBl2zy	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	42.72.16.3
2018-04-25 10:11:57	9adccaa80aee87ee84b12b7caff90e1c:CFQ6dspg9umqhSR9vtxTg48WqXPRIB6b	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	117.19.7.142
2018-04-25 10:11:57	28e194229a46beceba3fe432d090b27d:gYYqrAWfoeLnNxbtP1mrJ78KuuUKLkgg	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	103.226.215.123
2018-04-25 10:12:28	28731dfa0491d3caf34734416a0e86d5:SKAOPWmp0FHTvv2WELzaod126i3mCITx	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.71.210
2018-04-25 10:13:10	a5992d64afb1f42064706eadcafe5103:fmGK9FTKYzvkOQCsFPBBwhmc5Q2aNxaa	Q1:唭哩岸打石文化,;	223.137.153.227
2018-04-25 10:13:19	9ed680178af5280730eb69a6c064d22e:KmMttE3qQWUHcVY0u71hg1mC4tN1xcpU	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.138.236.92
2018-04-25 10:14:06	8b525dd502ce41d7665cbf9796c79d55:l3IH8LUb44prclKluIOsuJ5PpMbkzvL2	Q1:唭哩岸打石文化,;	103.226.215.123
2018-04-25 10:15:52	122f52f66103b1b1a4602b50c30995ac:I77AFQNvCcMUC6x9EI56Aktjoo3S5IAT	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	27.247.233.197
2018-04-25 10:15:57	b3c4d76e46f8cd7efb56e3207dd34c23:YwaX6eP8Fmzom0MSqey1EEcSZwzAtwI9	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.140.117.178
2018-04-25 10:16:22	a1d02d36648dad8a93c85aa3b16c2a8d:qFwIMXEd5cxcK2CzbzHPqoCmzx0ZnJJ0	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.154.110
