2018-04-23 09:08:48	af6cbda36c9d5a704224c8ce9220fed1:0u0iICoMDdfIRw7Uh21ZT5DYJORb0DhJ	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 09:10:22	5e4cba820f1ef1e34c30b073a1986cc6:gzuUFG0tIHqAzvt7j02JEkRCHTUcG4lx	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 09:12:18	a496536e8b38c738140e30d3f1ab8d27:6wQFHMUuwRX0aN3ODbWXJiFfn9oIpOmG	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 09:14:34	698975d4cf333fed43232f77930426d3:048M801qmbnh4z1EjNo0jz2ZcsUOyRVb	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-23 09:15:50	294490f9854c849d1993a9b8d3ad5533:nP22Uwx44s33J6zSdeK7VS4fZPUgEO2C	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.45.37
2018-04-23 09:18:33	576e762cb9b107e5f947d8ebc2a09d38:EFul9rshWCLFq4e80PWX6DVyBMDYLQGk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-23 09:22:35	4860ccad787bcbd164d4d7557143f976:EW08sLIZIeveig14amnH8ZyNIFnaApOo	Q1:綠屋頂改造－從市政府做起	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.179.214
2018-04-23 09:22:42	5b92870accf4d8b1cec72b6eb7af91b3:4u67qmZbIZZaaNGI28U26WosWnGlu7NA	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-23 09:22:43	b87a520c1c9e979d6e03c9d64153ff29:GGhwqwzyMjoHUxZayhSpxwI0X1hGqMPD	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-23 09:22:49	8fdcefaad8eb1ad2580f4cac907cd80f:W1QlG0xii1rpFlmitTCn8cYbaEzc3DrA	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-23 09:24:59	57342c8d720f8ee96fa6f838a5420f6d:dilgyYLhjgTS3XtupoF8oLfmCJP8HuA3	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	124.155.186.164
2018-04-23 09:28:05	98f7e40ad4aa92613a9012ef57d2ee10:BJsv0Ukj0wSpRL6VECdm3oPpi0Uno7HM	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-23 09:28:31	6aa1c2e7a23bca22dcd7b1dfde9e63be:cxBMDM8RVAhGY2RXQn4oxtadcmpz93sV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.226
2018-04-23 09:32:32	363d60f8461c0b36374f026afe389f41:lAjxmH9MFEV8yHeYGR8ZDKSi6IiCPSpa	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-23 09:34:13	d362ffd1c749be0f663bed62298dba34:ITCWUyjhjfmvHuTGJj5LyrUqR84Zmjuh	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-23 09:35:56	9b87319e795d540a5e123bb23af5eab7:64Cz9LSqVnl6NapfcQHrLcgZKBLAgvhE	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	118.163.149.125
2018-04-23 09:39:21	e01a2c90ed2f4493cff3d7dc4cb58022:XE6SVPAAgScA7wFUhiYQrVD2AFMOQEGD	Q1:呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.239
2018-04-23 09:44:13	ed7cd75b3aace69dc2d270bfc7839b22:dDDThZVzjPBHhEpxWutR9vix4CRREjfi	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	10.254.248.226
2018-04-23 09:44:39	f9d07c898bcffb9817aff39c03fccdc2:aTJisgk6UfjmH35wUEHJUqjP0rDle9AV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	10.254.248.239
2018-04-23 09:53:19	3e5fd20c40cf530a370e690452ad39fd:u0iXIRnFKQnmBQVxLnxoOwQk8D661uun	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.239
2018-04-23 09:55:16	8020acb080005128feaff7b253d9abc4:YV5nJs2YADVA3zM6psEvmKzzaWHK4aUk	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	172.30.218.57
2018-04-23 09:58:45	a65f0e0f553f531a761695a95fd8929a:kSS98CtRZnKMoB2c4CP4NNYHgLac0UJI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	223.140.45.37
