2018-04-19 09:37:31	e664d07e9eec268c106da6bbad1bdfa7:yqumQcwO1tgsuBS1Tv29jhmcH5DzlJrq	Q1:信義後花園-松隆映像	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	10.24.1.15
2018-04-19 09:39:26	a242ce08e9022c5b50052c3dd9876de6:mhiPckGO2W6JNy3xGZ5NsEQNIVkp0gjR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-19 09:39:45	7ecc4978115442d21913c19e27c4be40:E7xJ1FvT4L8FoDm6t6XCydTrY93QiwiK	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.228.208
2018-04-19 09:42:43	5a352dc37c2cd114a8694b8abb455dea:4xbL6TFLxTdLaV2gj6LmoIa7Rbrd3zPk	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:43:22	335a8aa6da3b1e164225046806f5d392:d1EN01bR8CNp1yBJNGs5XH9r18MbFekP	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	223.136.70.46
2018-04-19 09:44:10	2563c688d74796c822fc5e3af2f22a12:mA0Bsh51weaThyoHRqidBqnfWtNzpqEH	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.136.228.208
2018-04-19 09:45:23	414de463e502a7b98084bae94555c0d9:6GnUYrZIPro1e6bZNDKMGAiyJ5RH2d5P	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:47:58	6b2f6e043cd3fc60953a857fefe7480e:zU3nhOhlSfpSZJ13uKAGOhs46lfgjmW8	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:50:04	86443263175cdcbd76e3f2b7330b667a:QWXGoe2PLk6shJ1BmbxrBLyPyOqrjHS8	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:50:48	bf781c56eb3aa4bd5dfe87966fd8d53d:tem8XYbm2BNnGuS2fj5LnhFLUUpqksPv	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	10.21.10.124
2018-04-19 09:52:25	8d9605d5d9f10a385e5ffb4bd83e5067:cnXKQVfyAambnIS0164LFSbhOl6caEMX	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	223.140.153.116
2018-04-19 09:53:00	1e92383fba684c25bc08649a8ed609b5:AfgRZkIGC1IMewzjEMLXSIEYffTZPnCl	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:53:18	46b48f1cb5f1cd67b1574304cf0fb0cb:Yc7yBR7guajQzfqCCikcWGIy3MqY0dhV	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-19 09:56:01	67a50a78c5da5b6b969386bd00de4e74:dzFqnZ0iyd2H58qZlcJMQ59C0E1uKUn1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 09:57:58	5333f5e0e0519ea3d7e5d2b404b032c0:hGiHNAoDmdXXAAc8n8MCAh7KspsbIwWQ	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 10:01:17	42ff45c9a9f3bbe14bdd7314dac2a725:zxAKzdWmWN370T5QDmz9gBKKOhpvOwRs	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 10:03:08	5839b7e102af526c705d0df6b62f2661:8j2Jfk7uSo725DkaRAu1gLvDHoOwgpEZ	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-19 10:03:10	6163a5cd2e80cacc8729b4e24f2e291b:l256LoAD380Z9oq8Lojkiat6G6LsHQWC	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.85.94
2018-04-19 10:03:38	cf6a26756ac6aaacb1a35a08e5929f47:0Ht8FzQvBrfRRLWtyHiJRIK1vFGIWeZF	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.8.147.219
2018-04-19 10:04:36	abbd2d708e639938a07a6079e5ded2d5:ZCztwMPo5Z3aBb6KqhAp03Hbk49FPTbG	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	180.204.18.92
2018-04-19 10:05:03	2b035b197f2c8e6b5bcdd43c7e361b26:tq2EiftGzf066H3qVwRDh7rNZojkqPSj	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	117.19.194.238
