2018-04-30 09:27:20	a2054a06a386a02f40c18a80d1b6c7e2:KGf3fJyRTXOkkwDl4zSni3fhkLGHNdug	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:28:03	350104d74f413ed5fb0e25f772014f7e:DSk5D3WLZD6w5KfGONjloq3HH8qCb9Xa	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:28:47	207349c6cee919e7667b574e4abf085d:F0XNyVY7zVQWYs6X2NQafu4mRO9cxOMX	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:29:30	f5894ab0747565ffe5294295a325cf2d:JNAQ822Hx3SKUhOynuJ4VtawpZfobLus	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.213
2018-04-30 09:30:08	0c903af7d9119c56af921329c59ceb98:jfC7HmyK2q3hsnAyDSCOA3dMhTxPYcJe	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:30:47	bd1bca216ff838038bebe61f5472cc63:d4WWLVe0IFif81dKZgezkn1Z4nXPqq5p	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:31:27	285e73ca2d97013548f187467fefb181:S4fitOeNYNsALY0wbH9pQUjktdxge98Z	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:31:48	88e32f145eff0b01a4bcda751649ab4f:aB0fVVYp0j1GwWEvNQhAPIdn4NCvrOIp	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:32:04	84799a1e387a208f9393a5bb125a3fc7:UkKUhmAyDKdgMOZZLZoYTvEArEkvW48C	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:32:30	2517a80b54fd02e303f0d6918a2e2278:Mbzz7BjcLOvlO72SaJutoU03OpA1yJhO	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.207
2018-04-30 09:32:35	39ac76c35f118bbc01f373665be075c6:haeWe1QpiVYxYugJZsW8HDM3rqyjPUfr	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:32:43	8b4c21c9a6bfb72e7a58fc74386e196e:7BQ1JGMwRvdTSMIVostGbkyfZLVB2zSK	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:33:22	239d8b9f3c967ae80a636ca9992b667c:nU5vU6wA9QXcarXXg9eQgYZ3sOuuoAVp	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:33:34	85a765aa120d5ae49d656f10aa888bd5:uUtqWzyNLcNr7CY2VMBR2mCFAjphMvYZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:33:50	c0b76774c4bff9332e2b9f5b836e49a9:v57KwepSAyEGIetlCLoAmm6xXTge6Onm	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,福州山觀景秘徑	,;	223.140.134.147
2018-04-30 09:34:07	25f51f7577553510d9e79ea6e395d389:RpzB1tbl8l4BWwEI9LpfG46xEVdiUEko	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:34:32	ff064b80a38ba793279c0d450d80a073:EZEovSBXMh4XVmtTGPogrMpKFP7SoTPQ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:35:20	ea2c632b5d1b39b04ddbe90f72b527c9:ahFnolH0simHJFj20yaNnbl5URO8V6nE	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:36:20	68ed7e880a96999060a4329a42d71d0a:drMXEuIKuCGu87FKieoc0IrcQHbFyn7e	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-30 09:36:36	2888dcc42cfa1634ac138216d7b9e9b8:3kZIgmR6oresxJ5jiCyWTJKQJ9DhAZML	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,;	172.28.16.213
2018-04-30 09:37:17	2ffdee29391110eb7c9c31d1716e253f:aAIORATaJLnaX5ewP2jrCx6IFgTq44rm	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
