2018-04-22 00:35:43	4f4cf5c8cf0cf93cee159bb1238beb6d:TobZGTdThnVsfDObjbDTiqcx7kMGJJCV	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:36:18	85e869e39d553d85db6c05d85c8b74fc:MOUTxRV1zHSjVTtwBOW15W77cjvgJ0ei	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:36:55	2ae2ca943a1a7129bb91f12ba7ced526:M7Usiuhlkyn0Td7Twc5mJmtDOIigiB09	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:37:05	b3a67ff0bc2874cc9227209ca9bda6c0:puG4II0W1XurMHirHkmOoEpF0gO7tg9C	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:37:31	d8b6c603ab2b49b981da0b03030b7646:BnmbCjUxrpzahstr9EePnMumoMKLruIU	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:38:15	cd36809687801c2ea4805b08a0a018db:vJq5tlmNPUXtYFpUKYSdLHSEXDg0EfhP	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	58.115.133.176
2018-04-22 00:38:49	4dc7c2c56415efececbf500a02e89c75:26Lebh9s1vvVuUYZ9eSNoSRBUWkAP13a	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:39:12	c4ee734fd30472302f140926b6cce3f0:1kGOzHgl1leHdqcEKXLFVrOBcT2nLiv5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:39:18	1f1a0d13fb178de522cccff5193df089:wvWqZKnxqwVsEEcmhpTeUye4GZR0Res4	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:39:57	1228143130cf0db9711aebae4621b359:A6WQBMpRZxXRvaEDJJweiGgTlBTMPDSu	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:40:31	53dcb84627cfc7d65f784d24b5f1b120:QfTJMNRYXPziEON0ixLDLYqw7CGcsUYd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:41:41	3b5df5f195b7bcc4023ffe83a3bdf466:OcaAOaCK3S86yVF26ud047KXRYLu8oWy	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.122
2018-04-22 00:46:12	72183f7d549e4b3917f955d906fb9c14:v4feydf1145pGlmdtz6WyRPLYmUU4eUW	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	42.77.221.125
2018-04-22 00:47:54	13c9fc59d527fbfe76fffd47d3ebb463:k686ViUWacWAAyOTBSKdgWhk61l2pLSI	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:48:37	2fbf515f1307f9ff4b4fe71002b080ab:UgAoz7CAnsgfYdsmkEHisJhJmHkvNcZG	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:50:18	fb260924ada442a666428797b0245b0c:2dXlw2HQpYEbwm0cphDbbtT4EgK7tbji	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 00:50:49	d5fc22fcc029a827c47c11ccede6f007:iZMCnq8RT73xEyEwXMGcsDEadgm2YkMb	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
