2018-04-23 08:05:04	ddc799b0abcc9a7fd6958b509de70506:IxW3f5hTBjV3t5PQAKA5QUns4g0BAO0B	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.50.141.161
2018-04-23 08:05:08	d8c09dbc776c2b87238768d6b5babcf1:m3B5RhS28Uq1UxdOlgCWzFshVoqRb1YN	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.15.8.230
2018-04-23 08:05:11	5569f568d277b716edfa48a3027cd86b:zZDY7hIKPf0aFgWZ0SwSfLOosVwLA3J9	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.13.147.236
2018-04-23 08:05:29	7e47d5891af0397a43c811302d3affc7:tMsCSt4opwqquoRUB3BrBFupdgri4Zkj	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.197.181
2018-04-23 08:05:29	bec275acf758d8933dc0276b86781483:NmxV2HTm6nkKsXij3tzzOnoYjp6Ri282	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	27.247.225.161
2018-04-23 08:05:34	f88a47c2f7f3b281f7b93ade8a434319:zRF1wJo0i3s5DjoVioD4Tc5I71lqxApz	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	223.140.157.95
2018-04-23 08:05:34	1bd0abde44acd42f955a8aac4b17f115:sk44xW2ziJKM0BVMjeJbE28bPKFYeKUy	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.234
2018-04-23 08:05:38	30933eec4eba6b8c07012961503eb7d6:lrxALkm7uFOQQyT1iKpIRm6Vum7jEEJG	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.234
2018-04-23 08:05:54	38c66e81d469547d987031b59fa388ff:2yVYdJ4JNws66yCYCOSbAHYHQ4Kr18Ko	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	163.21.222.234
2018-04-23 08:05:56	8657148a21645f9d6b9d71e72b913fa2:sVlhBVcnNCO70FbB2VNRzgh6pQcqDzrz	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	180.217.201.33
2018-04-23 08:06:12	9389935d6a7edda6c5c35db61678d40a:sdVF5bXLLHtk6j3Z5dWkrjDjYM1hToMG	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.234
2018-04-23 08:06:18	db4e480b5cc24a3cb18e53f964d7fcae:qveuYf9Sd67KEWH1PPeBtNO4aOiPtX8S	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.91.166
2018-04-23 08:06:20	13aec9598e8d9868ff2d648f155d49a7:jOCTgwO6rymsPnQXdPNMDLOSWyTVxQcp	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-23 08:06:25	ce60c8b04c3d1605520754734bfb44e6:CBkMah8qQS6xnK6IRXNSuIzxtDTP9z63	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.91.152
2018-04-23 08:06:33	279fe63f8a29d578adb98f7b928c94bf:NVKM79TOx5VE9QcNvCzui9hMwBZWIFRr	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	101.13.147.236
2018-04-23 08:06:33	d1345dfdc051eaf6a5b3c30bb64a2cea:4rGk0EeCcj6wH0URKTX4Qg1gMtSATGRO	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	163.21.222.234
2018-04-23 08:06:43	59f938d7831f3332dc0d9ae406ad1c49:6QdYIy0xCAkpSPACVMbSUfMg7KL1egOV	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	101.14.16.221
2018-04-23 08:09:13	08f95775302e6214e56f0ed5d9d19c3c:E72oHXhDiF3Stitedz6soWrrSF1e81W2	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.26.69.56
2018-04-23 08:13:49	9f16d8cc4cdef568e1f4bfe500a3df1d:mOi25cSEV9xZQKfvwdhiRictx5GDSwwg	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.136.249.11
2018-04-23 08:18:02	d3f1ab96e016c3c60c5cd90af5ff4c3b:QuEfgngw2ZWN9DV0KE56EH4N74GEnkfR	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-23 08:18:13	31e30f96bb7c0a122940cfc0241f27a1:WLEF4QurlL7cTXSI2vf7X0vmzRqU872w	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	101.10.4.36
2018-04-23 08:20:26	46402d596cb06683aa519315d41d6b7d:HLIkcVeFOoRkVeIdJkjpyaNFK24HzeuL	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.203
2018-04-23 08:26:14	f5a6d2909a2419c8853d839a11005091:5vFgEhPtfz3Z97MFaWLP154LTK56E6ck	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.205
2018-04-23 08:27:30	fa54a82c8e2e6d586baa188c92940ea5:lYVEIx0JCrGI3aRT4KfmE0RTdK1UPybJ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.205
2018-04-23 08:28:57	e5115c0d2282e20423926bedd922ebc7:9Kn5O3r5LOr1n37RZqQywN45Q6yCT5eB	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.205
2018-04-23 08:44:35	403f2cb5a6153454ff55a8a3d60fdee3:309Vmni7brvLzJdK54pp4blZH9m868lr	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-23 08:51:31	e6d2915dd964d4dc5aafb54f603217e2:x7YoorQuYoJRh1iE9M9Jl1TF8JV7bqNx	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	117.19.115.91
2018-04-23 08:53:39	e8f4143c0a9f879cd3d283afa5844ce2:25OnHNQ5pZl45olVd6ibcwQnHw4467d4	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-23 08:58:59	a3c96c609d12e9d53a8a2193f66d7bf5:TbHuQ9HElUL2dDH4GBihsivMiFHIlRsf	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.48.170
2018-04-23 09:17:12	70971041732f3d5ea053b13165649516:oUi1CR5wRH4PrN7lQ3GGPVAFCFa3qgef	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-23 09:21:24	9ba610f77636896875d6848b38944c4e:EzPz7u7uxyClQa6LnAPXcqRBhPbkDYHm	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-23 09:26:10	7dd234908ebc94d17457c07b171cbd0b:qmuImrEvJNLQit6zwfkeb6zGGFrMo9XX	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
