2017-07-04 10:52:24	08c8f2fa97964b373900fe38d7605a80:Fi5hkp7BBAJwsgre1kyNOGDkb4bcvzB1	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:53:01	23caec64cd41759d2e85193294c0e49d:N5L885HDYug9abogLAZMsJRGQKZ3tOkk	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:53:58	dc212d9fbb5420c448ecae7b6e5d639c:p9dNgYuGvBNVW395A7uLNOzlu1gYyGi5	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,;	172.29.120.140
2017-07-04 10:54:15	775beed416990cf15771b71921fe55f7:CgNoJyXQdcytV1iYYkIY2Rcps2S4ZuLg	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	1.160.241.81
2017-07-04 10:55:39	e990b706db3fe39f1eabb0bacd5e93a7:MIWQ5pvdgPbLk6cDDfQ8coNUDX3eH9fC	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,;	172.29.120.140
2017-07-04 10:56:50	8f6745bba990324e8de1bf6adc1bc9f0:jI4ee5WYfIc6WJaNUnnFAn96eVzxGLiW	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:56:57	c46512d645261deaeb4aeae56877e0b5:lTz7tnYftZjR5t789wlr2m5QXxjlCGYO	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	1.160.241.81
2017-07-04 10:57:39	59304427d8e4b0b25aed743d01672c04:wo4WneT5xyozAnTwvBmjw8fqohIUe5TI	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:58:16	678455b7e39ef87f628cfbd4ccfc2148:WxhiB6I49qPRuDvTPALOiKjJjW1ysAiZ	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 10:59:13	c4afe30e22df6b24472de731ded2a64c:Cn39PMK5s3KkD0pS4bZ53tKtF64r6YpZ	Q1:提倡綠能香格里拉作伙來!,東大排新綠徑,象山心入口,象山好行,;	172.29.120.140
2017-07-04 11:00:02	d8d246b71cf241178006d25bb4b97c87:ify9D4b58J2qV9OWsTRhdNcMuZusnKGc	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	211.79.136.2
2017-07-04 11:00:23	e13f9f1f6c927c716d22eab7213e68ab:RPmQwmErtL4wFXcgA8tLPoleojVvoaP7	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 11:00:57	e18697e5c1a85cecc7c2ea17d0d5ecd6:MQ6IF4E8BBsS1wIAiQSOgSz02DUYtwgc	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 11:01:34	4ea1f07a769a37739641c8aeeeace365:CP1w4lioiiW3g125TDEyJA4Q6AAHVvBv	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 11:02:36	745698033e4db89e13bbbabdb2f00d50:x13kRotAfi169KVF3F5v9NL2eCQIkXvp	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 11:05:27	0f2a04e337267d5e1cc5c61e4a0a51bd:1x4tNSZ0wfokqAHRxhV7DnPXvhK8RE0d	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,;	172.29.121.69
2017-07-04 11:07:33	998d4e4c602d18098c0f761e848cd5a5:Vb2IMNb8bv7jgyd09dpob1h70ue5ilD4	Q1:信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	10.254.248.182
2017-07-04 11:08:02	429c2955f5799dceb508667a6fc0105d:1TyhmN6zK0Iz2laSTZlMoxDjWuIPZUvX	Q1:提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	172.29.120.140
2017-07-04 11:10:49	be9de47788799c6b73f9668bf10ab5ae:VmYNddNkSri5luJkwvZbgnipED56HLxi	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,象山好行,;	10.254.248.182
2017-07-04 11:13:29	15f394a594479afededde00eb69e6d67:LlWYKXa4UcYIVWjRys7f8BCEEYoVKLsy	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	10.254.248.182
