2018-04-26 08:51:57	fec23994e0434b17b20895c4f7c95b60:oXjZUENxFEVxwbU8eeaDn4Hmp4m1RqaR	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.140
2018-04-26 08:52:43	99831e282105ef72ffc3946a747ff37c:YoGxp4lAEaPr3oque79Fy9MWUT6EUVYo	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
2018-04-26 08:53:13	5235ddb96e95971f4c5c76c5d999e537:RWZ80RIEk8RaJ00ueGgX6ybuv0yycSYE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.140
2018-04-26 08:55:13	2e85212ba8b18439dcd31f36d0964a55:IRLtNF0OviwHYKLkN4OfVY1yIa5RsQnV	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	1.167.48.41
2018-04-26 08:55:18	11a9592ae2223b9143f6c9307cac26a2:lORY4cRcbiU1Tbq4qieGnfik7JDLQSMs	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.140
2018-04-26 08:56:12	7d23259ad4f233de9042f6f570dbc82a:RHZlsbTJ5G92CppMlnWUdDzWU2h68ZH6	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.128.10
2018-04-26 08:56:40	72bb7396f6bb1a3a3262e1d07b224e06:T0R8s6MHsidHJquVTrjIyDYUEQeabgRS	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.140
2018-04-26 08:56:44	1c581a35ca38f5247469263a37cc5b7e:MXoNRadSCAhHUN6oyQqqtmIUI9Ame7Xn	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	103.31.196.193
2018-04-26 08:59:08	ab197c7bc83213531a7f7ab9cea5b990:QHajuPsnwYMKpK8hCq5HxTAFllRDxVzj	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.3.85
2018-04-26 08:59:20	02c644a4f85fbf438d735b28658a876c:UQP0C1DwtvVVInjEVaodwYAaNXf6rNLO	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:00:30	16712a702350c58051a8aa532c26e44b:X1VR5tT5qPVMullnnMg5WaJGI9DFc1nc	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:00:55	6dd2f308306b4dd68db2730402e4d8f5:jftxw9bhAprAJeyik12ebv67PLz5nHx6	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	111.250.236.236
2018-04-26 09:02:11	718d75ebe078a229433c3fbbc9f45e0c:pJQo1IG9scWaQFIrD7DQ8KVaUOwZOJ9M	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:02:57	8953f9f2025f0eb69df1726afc21ed2d:HTjEcYB2Ci9KxIzy9YYDJSGCxlyZznIN	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.143
2018-04-26 09:03:08	6b3f3291fc3f4f34e9cdd618ea961c2c:q8CK8NS6aIGUNopIrk1tpILpxLUai7gs	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.3.85
2018-04-26 09:03:18	f5399141723cc3ced31eaf31e0af10de:Sr4ENiGBkzxFsAFImv1KQia0daPbR8Un	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
