2018-04-25 10:59:39	4977068d68fe98227f09d770b2167e8e:Asxonun3Vg0cbRxmjNaabLUUWDb4oRgJ	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-25 11:05:49	449d2e213706e384ecc11e627ce7ce03:m6pJ0vxPc3AzS5qiSrtuP5h47IQK9tKM	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:07:00	ede6c4fed9bbb8384e92b33f8a1bb89a:6LGLohtc8eVo06MzQwESr2x5aQWtLUy5	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:07:57	3a47693beada5ec2e2254201c6bda743:K9Tg4vsBTruTP5h95uU9bFgVlXuw9CKk	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:08:55	281fb3f9888bb7d68261c8c7d5cecfdf:qQF87aFMeVlahJRH60lbusUdUVilPUxS	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-25 11:09:00	7d69fe6156dc6ce69c4c0bcc8695ce30:HIi3lsiXeomq0N9dC416KP4nwR8QJnjn	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:09:43	6a684fbbc41b0f8c352b5c3779a31c93:LVWHpDyBMh0sXW9vLFfsX91RiUFiGAN4	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-25 11:09:56	42dc1db56a2b6302e15b5fb27542cd99:UsB6XRk0Vdk86udko4rMeXNN4AaaPEDK	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:10:47	30a61e2934d04bf0e70387a0eabb9756:noJ6y17EcUXemnUVSWzVoMevsmompNYX	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:11:36	50e1217691c482523e1d1e0dcbb5264f:m7sxYOe5kBAlyvO8KgDw7mlc5Vfqdq2T	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-25 11:11:40	f7c0b0605f847fc959be11315ef83fff:uQUIfPHhcd7OyZELlOMDENAf92pmFFne	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:12:21	d6a8f1e1d32a22611f0f2259d8c6f159:Xw4ag949afmHtMUKou5N7CsbFlSdTGdW	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-25 11:12:30	8dfc354efd2919f6562cdc6d7fa2b2f7:MzItrhCAGmS8X545JmZYbRQQ7I6zpual	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:13:08	2ad5692d493ee7a9de80979289e22bc9:R2IqnAzZI182we6LxrOJ7j0ULMISENwf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-25 11:13:20	d5eba938f0a48325275b0e354876d9bf:sJDOoO0eKrySwfy0koewnM41syMSRIVE	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:13:59	d73cfe8663ce53be68bff02f9d93763a:SeOewDznLkKC09XOUeqt5DHlyOr10XRc	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-25 11:14:02	6ec0a9cf7154aeb9d0347b1400b7640b:wJpYxuHnSAwxBKbqArM6vcnyhCWUPvNH	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-25 11:14:13	4eb39e39a0dd09a87a95cf56c9c4c73b:XxtV8wOT9XSCwdyB6P9hsrhv1e0qQX0R	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
2018-04-25 11:14:59	afc5a6114f9b3b561613e21628a5de46:EHucVbeYBwdhtrvOEmmAUPwZ91RWqfG0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-25 11:15:10	2b8653e1cc40d6830c817261f6bee341:pxPxyGRTe7RlSONAiyP4iRScJuV9KNX0	Q1:軍人公墓景觀活化,南港區公用WIFI增設	,;	172.28.48.192
