2018-04-21 10:15:26	10cd7e6b84d42508293f816a44ec94a1:DZUPLkaSXMyON3G7VjE8SGlgIOf7r05C	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	223.140.110.103
2018-04-21 10:50:23	288998251c3595aaba45826be0036a62:92qvzg3Ln4iuTZPGaeEpTSXYGgoRdDil	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	114.136.20.10
2018-04-21 11:02:48	cd44ff7277deeda5724a922c66ad2c09:TzkovGDEiuBkNYWynbxJC8Uxte71GLhI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	1.162.216.183
2018-04-21 11:10:36	37a8c749c1382924dacc3cc09dac6539:Q0n3MU5HmlpLarGEOngyvt6gAkU8kKlI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	180.177.115.204
2018-04-21 11:28:13	fa6e175ca5e858760bbaf52bc011929d:2krZhAsYCVRZpghlz74apvgLh0Xo1Aec	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	49.214.194.148
2018-04-21 11:33:23	f084fa9adf79d85417e26ade6c185b33:lzejko1BFDIwFVkzTAz25hixPUcUqR5Y	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	172.29.144.204
2018-04-21 11:33:59	7640322e4eb0f80fd9721efa476a4384:WICcNuXnk2PED7MhimLp2skQwBTQWGxa	Q1:閃亮文山．越夜越美麗	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	36.225.147.223
2018-04-21 11:40:24	3682f71890ac6494bb1a35decbe49e5c:gi1cYjRyyFvAKT9CQhmKnzykJXjKeUhs	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 11:42:14	2c786696dc29639dd55e33c114225336:NfxFg8xQDOo0M0hDXeA9TWxRVPQPM60K	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 11:44:04	fea99da47b7e0e62cf4a93c2aafc72a0:fMZkSPFjntMoPnRLq4Ro8zVuRijzH5Lh	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 11:47:30	7749ce58fe4c9e91ce2f9c75bed755c4:5BBehhJYUjmryS3elE3mpCSLFCFY3QeL	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 11:49:15	5572c26dbb3f9a41dc320510dc02c8da:Lm2oEPPOcqEzxA2kDR1JHMt6cA4TXlw2	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 11:51:34	8c502d61bd78781860ccb872c3992dab:SUhMKAC5QvxHQEFdfrqVcBQ9WQA3ppSS	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.28.16.202
2018-04-21 11:51:41	101ad94311ebbf36c1f7981cd00898ca:Dp0JRQ5IpKbDWWfddvmNREq5hnmIou4J	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 11:55:54	be36899b8547a3b5645edea6dbf0ffd5:fUIPRKq7LJVr2bfBnghw1k9ckJRNg9dI	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:03:22	94424f7d20f664c77fe136ef0958ed63:M2YYr3cdHY6ROHXP82vWsWtRz19xQR4d	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:06:41	103b82ce1ba926a9fe6c722d085081be:tHG8CSA39pI2QbDf4272jO7c8a0SOPh1	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	114.137.116.215
2018-04-21 12:07:43	f544c252cb6b7ca4ecd3384729f550ac:8hTQRJGBRTALbqwk0AOS3nX3JfkFbocP	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:09:46	e4a38c217d45f972d751a78c69d770ab:ovNif1IaxKZ8fYhXPh49GGdx1gHjunBt	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:11:24	e01ceec4a7d9759cef1c7bd02ddac22b:hyHHMU9aUaIbbemasfspb41gNgNFXTbk	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:12:38	1cfd8e191384356236c169325e2a6ea4:MlVCCCVTuqeNNHgLy7GFBStXTh0WfFdI	Q1:閃亮文山．越夜越美麗	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:12:58	d26bfb7868475c7ed766605d32ea3ffa:W5AqtkU0mBoR4h7FmfBAHbCOPnG828GW	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	123.194.76.162
2018-04-21 12:15:26	7cf38bd5e9786c41f48293d7432625bc:qniTjx82cYqNQL1Te3UjthGaHQocxcUr	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:16:53	236954cb5ee395968229c3009006c813:gfw0n6vD7XLY0qesJ6Dvi9HFgAOgH4bf	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:19:00	7e1ca4e4af31ebebf0f7f6dcd969d7c0:kgaAnPQrgLAh4LucZQIbl7OOx3OhtdZy	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:19:39	58a58ebd5a36041c28851302f852a624:AWRYPKqp2Ns2C4Vn7bEd8bFFXIriaR2i	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	111.83.166.16
2018-04-21 12:21:04	7f68e93d48c89f51194d7405e497e629:U7eG17f2Or7t13dIcBW7ij5tZg26RBjJ	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
