2018-04-18 09:49:59	bcca2e0bffe62e27e74d5ecd2970a064:NGVSOLRol1zmTnoAi0ry7r5spB3aP4AU	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:51:22	68e65ce2e08db4b96d6e67573055abf1:zRd7bDoYOc9Z4esxsPQ98vLfy8EaXsof	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:52:01	76d728536fbd54688f136905eb5bb1fd:bvfB6PVIcxu1d9jMG9hyCwCvPUAtvKFH	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:52:53	5e7dd673e20f09429d217cafc1b6c542:BWj0uh732TNjaVL8nrLT7eEZQ8i1ossz	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	101.14.49.146
2018-04-18 09:53:13	920e8c078f16053710a669290b7268ed:7XM9cth4e5axPlZZUtCqmCquyavRmH5G	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:54:05	8756ac7120f4bcc432308d9d953dd16f:jY96BHCFhZB0LP35Yv4wXC6uSZPAwcMq	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:54:15	44f05cc6d5662b4e4d6b5781825561b1:vxuf5t4859LIIdl1xEOZAhkDucUZhxUh	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.185
2018-04-18 09:55:04	b3caab5f8cd43d8290ed2d7a0984496f:PFTnoTygeEgi4CP9sbErAUUAGGrwH61I	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:56:19	32c71e4cf6817a3ee1d1c246a44f08ec:FIEhI7H3ft4ePSf1NUhSTYDg1tBpUGgD	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:57:54	5e5aaa7bbe6807ab693acb6aa649fff3:5PouRRVnuxRqmCqenAXjweus4zHCMTi1	Q1:唭哩岸打石文化,;	101.8.217.101
2018-04-18 09:58:30	51c79414de5e61b83b9196862be07dc6:0JssOSDXpXASVD7xFxnAAGYXnDT1b9SM	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:59:05	7a0a98f8bf83bb5fa623c99fd5902c04:BH58LghqdgCjdju1A7EzrMo5GBnZyGSh	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.187
2018-04-18 09:59:18	392d18e6865bb2ce30287540d92cc438:WilWsDF7qp4rlJbI1ivQHgBissdcui73	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 09:59:57	749a4a9a76f2f3f6cdac8a95574be16e:irNjob3gvIDEItY7Xvost8qCQ1Gef2xE	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	111.241.219.125
2018-04-18 10:00:02	965a59a0b8d115e16834f48092fd8638:SI4sLQ8Q8HSQ1dq0KSCF8DXVI57DVGU0	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 10:01:13	a1bc1117e7024a18eb41a94779b1f8dd:37fTcq7T3WXPE0jmVgzgtHAkGnVYYoRK	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 10:01:43	2c29eac9295976d048b499b70a2df2d9:wbYfUlymzFpwXPwRVYxo2B5v05AMJknA	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 10:03:21	d863d598974153a5969278d19b3ed47d:wWaeH4IVcEzBbUGOuFyCcODnr7lbjWkh	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 10:03:33	8a246dcbb564cded2015dac1fb9e025c:AJ9aWcNoBFZ9yjaRBpAuNYIIDj7hmBo3	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 10:05:09	1f92360a7cb384cddf5ff7bcf798451a:1ZnaMAwBGJ21fxvKbQsWHWsmmdJaSzIt	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 10:05:20	dd6154cb1ba27095fbdc1b18cb2ac3d8:g6gGucf5mvy7afTnu3D3Es7kFtJqpXqm	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 10:06:36	7a6b54b5956cdc0ee122fd163d7aeb1d:KdfIIt17AoK4VzYvFdvYfydWarGvETyb	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
2018-04-18 10:06:47	4dc0b817f7e96b412381353866bf0026:Jc5xk2bHj9fIaegZDetCb3ad20dyjUwJ	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	114.136.41.114
