2018-04-28 13:18:40	590d4c42d73617ef94068c2693820617:opcNBmkLKyfim6vK5eTc8iZAPZyOvmjJ	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:19:32	a6c13b29dc40992e44f5d78ddf59841c:XgcITfsCSMRrdt19PzeiX8wMpLa4ic97	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:20:25	5b241221bed0eee1c08491e91092ca63:MvyTLEEpx1OdJFNH15vVsyQL44xylsyU	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:24:57	07fe4063025279da1acc978b8b6a57a5:ZoZVcXSVXAn8OnuqRQU9k7BChz78Z5OG	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:28:07	b8a7c4dd4c4a3d16029929597a6294a6:8v0AGeMZAIFlJht3yPkh51vExvlqhIyJ	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:28:57	1bc414e9e6a3f0213b163b76fe7ff7f4:zACYB1DIj1WmFZx5xjrUsDBLzpL4bzAg	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:29:35	60bb8aa4d0bebc351937683dcbd1aea7:PXv2eKmbvESNtg52kmcNyEMmLCsd9WCP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:30:11	1718f884795cc8cc623d2efe2ce00dcd:sJ80y0EF5GBoFk6fYJJiHEA6xxAeanXj	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:30:50	9fe6b2fa76b0fabd4cdfc17ac651d6ac:k8oJNvtiQGA9KYCFED8jDj0gyhqgaz05	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:31:35	bd67d58df91bfb25b510304a200c5ed5:CKjHxVRnjwhaABM3E1xEgRKtDMFi5x3k	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 13:32:35	c4a8c604f9d6f3046917041cda10b8fd:vCBkRkq1BSnuCRpJu6blr5yYwxMNZOri	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
