2018-04-25 11:03:50	14ebf47bc0f6cfd4b4d99dc8e013de5b:hxanUImyIgJ09fvypIIc1QkxDHmsCK36	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 11:09:50	27210217a6193ba191b61a3e0483e9cc:KfA4xipPuyRAxZTfRdUAHHcvyXEkI5GR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	27.246.168.220
2018-04-25 11:20:04	4514ab2de252b4ca310412984527e696:mmTUjNOzHgO0KmRg6wossLbJAkeRRk7k	Q1:信義後花園-松隆映像	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-25 11:21:43	8ba92c57189f0f7a9e291e09f9a29760:avOTwNZztRU9L8UktAS2OQbxdBZZr2YY	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 11:24:56	6c23da4398ce9d866ba41bbb92a7398b:k3lyi3ewtQuluO3Hj76tQ4zlLSyxQdpt	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	110.26.33.168
2018-04-25 11:37:31	164e64803fc90ce4a8ba03a6f7add98c:7u8XHNOrgxYw2srxGmHVmxOTeWbuf8rV	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.120.140
2018-04-25 11:37:56	161d5c5f3c9e386c857d2f37520e7662:MaRiky8yrj5V5h421s27BoMBJYRvp3id	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,;	219.68.108.67
2018-04-25 11:38:23	ea57027080774056fe7e32d1824358fa:sSRtGFLLQgajsuZuHryVlvZkQZlPzGs0	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	106.105.178.44
2018-04-25 11:40:59	3a4110eeb94ab6ecd2732db610b36828:vmyoCUmAUvsKXYbBl7np35v0TSfVYKa3	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.35.253
2018-04-25 12:16:44	a13a7ab8f6cf709d4b5969d1e3cca7d8:R7tfVF1PP2A4V6LwCNOHXODvjmHITm3M	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	118.163.153.36
2018-04-25 12:22:28	aae01c4c58a2250814bae6347abfa60a:Sf3SYl2fh50lYkK10vNKy2lXzH1uLdim	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	223.137.158.87
2018-04-25 12:27:40	3ee465c04c8b0c32d1ba4dbfb3a4d51d:Uwal2xCz0PQbTcThiiqLBkDIdgBjEMJk	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,樂活後山埤一號計畫	,;	101.14.66.224
2018-04-25 12:50:21	2b8e4592e973c8516a71cfac8701699f:9LbyugAQEOoceRUktPpZfdEnLAce9km3	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	175.98.158.254
2018-04-25 12:54:28	54fc27b68b037f87655358264c07df20:IupmG0XAjwGipT0YIiEzWOZZVLlaXP6n	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	36.226.10.176
2018-04-25 12:57:37	5d9ef8e569bc883a8ad14df856cf8e39:U1VjAjNQnCi9UaPLkeyRZJdgjVhbf83A	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	114.136.124.179
2018-04-25 13:05:56	c7936d45a7756dc71e6ae9727f5773c7:h2Pc6KBDlt7cxqMdDTiKAYRUbhvuAg26	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,閃亮永春-商圈重生	,;	101.15.218.28
2018-04-25 13:27:33	b769c0aba29cf79823d9d24f13a14dee:FG7w9Qb4HOWyB6gKKSCogpoZ1FDPTRdU	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	150.116.232.50
2018-04-25 13:36:41	3e0eaccc936457aac9456cf8708916e8:jZZoJYHLiGY6EvCpqhG0HbBzVOo1sM4Y	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-25 13:40:31	4d842aaf428556df1e4a811a5ba326d2:clD7e2nyv5dw1JLQDz6vN9F3tn0ZvwoE	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	223.137.78.235
2018-04-25 13:40:36	1bb2e5e079a1fd6a0e8fd8acfd5b028f:51zCCkHdNfDMwXQDCeA59nmBSFlEjTMz	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	180.217.153.69
2018-04-25 13:40:39	5c0cda6a84c5d55e2c6644597f179a58:dOsDmR0PwyYoqgq9syH8QeIwcsRzmKIG	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	180.217.159.34
2018-04-25 13:40:47	3905c4e57e7542a362380f086947b192:jdIJGJ8LRyMMAkZtTRUUs34eYbSQX8ib	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	180.204.11.119
2018-04-25 13:40:49	ab354a9cc5677872574dc23edb3e86bd:MO9txuvcFxpGK8pHQ6070r41YEEv9bOB	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.217.180.75
2018-04-25 13:40:50	85d57372972fb96608e617341ae79041:P07QUIOK73ggg0cEv27fDa6QOBTY1F1W	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	49.219.151.64
2018-04-25 13:40:51	95a74c00e333623490afc8eb5392d6da:v8sfxUDjoMcsn0LTf1qqaEBoYSpOoqXa	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	39.10.226.19
2018-04-25 13:40:51	0fc0fcf6853f670ede842d1afa4c1b85:Te176Otzd75bTXMcDdWX2WMfrEfifycm	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	110.26.235.151
2018-04-25 13:40:54	32cfc4aa6a8706e1792b7a8ee693b72d:Z8QO9Q0jwQYuDQZBwzbhnvaRCwX5S0Ol	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	39.12.130.5
