2018-04-27 09:33:40	b5e1ad27f78cc4d3613fb886d0dc2a25:qc8wv1K4R7N1rZ4jcBJLVGm3YfMfryhC	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-27 09:38:49	bfe86a20154728c41bd9616c23b5b437:ulC0sPmu8xJaFIfpC8CGCGqiruXd5ElF	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	10.254.248.207
2018-04-27 09:39:00	ab3188823ddd179a15d374f386b047c6:qRzcMXGQp2PGKfc4fUSic4BCFXdsFJ0j	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-27 09:39:31	c387a90c65556664bebc4d31255297ac:IILjld4pRGvIo9U1KdsvqDJjsvhSOg1p	Q1:呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,;	10.254.248.164
2018-04-27 09:40:37	de9391c415f1cd4eacd7ddb2c7972573:jbwXnAn3Fi1v6DjfdS9phnVQIFZfx5wy	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-27 09:41:59	8c2b10909a7da6ba31fd5a9be3a19881:pWoSWOs3BLhS77zJ9Xn2F2sSkdkyXejE	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.204
2018-04-27 09:42:42	853c97f5d2d30e833e427a50198ed774:e2sGaslWh9YG21t898u0O81LtOdWQUio	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	172.29.147.132
2018-04-27 09:42:49	11b44dd3069805d93713b861e7fa44ab:dLcmsdUsMoESKupIGvKfUowPyhPBA8mM	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	10.254.248.207
2018-04-27 09:43:06	87ab0d703366b4506bc06db1dd7bc640:HMAiGcjyWj5Ro3P5U38PMe2GlyTvJKu9	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.144.207
2018-04-27 09:44:19	294f12a09a501f6484c05f66518cea9c:IUnoqbxKwwNWX5UcoDkYppUvzBAFqcp9	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.164
