2018-04-25 08:02:10	514b013184e713ec1ef0bb3a0b64ba4e:qakTgAJLPZtNZrTtu5ajHpQ7J1wxupwq	Q1:人化交通，樂活中正	,住好住滿	,;	223.140.104.30
2018-04-25 08:09:27	8148b0c73f0b664de1d9fe5d9fec1570:EVpJtqljiwfQ7DTQYVjJen44jNYA7TKe	Q1:人化交通，樂活中正	,住好住滿	,;	223.140.104.30
2018-04-25 08:13:12	99b23b73db44f281ad55338590074ba0:blZ62fj6PC2nwwRgOokzaaY6l0tomMg9	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-25 08:18:22	f83d5d0003a7e021d608041e600ce0cb:SZdXM3213kqgFlgrw39ESMOwxsE7XQLD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	223.137.197.231
2018-04-25 08:24:07	82805ebbe9fb2c4735988fb9ddedf740:63VmeXiconh4mhU84u1ZzruKYgGasUrw	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-25 08:54:47	f7f3fac7814a8a3115cb9a40012eaa37:VAlDQp1l8Acnb7RDDBjdooudnOfqre4G	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	163.20.19.99
2018-04-25 08:56:30	8ddeb48d9043ebc5df731bd71740075b:iKLzOV2oYrHZPT4Aql8IXd3kVqw3iGa3	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-25 08:57:41	2694ee746c14694ae37a102896b63d75:lkG4BvJQBRxYLOn0XUSUnUo4diZj46th	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-25 09:03:16	b2eb03d5aef37f7b46bab330630b3c6a:njeFjDMAPQL2sduJXhiJGMXfAIm5BCVM	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-25 09:06:54	e2e57ea82be70c374b2f4a1d447af0a8:DvyeHBLeTHKz6LIcvLeDGGMJfLALLFAR	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-25 09:11:07	27fa999583982b4319675ecb9eaad4a1:hu7APmMUjEGcA5nJtBrlk6UoZEL5WYIM	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-25 09:14:55	ad67bbabf2b96be993460700b1ec01e1:jvPafId1JBaQvab9cBAPlgQ0tZekNMvL	Q1:人化交通，樂活中正	,住好住滿	,;	223.136.233.141
2018-04-25 09:16:46	56e73a139f469b9b40608b67c43be904:286CI88u7Ai78epaNumin8oOzgFB03Yh	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.136.233.141
2018-04-25 09:20:43	7d5888d2b729c04bd100052a383664f4:zG5tXY1orBSW2VnpXWfkLAtzNIUQZsPQ	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-25 09:21:50	cc8d3236caa295889ba97d68c13bc1a8:mVqqsuNvLCIqJOFwInB8ZhH7HGM3got5	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	223.136.233.141
2018-04-25 09:22:07	918556aa3e563e484f892705d1ddd263:kaeqT68trCPRrnAfUhgiLSlreZfbAMto	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
2018-04-25 09:23:04	dd2c912d48f3929bee25df96b03d8751:OjNF2vlZTyI8Lncv76sNFQTuqY8EQIc5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	223.136.233.141
2018-04-25 09:23:17	b0ce0b4f69ebdf690eb3141ef8a35c2c:ceyRPszxyuv1FabipogmR6EdrbVMineA	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	114.136.120.88
2018-04-25 09:23:44	a4f3871b8a96ae947da69fdd15fc7a26:0nYjSlxAYXHsVpdTyABbekMM7jSi23M6	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.203
2018-04-25 09:24:15	b2b7883e8be6645f8d836825fe2f5001:xEOqkYfmXltBbg9M9rzHkQs2CT8jFJ49	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.60
