2018-04-27 10:41:29	2a27eb4b52c14b47d2ac159bcf51e767:yc3hFvP5pRgjcHnJAASGqzlj1Kgqk1go	Q1:唭哩岸打石文化,;	172.28.65.164
2018-04-27 10:41:36	0d65cb258bea672c06fa0df36eb1f5d3:xUNDyowR6mNn29bmO8F5lFgh8EW3YA0U	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:41:39	3fa9fdd9c5c81bf7557db0ddcf3d6b3e:7OPQnCOOQjVl0oTXXnQW1C5fqxiE86Dz	Q1:北投區環境資訊2.0	,;	223.136.143.66
2018-04-27 10:42:09	2b141db1b2b85c9a5e4d83925b75769b:rLMMpTU1JThS9ZhqOHjkV48EW2fefkQh	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.172
2018-04-27 10:42:27	a659dfd8d49054b37bab68939c9e5e41:nmMXTUEiOOS8obQsM7eOFQqVFBVtzKEp	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:42:49	35c86ea210f5419057fc40dcc5cfc4b3:DMGauH7zTcwTgfLirWCczFh4rtgSH6xh	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.143.66
2018-04-27 10:42:53	d71f3e8e0ffcc3504fc2aabafbcaf96c:NkK4eLiPyDSAuTBfKZmKlvpLwC5cldDh	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:43:03	bcd5ed27b1be7366be163139b29c8c61:ZHq3kkii99qG5OZIuQ52spOeti8A4PJq	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:43:46	7f1ce5f2e6d61b68a1c98d92fa7467ca:PzXtIOC4aKQtqVQHLecsPOOpJcY0UHhz	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:43:46	e1475acda1befb66ced4caff5e50e52c:iz9YG8msnWdKM29N5cEg7flbaeafAoFt	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.172
2018-04-27 10:44:19	42da4c0457ea0ed6491ef7fa7da37895:tk0idzQAB8J8bXpRHgPw7RCvnyoItDqp	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.143.66
2018-04-27 10:44:42	08910f76859e0d88ceebe9911ce7d5fe:5oAxQzvZ5aCsyw5QyVLsY449oEoBz0vF	Q1:唭哩岸打石文化,;	223.136.143.66
2018-04-27 10:46:18	7c55a588dd4e9eb71a09cadb89b5a696:YovRICB48Sp4g7Qr1378n6yaoOjuTEkH	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:46:52	37500c1e46b7e0ee951914486523b507:rnJTIJjmhfb9rpsIfL90NyOfWEy9j3lh	Q1:北投區環境資訊2.0	,;	223.136.143.66
2018-04-27 10:46:54	020c99f4c5e59739ad36c6a48b0fb3a9:1wJfzzxIcLtXbZAawq5QWkho5t4AGEH7	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.172
2018-04-27 10:47:01	44fefef93c657854380780aecad7921d:Ii9yVgnsNVPIEwxS3xbcMxfFnZ3c2RHH	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:47:03	9c1469fbe48d5a3dc3fa2d951ab09c31:5zN2f4OLKS7YrGBkRtyiBre5NZFD36ey	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	223.136.143.66
2018-04-27 10:47:21	904aa083c1c9ee0e892570796d09c48b:Va0RE9rQbm3nkx89oLXqT6ec4i78mWJj	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:48:02	98f319d603eeb61a10fa659abee13142:SuT7CwhufJlJGZj5NxQGaUrhDn8UJ3tN	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:48:03	d66eb58b51701af5b4bcc0d2b4079e77:tlXrWNXhAYYfAE7NS7FXR0rg5GSTgW9T	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:48:10	86973fbea532ccb7ded76aecb06a04db:a1FBEmnHYZy47ajL3sd7ti0JBKsWW7jr	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:48:41	784d4ee9038b2b60701dd543df8f98f4:rXWF6rNRmEG2uos0MI3qSvereCrrfeGK	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:48:45	e549351ae1deaf62b09ff7f34c6dcb4c:XBEoDla2pT5t3vhXU4Iwy4PPGQo1QhL1	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:49:06	71ecc98a00434cd46a94cfbdf7e9bbfe:idWK1rAc51CYftFOSJZqXHcp9LBr5tAw	Q1:唭哩岸打石文化,;	223.136.143.66
2018-04-27 10:49:07	78b0872406862117259f3575931b3e94:pmE4WNcl70LvASTuwp3hRdoFRQzmM8aX	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.164
2018-04-27 10:49:28	7c4358f627574c8627f98a35aed5fc86:ZmFYfl0AyzEDyWS38VTc4quEaNwwzBLN	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:49:55	61dce0dcdf9a55f3ef769a8a7567cbeb:egE8AkcvTvqq2CcRgacaDJuAYCpg7MJB	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:49:56	d0abcf24a33db95e3359c01ea5eba074:8oUOKTsB5vidFOkkNlqj6PplLz56p8Y1	Q1:北投區環境資訊2.0	,;	223.137.201.81
2018-04-27 10:50:05	67d43870e105d31cd954f706158f4a1d:gbgTJUwaRijpNhRWDJB4PzRaZ9HNSKHG	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.169
2018-04-27 10:50:35	2f6b723bd94510c1280197fab4088866:ebAlqsW1xNykEysJZrgQhJaVE805ta2C	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:51:11	8927637ab34598245fc8fcd3fd9598f6:yEIK9wpGMY0q8FtppClbDNNKc9fuWEir	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:51:20	234565454a5b1ba586f2f13a8306a215:4agEK4CRkmkcpTLjbnMpZF6bxHBjmxLa	Q1:唭哩岸打石文化,;	111.71.106.143
2018-04-27 10:51:36	76dd785e761135698795cdd472ff95c0:cn4WPTnTSHqElg9tl7fl1XqDXk8wujfj	Q1:北投區環境資訊2.0	,;	223.137.201.81
2018-04-27 10:51:47	462466acc6bfccc65374a49b7502c132:MMnDD4lVCJZANLGWS89BKJR94jk7vvgl	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
2018-04-27 10:52:21	626601a6ff61dd698d313bc26edb5196:0yV8pGhO6WIblbhaNhgP8j2TJ09ccdQa	Q1:唭哩岸打石文化,北投區環境資訊2.0	,;	172.28.65.166
