2018-04-20 03:32:20	ab65535251415562737dc5e892cd4b65:yi8CJpSWYPuMwqk4VPcLz2TyAGPmLhAO	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:32:30	b02297c31e1616889536c272dd0623ed:QKoql2nnSA6TahemDn1LN1kzVWdJyVcY	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:32:37	1f260fb8ccb28fbf02f3b4265c790e06:6z9h4nbGiVzcFzwizFzB1gXaPBTNYEPK	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:32:53	457c5ee2c8ee6fb05c0ca5a02b13ddcb:oZEs5rcFmX0NyGVQDyQW2QVltuCxyDd5	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:33:08	03c49d407097f8da62c23dceff7e6250:hzgjvg0BFYHr7fex3huV3NnccQvtTNpk	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:33:30	81abd218e6d8213ae1b48abac2452def:vMnvXxaiy6UmbriumBmuhuNhsBL7nljG	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:33:38	b7968477830419cc83df84828455feb0:fppsPujaoJ3dMm8YHDhfxBSsUKWZAxkD	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:34:07	9051877310231fcab9e6a1bd2c2829ee:iTZbgcRyVf3hcvvgr81dyio7B65Ojh8c	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:34:41	6010a6c18175b0d9aa854a2485a41428:o8XTah7hbE5rJ88Xc45R20UHGofhLAuT	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-20 03:34:49	9d19b3d4152b2c365fc48f89ecde4a08:otPLCp2hZ843jLNqJOyLpkH7NWZTfLw0	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
