2018-04-27 00:30:14	541bf273d8304193d227fccb561c4891:V5E9UWLIS1OvLXdqTeAkmR8PHoMoA4zX	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:30:37	a31b2541d8d40c53a19a93cbc52b9fdb:bKuFN4TKxszpUPCIXXhcqeYZ1fDHmA8C	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:31:06	799912f203c6d8adda3742a573843987:0HZcugMRQgdnZy73FkVBlugm7dSK7PPk	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:31:07	d9b9dce04483d23df1b5ad85189be02a:DZv6ROFHhBisLFILGgyptPr09At2d4zE	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	220.129.48.25
2018-04-27 00:31:10	f85977ffbd715bb4534a69a2b1840af4:CFIjFBKX0AMtQKDKxul1VMUQmHz9ywK8	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	114.137.87.104
2018-04-27 00:31:41	00d8d6ac0f16c74fdef402144eb280dc:jJZEmIEw5q0ngu5axsIKlWQArqVuYcmc	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	115.43.149.128
2018-04-27 00:32:11	b3da2e2ab08750cde88a3babdb038f76:fuDG4WABu9DosCnqHhUjmA2lw5M8fdJo	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
2018-04-27 00:32:23	44d11e249913262e4d3c9bf39af78628:MpJ1ztAGstL7RHHstDDz4FGgZwLwowam	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	49.217.246.178
2018-04-27 00:32:32	3ce27ce92edca0d7dfca6a8dfe580ebf:2cU0rhd6zXat6TOhrr6lyJv6AIYpxHLy	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	220.129.48.25
2018-04-27 00:32:48	a832883b5d26e859486833e020f20c3e:nZgMyAVABufzGE57LnLIeApKTKacfyUZ	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	115.43.139.70
