2018-04-21 05:12:02	8c4679d61830c4cc1df759c31328a12e:vPwDXVaXJ7dWhAkdGquVkyL4awURoc3I	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:12:09	08e96e26e9f1404150d5fb88f6bebe03:LM2oYjl0QCTzJl6VCpDZuTNOmT9Y6t9b	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:12:16	4443be285d474621e85a4dcd23f1f782:xKHAIpV9rAEHn28cW1lGR5GSqGzHehRO	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:12:24	297596c33f187d8c385d34c50f78f3ef:BpsGZ6AvQPSYGnrnhffD1ZKBdEHO3FuI	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:12:40	6950fc72a5084634f726817d01b822a3:rOmHGbSbeqMWiTNq16cX2vVKTd42Hgls	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:16:38	7ea7f117c847affd9fbf8e2388788fc2:B00tFjOQBUZMVfHMoiC86kaynBVSQ6cM	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:16:51	d7e503f3979f09b7dc36bfae4dda332f:ejad4Jzsz33wqMWdhWly8FWGpZNm5Mr1	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:17:09	826ede039b5cfab51c746b66e272c03c:UJPvl6cXE6yIUmFD649dWJwkOxLIH9yB	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:17:52	b692dc320ddb3fe98ea1194bf9e441e6:nOSH6PzTozUi3jEUI23Tp6TDYqSVqfAO	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
2018-04-21 05:18:10	8b9c96cc465086ee4e8f48501ed8725a:2JUqgMO7hySOZKBx9n8AX28tq9zJtxcw	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.34.81.222
