2018-04-19 06:51:53	59fa87d5d0e12e571daa149d5975b40c:5BMlGY3X950mi8VYCtFU4CAYwMwU59Ud	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.90.164
2018-04-19 06:56:29	a66ac9844f3c14acd75f3e624ded30c3:ldREOM4gTtxMkBXU35ikEBBNB0TgrIMj	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.138.144.254
2018-04-19 07:02:24	705e658d5211329b81a3235eafbb56b1:QhQfnCHc8Rq8K6KrChcvwnjjPIUh9UHf	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.13.202.116
2018-04-19 07:06:44	9b6f1debba809bd9ae2346a029f8cad2:WiWLjw1DIJgWBdPfMoYB8v0DnGF9waP7	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.204.128.208
2018-04-19 07:08:59	54e0ec1f43f4e9cd26b5b6ed511849a0:4YWkfLP6AAhpmRh898LVZ8lqldDeQgWh	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	114.136.240.159
2018-04-19 07:09:04	63d1685e042de8c22620ae4c9fd1b2b9:DxCg30T1Wb0xwUdWyXFQE0uX9bV7nAJk	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.217.71.131
2018-04-19 07:09:40	569291bf0481348129c45bbdfcec4146:4cssq1tjaS8kzpPZwMOXDyTpTlsSWWjQ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.8.201.192
2018-04-19 07:09:55	9cd1e20f4c0e66c4b6a928c71c6941d2:3CPgjogyTe7l15yN7h1ftA14nsdHIXAv	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.250.63.226
2018-04-19 07:10:26	3713bf210909578b44edbdf429213e78:Pjy7LEjtJ1kfysHHthgjWzJ0iK0FH0rK	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	39.10.105.21
2018-04-19 07:10:56	aed6f55fbaac2cd3cb6ad635cbdb9d89:8DAdxVaRCIbSxc0RU51E7pxpCaggxUlt	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.242.131.229
2018-04-19 07:14:04	ddb7fff18edcc13bf50ba9f5ffe74f01:5XzNCNKW633hoGtJhlxMIBpQ7iLFEQRY	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.139.110.239
2018-04-19 07:16:09	f46c1556e9bfed43d1651714b0a263df:YQOgc1HT3mjlYV24wBpwXj7kMzIGZSNR	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.52.69.207
2018-04-19 07:16:56	c060a0d1814c761e1a3092a07f4c440d:DRDCqNoHSmF89ravdLipvkVDvFaD97ef	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.247.33.35
2018-04-19 07:19:27	6f4ef527c50a5e40f53541556628316d:MzmJjDfbqH6N8nHMdrPNFKzDMvU3xlad	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.247.169.79
2018-04-19 07:26:32	a0b3cdae2d9104d9d178a48a8a2c459d:QQ9lwuE6VcxilHCWRwV88fpwCGNbu3Ro	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.250.142.76
2018-04-19 07:28:29	9391e66dadc9c7ac5631dad1dfc02526:He9UOxW6QqYtILXnqrDQMMslqABeKR1B	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.12.37.39
2018-04-19 07:29:01	bd82b91b289d0c7a9e7746f182201c3d:54eTK8g7spSXm1hc7JTRg6YUa9Pfhff4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.10.77.248
2018-04-19 07:33:57	12a2cb737c725398bb0d01c495523ecc:irHxyDVp6hocZSl0mIrh59kpq6B34IOR	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.193.84
2018-04-19 07:39:31	6b03f07521aabcdd4d0b8130e9ad301a:sMu7ecDLv7dDTgFbdy0ZmWjxCY6kL8s0	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	180.217.83.237
2018-04-19 07:41:21	f57b08c250af41e5eaf8d72d4d78da3c:FtN4DXpdAT2mChJPaoUHbMcVKRM0OLAL	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.88
2018-04-19 07:47:40	6041c5f5767072f5a11c6d1fef79c1b8:VHzlmFJihz4ci3K4ixOZYRNthjtRxZ2d	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	223.136.93.253
2018-04-19 07:49:08	7bcfdcd7d8c70942b42f73011f9cc3ec:2gRgQOv76vmW7XcTGGpXOrnIESJe7kwa	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.12.35.152
2018-04-19 07:50:47	031531b961d8d1c615686a057edb25c2:kR6ol6HLCxtaQp3ZPDt986OEyOnmalK4	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	101.14.196.231
2018-04-19 07:58:22	67adf9f57c88a0583e166c90c16631b9:wY6ibiRYeTDXRHUdNMIkEBvAuteIfZsf	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	101.9.179.172
2018-04-19 08:04:11	df1d0258bd6796e6ae1cc55dac372b6c:AUYEHHMvNNVvNaZwf8nlMQ6L1LLbNOAD	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.20
2018-04-19 08:07:36	f82849710d966486844c2452fa563fc3:3pXQegDQ4GC1wKMBgAJyDbUVZH7ew60J	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	180.217.183.67
2018-04-19 08:12:52	d8689ddaf272976a6aa72d1674b56ac5:sg13r5l4ZAaIHnlGHzfS7aD6scH2wjFM	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	203.71.67.85
2018-04-19 08:14:07	4c18302509440ddc64b88b6804897230:Yfobikr2PCNukS5bgovMn3wO1KAD567R	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.249
2018-04-19 08:15:35	ed959dd10150567138c0792dd656fcc2:D9hDrgSe7Cc4RtwUUX31vDBbjV3DqvVP	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.15.229.103
2018-04-19 08:15:48	ee8224d84c759ac5af9d9049ff7079a5:WhiGAr9CbfoBAkgq7OLO8wA8FK2Pc1I7	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.93
2018-04-19 08:16:31	d39917c7ec52a519e4e16b80884c91d2:wpvgsJrP3XyNJ5ioiJnYaaNUioWf4zr5	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.139.63.128
2018-04-19 08:17:32	190546b977b34d62fb7ba9f472998e72:oCqNQVwjPtHpgbSIhnLhnBy9QvWZQDBB	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.71
2018-04-19 08:17:33	5baf7ce103cb1c59fe4f1dac3b3d294b:2oIMxGU4w8rwjnX7UTORUnAbLqQRCPrh	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.95
2018-04-19 08:19:09	8114c18cae5f39ce3b243b122367cdbe:vI6vfoy11VpwpVC0qQfW77yvaJmMlNl6	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.198.221
2018-04-19 08:20:14	1ef94c9e7fe2f4064d003257c52acb74:51Y15HJcc10Ycfe2SxyJCI7i95emtT10	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.241
2018-04-19 08:21:06	6558c13d65b8a1037f19ffc11cb06d3a:2VfQXIhBVvuU01y8Gv8VStScY5lshrre	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.52.104.136
2018-04-19 08:23:30	da52e38aed42021b8e403c04d578e543:xW9YmxYPZTzzntbM6uVycgIHdug6qFgo	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.87
2018-04-19 08:24:16	8ec124fe8f6b47a92e57384ea508cf24:SUGTJzAgCU1z8WIvBlZkpaz1lJaVAQF4	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.214.240.235
2018-04-19 08:25:00	456f8d68c07943bef60e7995f810b96c:tPDjZj5bsxnW2suyuE3tPgXbqaqEFRnb	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.33
2018-04-19 08:26:01	6886ae181cdedfed08c2a2cad7dae698:QjqnBRFx7RFR67Rdw9jl4EVKjiY3gjkH	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.72.208
2018-04-19 08:27:47	e9f1c6b094c2e8102117a12617f4e2df:nczonmVpTB5X0I8VDAiSRCbw0DvHo1g5	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.20
2018-04-19 08:29:15	ef11381b43be0572160935613ca18734:4A57EiS10g3BaS6ORUpLElfhmdsGUDx0	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.11.18
2018-04-19 08:29:31	7be0112c61fa0512ffdad456eec8ccbc:fb93RYvxKwdIzbqHenYqQuSbikOsXqJk	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.12.3.149
2018-04-19 08:32:00	05bf5005e44d7f223bc2407acde55160:2Q6YZp0N7kWhYEMAPZqDEPA2JLH3YO30	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	110.28.132.87
2018-04-19 08:32:55	cde2ded7ec313f8ee1dc3c463cd4749d:XHtqxxW8u5pmEacXs9Wybt76gKDf0d5r	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	110.50.148.146
2018-04-19 08:34:01	9936d15230d50325cff625cdc01caace:tfopWkUGQqo307Da7JCg39DZKAb2P8Ce	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.204.115.185
2018-04-19 08:34:05	71977cf92c3509fb7168766a09e947a3:Ur46xA3hYHKXTxp7ZeUy0GLAJPUKbgfD	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	203.71.67.75
2018-04-19 08:34:20	fdbd4cf4d63ae5638feba30833342a2f:AWqCHHgykAYZc6MbQqX0lme7dKAMKvOM	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	223.139.236.242
2018-04-19 08:35:55	81ae81a902321656f5f6ebdcafd81066:VWfzEG17dlYn43nRakkzgEknvNC09nM1	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.83
2018-04-19 08:35:58	ebb550d9dc3c474756f8153ec1391f45:K8FNIKCBUUc9ljHAb5HyuhqbbwpOy0Gj	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.94
2018-04-19 08:36:16	327a9b909cc81780213b09bf797f793f:lShVo5moRPGbz4LB0AuyxFnb1R4AQevo	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	110.50.155.152
2018-04-19 08:37:29	89be9a322de0812f51001b2726ccb302:VCwdVSTK8xCFMxGqfdWnhju8E8VzfZEj	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	101.15.183.7
2018-04-19 08:37:37	13bb591c8fcf4f047e703d512fca38be:EYX0OF9ybTegQTT22sJcIGx93uBrXftu	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.52.98.7
2018-04-19 08:38:24	18ba3df7e9e64b5a1b2a14bbc56adee0:guTBpPmEdkZySF39bRahmR5tlSofAMhI	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.13.163.182
2018-04-19 08:39:21	363f63684019411d54a4b15ff2605a7e:Q64HmdCB5Aon6Q7XoICoCFECXtXt7iwW	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	10.20.4.13
2018-04-19 08:39:29	1988dd10aece033d14f9fbd244bdc7a6:96SVBq2Yrq571dH7IlPFAD6Yzthe8269	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	101.15.183.7
2018-04-19 08:39:49	6b43925b71705fcfd64169d1e0174a8a:8KBHYyHGlSUkuMNaVvjCKT64V8v5frk1	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.140.216.210
2018-04-19 08:39:52	686658a049bff537e7ac02c5ed145033:PT96bsnFR1kehbSD6axA38hj2BckfSVI	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	203.71.67.93
2018-04-19 08:39:53	1429dcb9d0d6a8fd1af4682261904661:DoYUqFWsg4SWyon9qeXsJ229Cw2FMXUf	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.242.9.141
2018-04-19 08:39:58	ff6fd0cdc6c252e06cfd2a2e915aa551:uvT3H4miPvYNrc0CIEpUWgmlRSjuuDPJ	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-19 08:40:48	ddac71ba7e515c9494b8b075d8e913e1:7qmULesZFPaxhq2ms1YnZaWKKan050rx	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	115.82.114.17
2018-04-19 08:42:11	030a4e594c60d741cfeca257180cdc1c:HE3cXZJiXYC3ALkbB1mhbtuPfQl5DUD5	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-19 08:43:08	4b8f3d2a7cc7acb463241ae3097247da:xpGy0RBFibV2wYf8pWvFBT36F6yyv9gy	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.34.110
2018-04-19 08:44:24	e620da6945bf2b9e4d0e25fa796a81e0:CQAfPXIxlBd4sksIm5oQTcQfRWV2NWY2	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	117.19.105.201
2018-04-19 08:44:28	42de289b11eb4d220105001994a1c303:VO0idyy69RMRbWZIJKcwl8RpZSIrIQLF	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.26
2018-04-19 08:45:05	15170f24b0923cdaa48386464f4052af:TDjzAl26cDg1zlJohmMSL4Uczd26FeX6	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-19 08:45:47	1bd4c683af1b80c1bee959fa50e09624:2o116LTvwLOB2xqhwGkYBUNptyK7Q9a3	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-19 08:46:06	da89ed428a3bb66c98a9b9666308069e:B1sv1RcCXqSKZEehitfZ3jNWttR9CRr9	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	42.73.36.219
2018-04-19 08:46:26	ddedbe53e281baeafd92147d5ed93a14:X96sjsVaJ8s06n8CEyUdDMMWXGGEdGBs	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.10.51.35
2018-04-19 08:48:04	ad97e9281be834cc6273cfc2704ce025:wwUZQ26eEKvpItIvDIYv2dDqUgRYEtVt	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	203.71.67.34
2018-04-19 08:50:10	43db47ea64ada4b7aef22dc7cbefbcf3:Smdd20JyMuJAgfJZTkck3rOipjkH56Iz	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-19 08:50:59	00233f800ca21c112eee547b9383f0e9:HVXMQxQFwd20Ourz8cEXQnA11xUFOLDM	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	203.71.67.71
2018-04-19 08:51:24	bca7b79e1b269cbad45685608f9aca07:PCOzzuA8Lxct1kdCRlASEu7aso07Xogc	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	101.8.197.86
2018-04-19 08:55:36	876971e5098336f28bd0d894b823b395:DLJQVYW5b2Gp8QrfLt4LfrFXdm5xhtjW	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	1.200.216.21
2018-04-19 08:59:53	fd216d569ea5364f37cf4c73462a9343:XotNx11EcL7yd8Y14Z74epbsr7dV1v7o	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
